id,activityId,level,pointType,pointId,pointNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,
1,1110,1,1,55,50,2,1003,1,2,1027,10,
2,1110,2,1,55,100,2,1003,2,2,1027,10,
3,1110,3,1,55,150,2,1459,1,2,1027,10,
4,1110,4,1,55,200,2,1014,1,2,1027,10,
5,1110,5,1,55,250,1,9,2000,2,1027,10,
6,1110,6,1,55,300,2,1004,1,2,1027,10,
7,1110,7,1,55,350,2,23502,50,2,1027,10,
10,1130,1,1,54,50,2,1003,1,2,1027,10,
11,1130,2,1,54,100,2,1003,2,2,1027,10,
12,1130,3,1,54,150,2,1459,1,2,1027,10,
13,1130,4,1,54,200,2,1014,1,2,1027,10,
14,1130,5,1,54,250,1,9,2000,2,1027,10,
15,1130,6,1,54,300,2,1004,1,2,1027,10,
16,1130,7,1,54,350,2,21510,50,2,1027,10,
50,1131,,,,10,2,1019,5,,,,
51,1131,,,,20,2,1003,1,,,,
52,1131,,,,50,2,1003,1,,,,
53,1131,,,,70,2,1014,1,,,,
54,1131,,,,100,1,9,3000,,,,
9060,2500,,2,1134,90,,,,,,,
9070,2500,,2,1134,160,,,,,,,
9080,2500,,2,1134,330,,,,,,,
9090,2500,,2,1134,500,,,,,,,
9100,2500,,2,1134,670,,,,,,,
100,3130,1,1,55,50,2,1003,1,2,1027,10,
105,3130,2,1,55,100,2,1003,2,2,1027,10,
110,3130,3,1,55,150,2,1459,1,2,1027,10,
115,3130,4,1,55,200,2,1014,1,2,1027,10,
120,3130,5,1,55,250,1,9,2000,2,1027,10,
125,3130,6,1,55,300,2,1004,1,2,1027,10,
130,3130,7,1,55,350,2,23502,50,2,1027,10,
135,3140,1,1,54,50,2,1003,1,2,1027,10,
140,3140,2,1,54,100,2,1003,2,2,1027,10,
145,3140,3,1,54,150,2,1459,1,2,1027,10,
150,3140,4,1,54,200,2,1014,1,2,1027,10,
155,3140,5,1,54,250,1,9,2000,2,1027,10,
160,3140,6,1,54,300,2,1004,1,2,1027,10,
165,3140,7,1,54,350,2,21510,50,2,1027,10,
170,3150,,,,10,2,1019,5,,,,
175,3150,,,,20,2,1003,1,,,,
180,3150,,,,50,2,1003,1,,,,
185,3150,,,,70,2,1014,1,,,,
190,3150,,,,100,1,9,3000,,,,
14000,3110,,2,1134,90,,,,,,,
14010,3110,,2,1134,160,,,,,,,
14020,3110,,2,1134,330,,,,,,,
14030,3110,,2,1134,500,,,,,,,
14040,3110,,2,1134,670,,,,,,,
