id,activityId,time,progressValue%1,progressValue%2,progressValue%3,progressValue%4,
1,3070,1,9000,1000,0,0,
2,3070,2,8000,1600,400,0,
3,3070,3,7000,2500,500,0,
4,3070,4,6000,3200,800,0,
5,3070,5,5000,4000,1000,0,
6,3070,6,4000,4500,1500,0,
7,3070,7,3000,5000,2000,0,
8,3070,8,2000,5000,2700,300,
9,3070,9,2000,5000,2500,500,
10,3070,10,0,0,0,10000,
11,3200,1,5400,3000,1300,100,
12,3200,2,5400,3000,1300,100,
13,3200,3,5400,3000,1300,100,
14,3200,4,5400,3000,1300,100,
15,3200,5,5400,3000,1300,100,
16,3200,6,5400,3000,1300,100,
17,3200,7,5400,3000,1300,100,
18,3200,8,5400,3000,1300,100,
19,3200,9,5400,3000,1300,100,
20,3200,10,0,0,0,10000,
