id,groupId,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,randomGroup,Weight,
1001,1,2,800200,4,2,800300,10,,,,1,5000,
1002,1,2,800200,4,2,800300,10,,,,,5000,
1003,2,2,800200,6,2,800300,10,,,,1,10000,
1004,3,2,800200,6,2,800300,20,,,,1,8000,
1005,3,2,800200,6,2,800300,20,,,,2,2000,
1006,4,2,800200,8,2,800300,30,,,,1,7000,
1007,4,2,800200,8,2,800300,30,,,,2,3000,
1008,5,2,800200,12,2,800300,100,,,,1,6000,
1009,5,2,800200,12,2,800300,100,,,,2,3350,
1010,5,2,800200,12,2,800300,100,,,,3,650,
1011,6,2,800200,2,2,800300,5,,,,1,2500,
1012,6,2,800200,2,2,800300,5,,,,,7500,
1013,7,2,800200,3,2,800300,5,,,,1,5000,
1014,7,2,800200,3,2,800300,5,,,,,5000,
