id,robotGroup,powerShow,battleId,
1,1,3035803,662001,
2,1,2997497,662002,
3,1,3014110,662003,
4,1,3011335,662004,
5,1,2996635,662005,
6,1,3030858,662006,
7,1,3020585,662007,
8,1,3030803,662008,
9,1,3027466,662009,
10,1,2997418,662010,
11,1,3027836,662011,
12,1,3003085,662012,
13,1,3000865,662013,
14,1,3008090,662014,
15,1,2989085,662015,
16,1,3008580,662016,
17,1,3023307,662017,
18,1,3008080,662018,
19,2,4005855,662019,
20,2,3997410,662020,
21,2,4008080,662021,
22,2,4030858,662022,
23,2,4014083,662023,
24,2,4001685,662024,
25,3,4533563,662025,
26,3,4500141,662026,
27,3,4506141,662027,
28,3,4553644,662028,
29,3,4506366,662029,
30,3,4487660,662030,
31,3,4490885,662031,
32,3,4503119,662032,
33,4,5525612,662033,
34,4,5501446,662034,
35,4,5491355,662035,
36,4,5553641,662036,
37,4,5496606,662037,
38,4,5488960,662038,
39,4,5491366,662039,
40,4,5513706,662040,
41,4,5514688,662041,
42,4,5531177,662042,
43,4,5506410,662043,
44,4,5501143,662044,
45,4,5526428,662045,
46,4,5506128,662046,
47,4,5500506,662047,
48,4,5526446,662048,
49,5,5991863,662049,
50,5,6050385,662050,
51,5,6025605,662051,
52,5,6008864,662052,
53,5,6021310,662053,
54,5,5988560,662054,
55,5,5978631,662055,
56,5,5963178,662056,
