id,activityID,dateStart,dateEnd,exchangeType,exchangeId,exchangeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,3440,1,210,2,6855,5,2,1001,200,1,8,300000,,,,
2,3440,1,210,2,6855,10,2,1003,1,2,1007,5,,,,
3,3440,1,210,2,6855,20,2,1003,3,2,1006,500,,,,
4,3440,1,210,2,6855,30,2,900015,1,2,1004,1,2,1014,1,
5,3440,211,266,2,6856,5,2,1001,200,1,8,300000,,,,
6,3440,211,266,2,6856,10,2,1003,1,2,1007,5,,,,
7,3440,211,266,2,6856,20,2,1003,3,2,1006,500,,,,
8,3440,211,266,2,6856,30,2,900016,1,2,1004,1,2,1014,1,
9,3440,267,321,2,6857,5,2,1001,200,1,8,300000,,,,
10,3440,267,321,2,6857,10,2,1003,1,2,1007,5,,,,
11,3440,267,321,2,6857,20,2,1003,3,2,1006,500,,,,
12,3440,267,321,2,6857,30,2,900019,1,2,1004,1,2,1014,1,
13,3440,322,370,2,6858,5,2,1001,200,1,8,300000,,,,
14,3440,322,370,2,6858,10,2,1003,1,2,1007,5,,,,
15,3440,322,370,2,6858,20,2,1003,3,2,1006,500,,,,
16,3440,322,370,2,6858,30,2,900021,1,2,1004,1,2,1014,1,
17,3440,371,-1,2,6962,5,2,1001,200,1,8,300000,,,,
18,3440,371,-1,2,6962,10,2,1003,1,2,1007,5,,,,
19,3440,371,-1,2,6962,20,2,1003,3,2,1006,500,,,,
20,3440,371,-1,2,6962,30,2,900025,1,2,1004,1,2,1014,1,
