id,activityID,dateStart,dateEnd,activatetime,boxreward-type-1,boxreward-id-1,boxreward-value-1,boxreward-type-2,boxreward-id-2,boxreward-value-2,boxreward-type-3,boxreward-id-3,boxreward-value-3,boxreward-type-4,boxreward-id-4,boxreward-value-4,
1,3440,1,210,5,2,1001,300,2,1006,200,,,,,,,
2,3440,1,210,10,2,3008,50,2,1027,50,,,,,,,
3,3440,1,210,20,2,6859,3,2,1014,1,2,1006,300,,,,
4,3440,1,210,30,2,6859,6,2,1004,1,2,1001,500,2,1003,3,
5,3440,211,266,5,2,1001,300,2,1006,200,,,,,,,
6,3440,211,266,10,2,3008,50,2,1027,50,,,,,,,
7,3440,211,266,20,2,6859,3,2,1014,1,2,1006,300,,,,
8,3440,211,266,30,2,6859,6,2,1004,1,2,1001,500,2,1003,3,
9,3440,267,321,5,2,1001,300,2,1006,200,,,,,,,
10,3440,267,321,10,2,3008,50,2,1027,50,,,,,,,
11,3440,267,321,20,2,6859,3,2,1014,1,2,1006,300,,,,
12,3440,267,321,30,2,6859,6,2,1004,1,2,1001,500,2,1003,3,
13,3440,322,377,5,2,1001,300,2,1006,200,,,,,,,
14,3440,322,377,10,2,3008,50,2,1027,50,,,,,,,
15,3440,322,377,20,2,6859,3,2,1014,1,2,1006,300,,,,
16,3440,322,377,30,2,6859,6,2,1004,1,2,1001,500,2,1003,3,
17,3440,378,-1,5,2,1001,300,2,1006,200,,,,,,,
18,3440,378,-1,10,2,3008,50,2,1027,50,,,,,,,
19,3440,378,-1,20,2,6859,3,2,1014,1,2,1006,300,,,,
20,3440,378,-1,30,2,6859,6,2,1004,1,2,1001,500,2,1003,3,
