id,speedUpTime,desc,weight,
1,50,s==22|Bình thường xuất phát。,2000,
2,100,s==22|Bình thường xuất phát。,2000,
3,150,s==22|Bình thường xuất phát。,2000,
4,200,s==22|Bình thường xuất phát。,2000,
5,250,s==22|Bình thường xuất phát。,2000,
6,300,s==22|Bình thường xuất phát。,1000,
7,350,s==22|Bình thường xuất phát。,1000,
8,400,s==22|Bình thường xuất phát。,1000,
9,450,s==22|Bình thường xuất phát。,1000,
10,500,s==21|Thuận phong khởi hải。,1000,
11,550,s==21|Thuận phong khởi hải。,500,
12,600,s==21|Thuận phong khởi hải。,500,
13,650,s==21|Thuận phong khởi hải。,500,
14,700,s==21|Thuận phong khởi hải。,500,
15,750,s==21|Thuận phong khởi hải。,500,
16,800,s==18|Mãn phàm khởi hải。,500,
17,850,s==18|Mãn phàm khởi hải。,400,
18,900,s==18|Mãn phàm khởi hải。,300,
19,950,s==18|Mãn phàm khởi hải。,200,
20,1000,s==18|Mãn phàm khởi hải。,100,
