id,desc,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,rate,
1,s==108|Bọn hào tộc địa phương đến thăm hỏi quân lính， thu được <color=#d25f2c>Nguyên Bảo</c><color=#259043>x50</c>。,1,9,50,,,,,,,1,
2,s==130|Tình cờ gặp gỡ danh sĩ địa phương， cùng nhau chuyện trò vui vẻ， thu được <color=#7d2bab>Thường Thăm Lệnh</c><color=#259043>x2</c>。,2,1002,2,,,,,,,1,
3,s==130|Cải cách quân chế， thăng thưởng quân trung kiệt xuất tướng sĩ， thu được <color=#d25f2c>Cao Cấp Thăm Lệnh</c><color=#259043>x1</c>。,2,1003,1,,,,,,,1,
4,s==113|Tìm đến danh sơn đại xuyên， tiên nhân sơn trung ban tặng <color=#d25f2c>Đột Phá Thạch</c><color=#259043>x100</c>。,2,1001,100,,,,,,,1,
5,s==132|Nghe nói địa phương xuất hiện động quỷ bí ẩn， dẫn người đến xem xét， thu được <color=#7d2bab>Đoạt Bảo Lệnh</c><color=#259043>x3</c>。,2,1007,3,,,,,,,1,
6,s==133|Lãnh địa xuất hiện điềm lành， quan lại các nơi lần lượt đến chúc mừng， thu được <color=#d80e2d>Tụ Hiền Lệnh</c><color=#259043>x1</c>。,2,1004,1,,,,,,,1000,
7,s==149|Xuất hiện thiên tượng hiếm thấy Thiên Cẩu Phạm Nhật， khiến dân chúng vây xem， thu được <color=#d25f2c>Cao Cấp Đoạt Bảo Lệnh</c><color=#259043>x1</c>。,2,1014,1,,,,,,,1000,
8,s==135|Bổ nhiệm trợ thủ đắc lực huấn luyện quân đội trong lãnh địa， thu được <color=#d25f2c>Võ Tướng Kinh Nghiệm</c><color=#259043>x40000</c>。,1,10,40000,,,,,,,1,
9,s==113|Tìm đến danh sơn đại xuyên， tiên nhân sơn trung ban tặng <color=#d25f2c>Đột Phá Thạch</c><color=#259043>x100</c>。,2,1001,100,,,,,,,1,
10,s==137|Nghe nói trong lãnh địa có cao sĩ ẩn cư， quyết định đến mời xuất sơn， thu được <color=#d25f2c>Tự Chọn Tinh Túy</c><color=#259043>x20</c>。,2,1077,20,,,,,,,1,
11,s==101|Lưu khách địa phương thách đấu với ngươi， thu được <color=#d25f2c>Chiến Thư</c><color=#259043>x2</c>。,2,1005,2,,,,,,,1,
12,s==169|Hành thuyền ngoại ô， thấy một động sơn ẩn trong đào lâm， xuyên qua động sơn phát hiện thế ngoại đào nguyên， thu được <color=#d25f2c>Đồng Tệ</c><color=#259043>x50000</c>。,1,8,50000,,,,,,,1,
13,s==135|Bổ nhiệm trợ thủ đắc lực huấn luyện quân đội trong lãnh địa， thu được <color=#d25f2c>Võ Tướng Kinh Nghiệm</c><color=#259043>x40000</c>。,1,10,40000,,,,,,,1,
14,s==108|Triển khai chiêu binh trong lãnh địa， thu được <color=#d25f2c>4 Sao Võ Tướng Mảnh</c><color=#259043>x40</c>。,2,3002,40,,,,,,,1,
15,s==101|Lưu khách địa phương thách đấu với ngươi， thu được <color=#d25f2c>Chiến Thư</c><color=#259043>x3</c>。,2,1005,3,,,,,,,1,
