id,name,nationType,playerLv,battleId,
1,s==5|荆州糜夫人,1,78|120,400128,
2,s==4|夷道高升,1,78|120,400129,
3,s==4|东郡杨仪,1,78|120,400130,
4,s==4|乐陵虞翻,1,78|120,400131,
5,s==4|宛温夏恂,1,78|120,400132,
6,s==4|鄱阳陈震,1,78|120,400133,
7,s==4|西平甄宓,1,78|120,400134,
8,s==4|赤壁马铁,1,78|120,400135,
9,s==4|真定王异,1,78|120,400136,
10,s==5|陈郡孙尚香,1,78|120,400137,
11,s==4|安风雷铜,1,78|120,400138,
12,s==4|济南费祎,1,78|120,400139,
13,s==4|兖州赵弘,1,78|120,400140,
14,s==4|青州程昱,1,78|120,400141,
15,s==5|幽州诸葛诞,1,78|120,400142,
16,s==4|官渡审配,1,78|120,400143,
17,s==4|陈留伏寿,1,78|120,400144,
18,s==4|潼关孔氏,1,78|120,400145,
19,s==4|河南韩暨,1,78|120,400146,
20,s==4|长沙陈琳,1,78|120,400147,
21,s==4|乐陵丁仪,2,78|120,400148,
22,s==4|济南周鲂,2,78|120,400149,
23,s==4|怀县荀攸,2,78|120,400150,
24,s==4|并州满宠,2,78|120,400151,
25,s==4|范阳丁奉,2,78|120,400152,
26,s==5|彭城蔡文姬,2,78|120,400153,
27,s==4|代郡邴原,2,78|120,400154,
28,s==4|荆州黄祖,2,78|120,400155,
29,s==4|怀县伍孚,2,78|120,400156,
30,s==4|凉州严氏,2,78|120,400157,
31,s==5|临浣夏侯尚,2,78|120,400158,
32,s==4|街亭宋宪,2,78|120,400159,
33,s==4|葭萌陈琳,2,78|120,400160,
34,s==4|江夏田畴,2,78|120,400161,
35,s==4|东武俞涉,2,78|120,400162,
36,s==4|郴县牛辅,2,78|120,400163,
37,s==4|梓潼颜良,2,78|120,400164,
38,s==4|朱提韩忠,2,78|120,400165,
39,s==4|南阳徐盛,2,78|120,400166,
40,s==4|白马苏飞,2,78|120,400167,
41,s==4|平原荀彧,3,78|120,400168,
42,s==4|山阳吕布,3,78|120,400169,
43,s==4|许昌杜畿,3,78|120,400170,
44,s==4|潼关孙礼,3,78|120,400171,
45,s==4|寿春吕蒙,3,78|120,400172,
46,s==4|耀县韩馥,3,78|120,400173,
47,s==4|官渡胡轸,3,78|120,400174,
48,s==5|江州糜夫人,3,78|120,400175,
49,s==4|曲梁王朗,3,78|120,400176,
50,s==4|幽州周平,3,78|120,400177,
51,s==4|平原程银,3,78|120,400178,
52,s==4|章陵魏续,3,78|120,400179,
53,s==4|郴县焦触,3,78|120,400180,
54,s==4|巴东闵纯,3,78|120,400181,
55,s==4|荆州董卓,3,78|120,400182,
56,s==4|南阳邹氏,3,78|120,400183,
57,s==4|金城甄宓,3,78|120,400184,
58,s==4|柴桑王匡,3,78|120,400185,
59,s==6|陈留祝融夫人,3,78|120,400186,
60,s==4|徐闻袁谭,3,78|120,400187,
