gridID,pointX,pointY,eventID,param,
1,11,11,301,12,
2,10,11,202,,
3,10,12,201,,
4,10,13,203,,
5,10,14,201,,
6,9,14,202,,
7,8,14,301,,
8,7,14,101,,
9,6,14,201,,
10,5,14,202,,
11,5,13,202,,
12,5,12,201,,
13,5,11,301,,
14,4,11,201,,
15,3,11,203,,
16,3,10,301,,
17,3,9,102,,
18,2,9,201,,
19,1,9,202,,
20,0,9,301,,
21,0,8,201,,
22,0,7,201,,
23,0,6,203,,
24,0,5,202,,
25,0,4,201,,
26,1,4,301,,
27,2,4,201,,
28,3,4,301,,
29,3,3,103,,
30,4,3,201,,
31,4,2,201,,
32,4,1,301,,
33,4,0,201,,
34,5,0,202,,
35,6,0,203,,
36,7,0,201,,
37,8,0,201,,
38,9,0,301,,
39,9,1,202,,
40,9,2,301,,
41,9,3,104,,
42,10,3,201,,
43,11,3,203,,
44,11,4,201,,
45,11,5,301,,
46,12,5,201,,
47,13,5,202,,
48,14,5,202,,
49,14,6,201,,
50,14,7,301,,
51,14,8,201,,
52,14,9,202,,
53,14,10,301,,
54,13,10,203,,
55,12,10,201,,
56,11,10,202,,
