id,desc,rewards-type-1,rewards-id-1,rewards-value-1,discount,resource-type-1,resource-id-1,resource-value-1,ratio,
1,s==20|Thần Binh Ngọc Thạch,2,1031,1,5,1,9,750,1000,
2,s==12|Tụ Hiền Lệnh,2,1004,1,3,1,9,450,1000,
3,s==20|Lệnh Tầm Bảo Cao Cấp,2,1003,1,5,1,9,110,1000,
4,s==15|Tiềm Năng Thạch,2,1012,50,3,1,9,750,1000,
5,s==14|Tướng Ấn Thạch,2,1006,500,3,1,9,150,1000,
6,s==13|Đột Phá Thạch,2,1001,500,3,1,9,150,1000,
7,s==25|Thần Binh Cường Hóa Thạch,2,1027,50,5,1,9,75,1000,
8,s==13|Hồn Thần Binh,2,1030,1,5,1,9,100,1000,
9,s==26|Thần Binh Tinh Luyện Thạch,2,1029,2,5,1,9,100,1000,
10,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,2,3008,25,5,1,9,375,1000,
11,s==15|Hiệu Ấn Hiệu Úy,2,4020,1,4,1,9,235,1000,
12,s==21|Đoạt Bảo Lệnh Cao Cấp,2,1014,1,3,1,9,294,1000,
13,s==13|Đoạt Bảo Lệnh,2,1007,5,5,1,9,122,1000,
