id,type,name,level,title,siteIcon,BigsiteIcon,ChapterName,profit,cd,showCd,AccountCd,lockDesc,targetValue,leveItem-type-1,leveItem-id-1,leveItem-value-1,rewardItem-type-1,rewardItem-id-1,rewardItem-value-1,rewardItem-type-2,rewardItem-id-2,rewardItem-value-2,rewardItem-type-3,rewardItem-id-3,rewardItem-value-3,strikeReward-type-1,strikeReward-id-1,strikeReward-value-1,pz,character,promoteDesc,lblReward,
0,1,s==4|灯谜大会,0,s==12|d_wenzi_dmdh,s==7|c_dmdh1,s==6|c_dmdh,,1,,,,,,,,,,,,,,,,,,2,6994,10,s==30|有概率获得<color=#005ba1>蓝色</c>品质古董,0:9000:10000|3:1000:50,s==101|1.建筑每小时获得福运<color=#0d782b>+1</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+10</c>，有概率获得<color=#005ba1>蓝色</c>古董。,,
1,1,s==4|灯谜大会,1,s==12|d_wenzi_dmdh,s==7|c_dmdh1,s==6|c_dmdh,s==4|初来乍到,2,-1,2000,3000,s==5|答对一道题,1,2,6997,1,2,8210,1,2,1001,200,2,6994,80,2,6994,15,s==52|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>品质古董,0:7000:10000|4:1000:80|3:2000:50,s==123|1.建筑每小时获得福运<color=#0d782b>+2</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+15</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>古董。,s==56|获得宝物<color=#7d2bab>【七星宝刀】</c>，福运上涨<color=#48dc5c>{0}</c>,
2,1,s==4|灯谜大会,2,s==12|d_wenzi_dmdh,s==7|c_dmdh1,s==6|c_dmdh,s==4|小试牛刀,4,-1,2000,3000,s==5|答对两道题,2,2,6997,1,2,8216,1,2,1001,300,2,6994,80,2,6994,20,s==74|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>品质古董,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==145|1.建筑每小时获得福运<color=#0d782b>+4</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+20</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>古董。,s==56|获得宝物<color=#7d2bab>【千足金铤】</c>，福运上涨<color=#48dc5c>{0}</c>,
3,1,s==4|灯谜大会,3,s==12|d_wenzi_dmdh,s==7|c_dmdh1,s==6|c_dmdh,s==4|游刃有余,6,-1,2000,3000,s==5|答对三道题,3,2,6997,1,2,8206,1,2,1001,400,2,6994,120,2,6994,25,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==169|1.建筑每小时获得福运<color=#0d782b>+6</c>\n2..每次移动到本建筑，获得福运<color=#0d782b>+25</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#d74200>【四书五经】</c>，福运上涨<color=#48dc5c>{0}</c>,
4,1,s==4|灯谜大会,4,s==12|d_wenzi_dmdh,s==7|c_dmdh1,s==6|c_dmdh,s==4|炉火纯青,8,-1,2000,3000,s==5|答对四道题,4,2,6997,1,2,8200,1,2,1004,1,2,6994,300,2,6994,30,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==168|1.建筑每小时获得福运<color=#0d782b>+8</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+30</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#c4011f>【黄金财神】</c>，福运上涨<color=#48dc5c>{0}</c>,
6,2,s==4|春联品鉴,0,s==12|d_wenzi_clpj,s==7|c_clpj1,s==6|c_clpj,,1,,,,,,,,,,,1,,,,,6994,,2,6994,10,s==30|有概率获得<color=#005ba1>蓝色</c>品质古董,0:9000:10000|3:1000:50,s==101|1.建筑每小时获得福运<color=#0d782b>+1</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+10</c>，有概率获得<color=#005ba1>蓝色</c>古董。,,
7,2,s==4|春联品鉴,1,s==12|d_wenzi_clpj,s==7|c_clpj1,s==6|c_clpj,s==4|初来乍到,2,-1,2000,3000,s==5|答对一道题,1,2,6997,1,2,8211,1,2,1006,200,2,6994,80,2,6994,15,s==52|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>品质古董,0:7000:10000|4:1000:80|3:2000:50,s==123|1.建筑每小时获得福运<color=#0d782b>+2</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+15</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>古董。,s==56|获得宝物<color=#7d2bab>【古剑流韵】</c>，福运上涨<color=#48dc5c>{0}</c>,
8,2,s==4|春联品鉴,2,s==12|d_wenzi_clpj,s==7|c_clpj1,s==6|c_clpj,s==4|小试牛刀,4,-1,2000,3000,s==5|答对两道题,2,2,6997,1,2,8217,1,2,1006,300,2,6994,80,2,6994,20,s==74|有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>品质古董,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==145|1.建筑每小时获得福运<color=#0d782b>+4</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+20</c>，有概率获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>古董。,s==56|获得宝物<color=#7d2bab>【方圆通天】</c>，福运上涨<color=#48dc5c>{0}</c>,
9,2,s==4|春联品鉴,3,s==12|d_wenzi_clpj,s==7|c_clpj1,s==6|c_clpj,s==4|游刃有余,6,-1,2000,3000,s==5|答对三道题,3,2,6997,1,2,8207,1,2,1006,400,2,6994,120,2,6994,25,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==169|1.建筑每小时获得福运<color=#0d782b>+6</c>\n2..每次移动到本建筑，获得福运<color=#0d782b>+25</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#d74200>【千里江山】</c>，福运上涨<color=#48dc5c>{0}</c>,
10,2,s==4|春联品鉴,4,s==12|d_wenzi_clpj,s==7|c_clpj1,s==6|c_clpj,s==4|炉火纯青,8,-1,2000,3000,s==5|答对四道题,4,2,6997,1,2,8201,1,2,1004,1,2,6994,300,2,6994,30,s==98|必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>品质古董之一。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==168|1.建筑每小时获得福运<color=#0d782b>+8</c>\n2.每次移动到本建筑，获得福运<color=#0d782b>+30</c>，必定获得<color=#005ba1>蓝色</c>、<color=#7d2bab>紫色</c>、<color=#d74200>橙色</c>、<color=#c4011f>红色</c>古董之一。,s==56|获得宝物<color=#c4011f>【招财进宝】</c>，福运上涨<color=#48dc5c>{0}</c>,
