id,dateStart,dateEnd,type,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,30,1,s==6|进行5次挑战,709,0,5,2,1001,100,2,2790,1,,,,
2,1,30,1,s==7|进行10次挑战,709,0,10,2,1001,100,2,2790,1,,,,
3,1,30,1,s==6|挑战胜利1场,710,0,1,2,1001,100,2,6877,1,,,,
4,1,30,1,s==6|挑战胜利3场,710,0,3,2,1001,100,2,6877,1,,,,
5,1,30,1,s==6|挑战胜利5场,710,0,5,2,1001,100,2,6878,1,,,,
6,31,-1,1,s==6|进行5次挑战,709,0,5,2,1001,100,2,2790,1,,,,
7,31,-1,1,s==7|进行10次挑战,709,0,10,2,1001,100,2,2790,1,,,,
8,31,-1,1,s==6|挑战胜利1场,710,0,1,2,1001,100,2,6877,1,,,,
9,31,-1,1,s==6|挑战胜利3场,710,0,3,2,1001,100,2,6877,1,,,,
10,31,-1,1,s==6|挑战胜利5场,710,0,5,2,1001,100,2,6878,1,,,,
