id,rankId,type,warriors-id-1,warriors-skills-1,warriors-properties-1,warriors-percentproperties-1,warriors-id-2,warriors-skills-2,warriors-properties-2,warriors-percentproperties-2,
1,s==1|1,1,4040,s==9|4309|4208,s==8|2|0|2400,,4040,s==9|4302|4233,s==7|3|0|215,,
2,s==1|1,2,4040,s==9|4323|4232,s==9|1|0|23920,,4040,s==9|4324|4228,s==7|3|0|215,,
3,s==1|1,3,4040,s==9|4303|4234,s==8|2|0|2400,,4040,s==9|4313|4233,s==7|3|0|215,,
4,s==1|1,4,4040,s==9|4331|4223,s==8|2|0|2400,,4040,s==9|4339|4226,s==9|1|0|23920,,
5,s==1|2,1,4040,s==9|4309|4208,s==8|2|0|2400,,4040,s==9|4302|4233,s==7|3|0|215,,
6,s==1|2,2,4040,s==9|4323|4232,s==9|1|0|23920,,4040,s==9|4324|4228,s==7|3|0|215,,
7,s==1|2,3,4040,s==9|4303|4234,s==8|2|0|2400,,4040,s==9|4313|4233,s==7|3|0|215,,
8,s==1|2,4,4040,s==9|4331|4223,s==8|2|0|2400,,4040,s==9|4339|4226,s==9|1|0|23920,,
9,s==1|3,1,4040,s==9|4309|4208,s==8|2|0|2400,,4040,s==9|4302|4233,s==7|3|0|215,,
10,s==1|3,2,4040,s==9|4323|4232,s==9|1|0|23920,,4040,s==9|4324|4228,s==7|3|0|215,,
11,s==1|3,3,4040,s==9|4303|4234,s==8|2|0|2400,,4040,s==9|4313|4233,s==7|3|0|215,,
12,s==1|3,4,4040,s==9|4331|4223,s==8|2|0|2400,,4040,s==9|4339|4226,s==9|1|0|23920,,
13,s==1|4,1,4040,s==9|4309|4208,s==8|2|0|2400,,4040,s==9|4302|4233,s==7|3|0|215,,
14,s==1|4,2,4040,s==9|4323|4232,s==9|1|0|23920,,4040,s==9|4324|4228,s==7|3|0|215,,
15,s==1|4,3,4040,s==9|4303|4234,s==8|2|0|2400,,4040,s==9|4313|4233,s==7|3|0|215,,
16,s==1|4,4,4040,s==9|4331|4223,s==8|2|0|2400,,4040,s==9|4339|4226,s==9|1|0|23920,,
17,s==1|5,1,4050,s==9|4409|4308,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4402|4333,s==7|3|0|430,s==7|1|1|500,
18,s==1|5,2,4050,s==9|4423|4332,s==9|1|0|47840,s==7|2|1|500,4050,s==9|4424|4328,s==7|3|0|430,s==7|1|1|500,
19,s==1|5,3,4050,s==9|4403|4334,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4413|4333,s==7|3|0|430,s==7|1|1|500,
20,s==1|5,4,4050,s==9|4431|4323,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4439|4326,s==9|1|0|47840,s==7|1|1|500,
21,s==1|6,1,4050,s==9|4409|4308,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4402|4333,s==7|3|0|430,s==7|1|1|500,
22,s==1|6,2,4050,s==9|4423|4332,s==9|1|0|47840,s==7|2|1|500,4050,s==9|4424|4328,s==7|3|0|430,s==7|1|1|500,
23,s==1|6,3,4050,s==9|4403|4334,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4413|4333,s==7|3|0|430,s==7|1|1|500,
24,s==1|6,4,4050,s==9|4431|4323,s==8|2|0|4800,s==7|2|1|500,4050,s==9|4439|4326,s==9|1|0|47840,s==7|1|1|500,
