id,exp,
1,50,
2,55,
3,60,
4,65,
5,70,
6,80,
7,90,
8,100,
9,110,
10,120,
11,140,
12,160,
13,180,
14,200,
15,220,
16,250,
17,280,
18,310,
19,340,
20,370,
21,375,
22,380,
23,385,
24,390,
25,395,
26,400,
27,405,
28,410,
29,415,
30,420,
31,425,
32,430,
33,435,
34,440,
35,445,
36,450,
37,455,
38,460,
39,465,
40,470,
41,475,
42,480,
43,485,
44,490,
45,495,
46,500,
47,505,
48,510,
49,515,
50,520,
51,525,
52,530,
53,535,
54,540,
55,545,
56,550,
57,555,
58,560,
59,565,
60,570,
61,576,
62,583,
63,591,
64,600,
65,610,
66,621,
67,633,
68,646,
69,660,
70,675,
71,695,
72,715,
73,735,
74,755,
75,775,
76,795,
77,815,
78,835,
79,855,
80,875,
81,895,
82,915,
83,935,
84,955,
85,975,
86,995,
87,1015,
88,1035,
89,1055,
90,1075,
91,1095,
92,1115,
93,1135,
94,1155,
95,1175,
96,1195,
97,1215,
98,1235,
99,1255,
100,1275,
