id,warPoweTrouble,activityID,DuplicateType,openCondition,battleId,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,reissuerewards-type-1,reissuerewards-id-1,reissuerewards-value-1,reissuerewards-type-2,reissuerewards-id-2,reissuerewards-value-2,
101,s==2|普通,3013,1,1,120001,2,1001,50,1,64,21,2,1003,1,2,1142,1,
102,s==2|冒险,3013,2,1,120002,2,1007,2,1,64,24,,,,,,,
103,s==2|试炼,3013,3,1,120003,2,1006,100,1,64,27,,,,,,,
104,s==2|噩梦,3013,4,1,120004,2,1003,1,1,64,30,,,,,,,
105,s==2|修罗,3013,5,1,120005,2,1142,10,1,64,33,2,1142,3,1,64,11,
106,s==2|传奇,3013,6,1,120006,2,1142,22,1,64,36,2,1142,7,1,64,12,
201,s==2|普通,3013,1,2,120007,2,1001,50,1,64,25,,,,,,,
202,s==2|冒险,3013,2,2,120008,2,1007,2,1,64,29,,,,,,,
203,s==2|试炼,3013,3,2,120009,2,1006,100,1,64,32,,,,,,,
204,s==2|噩梦,3013,4,2,120010,2,1003,1,1,64,36,,,,,,,
205,s==2|修罗,3013,5,2,120011,2,1142,10,1,64,40,2,1142,3,1,64,13,
206,s==2|传奇,3013,6,2,120012,2,1142,22,1,64,43,2,1142,7,1,64,14,
301,s==2|普通,3013,1,3,120013,2,1001,50,1,64,29,,,,,,,
302,s==2|冒险,3013,2,3,120014,2,1007,2,1,64,34,,,,,,,
303,s==2|试炼,3013,3,3,120015,2,1006,100,1,64,38,,,,,,,
304,s==2|噩梦,3013,4,3,120016,2,1003,1,1,64,45,,,,,,,
305,s==2|修罗,3013,5,3,120017,2,1142,10,1,64,46,2,1142,3,1,64,15,
306,s==2|传奇,3013,6,3,120018,2,1142,22,1,64,50,2,1142,7,1,64,16,
401,s==2|普通,3013,1,4,120019,2,1001,50,1,64,34,,,,,,,
402,s==2|冒险,3013,2,4,120020,2,1007,2,1,64,38,,,,,,,
403,s==2|试炼,3013,3,4,120021,2,1006,100,1,64,43,,,,,,,
404,s==2|噩梦,3013,4,4,120022,2,1003,1,1,64,48,,,,,,,
405,s==2|修罗,3013,5,4,120023,2,1142,10,1,64,53,2,1142,3,1,64,17,
406,s==2|传奇,3013,6,4,120024,2,1142,22,1,64,58,2,1142,7,1,64,18,
501,s==2|普通,3013,1,5,120025,2,1001,50,1,64,38,,,,,,,
502,s==2|冒险,3013,2,5,120026,2,1007,2,1,64,43,,,,,,,
503,s==2|试炼,3013,3,5,120027,2,1006,100,1,64,49,,,,,,,
504,s==2|噩梦,3013,4,5,120028,2,1003,1,1,64,54,,,,,,,
505,s==2|修罗,3013,5,5,120029,2,1142,10,1,64,59,2,1142,3,1,64,19,
506,s==2|传奇,3013,6,5,120030,2,1142,22,1,64,65,2,1142,7,1,64,21,
601,s==2|普通,3013,1,6,120031,2,1001,50,1,64,42,,,,,,,
602,s==2|冒险,3013,2,6,120032,2,1007,2,1,64,48,,,,,,,
603,s==2|试炼,3013,3,6,120033,2,1006,100,1,64,54,,,,,,,
604,s==2|噩梦,3013,4,6,120034,2,1003,1,1,64,60,,,,,,,
605,s==2|修罗,3013,5,6,120035,2,1142,10,1,64,66,2,1142,3,1,64,22,
606,s==2|传奇,3013,6,6,120036,2,1142,22,1,64,72,2,1142,7,1,64,24,
701,s==2|普通,3013,1,7,120037,2,1001,50,1,64,46,,,,,,,
702,s==2|冒险,3013,2,7,120038,2,1007,2,1,64,53,,,,,,,
703,s==2|试炼,3013,3,7,120039,2,1006,100,1,64,59,,,,,,,
704,s==2|噩梦,3013,4,7,120040,2,1003,1,1,64,66,,,,,,,
705,s==2|修罗,3013,5,7,120041,2,1142,10,1,64,73,2,1142,3,1,64,25,
706,s==2|传奇,3013,6,7,120042,2,1142,22,1,64,79,2,1142,7,1,64,26,
801,s==2|普通,3100,1,1,120001,2,1001,50,1,64,21,2,1003,1,2,1196,1,
802,s==2|冒险,3100,2,1,120002,2,1007,2,1,64,24,,,,,,,
