id,time,dateStart,dateEnd,taskType,nextTaskId,taskName,toSystem,targetType,targetId,targetNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,1,9999,2,,s==39|Trong một ngày nạp tích lũy đạt 120 KNB,1930,510,0,12,2,7022,1,2,8226,5,,,,
2,1,1,9999,2,,s==39|Trong một ngày nạp tích lũy đạt 680 KNB,1930,510,0,68,2,7022,1,2,8226,10,,,,
3,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy hoạt động đạt 100,1051,377,0,100,2,7022,1,2,8226,2,,,,
4,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy hoạt động đạt 200,1051,377,0,200,2,7022,1,2,8226,2,,,,
5,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy hoạt động đạt 300,1051,377,0,300,2,7022,1,2,8226,2,,,,
6,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy hoạt động đạt 500,1051,377,0,500,2,7022,1,2,8226,4,,,,
7,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy hoạt động đạt 700,1051,377,0,700,2,7022,1,2,8226,4,,,,
8,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy hoạt động đạt 900,1051,377,0,900,2,7022,1,2,8226,4,,,,
9,2,1,9999,2,,s==53|Trong thời gian hoạt động tích lũy hoạt động đạt 1200,1051,377,0,1200,2,7022,1,2,8226,5,,,,
10,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy tiêu hao 1000 KNB,1660,532,9,1000,2,7022,1,2,8226,5,,,,
11,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy tiêu hao 3000 KNB,1660,532,9,3000,2,7022,1,2,8226,5,,,,
12,2,1,9999,2,,s==52|Trong thời gian hoạt động tích lũy tiêu hao 5000 KNB,1660,532,9,5000,2,7022,1,2,8226,5,,,,
