id,dateStart,dateEnd,gridid%1,gridid%2,gridid%3,gridid%4,gridid%5,ronlyId,rewardType,rewardId,rewardValue,
1,1,9999,1,2,3,4,5,21,2,8226,10,
2,1,9999,6,7,8,9,10,31,2,1760,1,
3,1,9999,11,12,13,14,15,41,2,1003,5,
4,1,9999,16,17,18,19,20,51,2,6877,1,
5,1,9999,21,22,23,24,25,61,2,3014,25,
6,1,9999,1,6,11,16,21,12,2,2148,1,
7,1,9999,2,7,12,17,22,13,2,3014,25,
8,1,9999,3,8,13,18,23,14,2,1004,1,
9,1,9999,4,9,14,19,24,15,2,8226,10,
10,1,9999,5,10,15,20,25,16,2,6878,1,
11,1,9999,1,7,13,19,25,11,2,6877,1,
12,1,9999,5,9,13,17,21,71,2,6878,1,
