id,dateStart,dateEnd,stageStart,stageEnd,stage,yuanBaoCost,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,rewards-type-5,rewards-id-5,rewards-value-5,
1,1,-1,1,3,1,3000,2,1014,1,2,1003,1,2,1006,600,1,8,300000,,,,
2,1,-1,1,3,1,5000,2,3008,30,2,1027,50,2,1006,800,1,8,500000,,,,
3,1,-1,1,3,1,10000,2,1004,1,2,6878,2,2,1006,1200,1,8,1000000,,,,
4,1,-1,1,3,1,15000,2,1474,1,2,6878,2,2,1006,1600,1,8,1500000,,,,
5,1,-1,1,3,1,20000,2,1761,1,2,6878,3,2,1006,1600,1,8,2000000,,,,
6,1,-1,1,3,1,30000,2,1468,2,2,6878,5,2,1006,2000,1,8,3000000,,,,
7,1,-1,11,13,2,3000,2,1014,1,2,1003,1,2,1006,600,1,8,300000,,,,
8,1,-1,11,13,2,5000,2,3008,30,2,1027,50,2,1006,800,1,8,500000,,,,
9,1,-1,11,13,2,10000,2,1004,1,2,6878,2,2,1006,1200,1,8,1000000,,,,
10,1,-1,11,13,2,15000,2,1474,1,2,6878,2,2,1006,1600,1,8,1500000,,,,
11,1,-1,11,13,2,20000,2,1761,1,2,6878,3,2,1006,1600,1,8,2000000,,,,
12,1,-1,11,13,2,30000,2,1468,2,2,6878,5,2,1006,2000,1,8,3000000,,,,
