id,day,desc,dateStart,dateEnd,rewards-type-1,rewards-id-1,rewards-value-1,
1,1,s==13|Ngày thứ nhất,1,-1,2,1003,3,
2,2,s==12|Ngày thứ hai,1,-1,2,1004,1,
3,3,s==11|Ngày thứ ba,1,-1,2,3008,10,
4,4,s==11|Ngày thứ tư,1,-1,2,1006,1000,
5,5,s==12|Ngày thứ năm,1,-1,1,9,300,
6,6,s==12|Ngày thứ sáu,1,-1,2,1007,5,
7,7,s==12|Ngày thứ bảy,1,-1,2,1530,1,
8,8,s==12|Ngày thứ tám,1,-1,1,9,400,
9,9,s==13|Ngày thứ chín,1,-1,2,1003,3,
10,10,s==13|Ngày thứ mười,1,-1,2,1006,1000,
11,11,s==17|Ngày thứ mười một,1,-1,1,9,500,
12,12,s==17|Ngày thứ mười hai,1,-1,2,1004,1,
13,13,s==16|Ngày thứ mười ba,1,-1,2,1014,1,
14,14,s==17|Ngày thứ mười bốn,1,-1,2,900030,1,
