id,dateStart,dateEnd, stageStart,stageEnd,itemSort,itemId,quantity,price,discount,limitBuyFrequency,resourceType,resourceId,superValue,remark,
1,1,30,1,3,1,1004,1,300,2,3,1,9,1,s==12|Tụ Hiền Lệnh,
2,1,30,1,3,2,1003,10,660,3,1,1,9,1,s==20|Lệnh Tầm Bảo Cao Cấp,
3,1,30,1,3,3,1020,10,600,3,5,1,9,1,s==17|Tinh Hoa Tướng Ấn,
4,1,30,1,3,4,1054,10,3000,5,5,1,9,1,s==18|Tạo Hóa Thần Thạch,
5,1,30,1,3,5,1053,10,3500,5,5,1,9,1,s==24|Võ Tướng Chuyển Sinh Đan,
6,1,30,1,3,6,1105,5,2500,5,6,1,9,1,s==19|Tướng Ấn Khóa Thạch,
7,1,30,1,3,7,2162,1,1000,5,4,1,9,1,s==28|Lựa Chọn Trang Bị Hồng 2 Sao,
8,1,30,1,3,8,1761,1,4200,5,1,1,9,1,s==23|Tự Chọn Bảo Thạch Cấp 3,
9,1,30,1,3,9,1009,5,800,8,4,1,9,,s==12|Hồn Phụ Kiện,
10,1,30,1,3,10,1031,2,2400,8,2,1,9,,s==20|Thần Binh Ngọc Thạch,
11,1,30,1,3,11,4060,1,36000,6,1,1,9,,s==16|Kiếm Hùng Kim Ấn,
12,1,30,11,13,1,1004,1,300,2,3,1,9,1,s==12|Tụ Hiền Lệnh,
13,1,30,11,13,2,1003,10,660,3,1,1,9,1,s==20|Lệnh Tầm Bảo Cao Cấp,
14,1,30,11,13,3,1020,10,600,3,5,1,9,1,s==17|Tinh Hoa Tướng Ấn,
15,1,30,11,13,4,1054,10,3000,5,5,1,9,1,s==18|Tạo Hóa Thần Thạch,
16,1,30,11,13,5,1053,10,3500,5,5,1,9,1,s==24|Võ Tướng Chuyển Sinh Đan,
17,1,30,11,13,6,1105,5,2500,5,6,1,9,1,s==19|Tướng Ấn Khóa Thạch,
18,1,30,11,13,7,2162,1,1000,5,4,1,9,1,s==28|Lựa Chọn Trang Bị Hồng 2 Sao,
19,1,30,11,13,8,1761,1,4200,5,1,1,9,1,s==23|Tự Chọn Bảo Thạch Cấp 3,
20,1,30,11,13,9,1009,5,800,8,4,1,9,,s==12|Hồn Phụ Kiện,
21,1,30,11,13,10,1031,2,2400,8,2,1,9,,s==20|Thần Binh Ngọc Thạch,
22,1,30,11,13,11,5179,1,18000,6,1,1,9,,s==24|Tự Chọn Thần Sách Kỳ Mưu,
23,31,60,1,3,1,1004,1,300,2,3,1,9,1,s==12|Tụ Hiền Lệnh,
24,31,60,1,3,2,1003,10,660,3,1,1,9,1,s==20|Lệnh Tầm Bảo Cao Cấp,
25,31,60,1,3,3,1020,10,600,3,5,1,9,1,s==17|Tinh Hoa Tướng Ấn,
26,31,60,1,3,4,1054,10,3000,5,5,1,9,1,s==18|Tạo Hóa Thần Thạch,
27,31,60,1,3,5,1053,10,3500,5,5,1,9,1,s==24|Võ Tướng Chuyển Sinh Đan,
28,31,60,1,3,6,1105,5,2500,5,6,1,9,1,s==19|Tướng Ấn Khóa Thạch,
29,31,60,1,3,7,1009,10,1600,8,3,1,9,,s==12|Hồn Phụ Kiện,
30,31,60,1,3,8,1076,1,2400,8,3,1,9,,s==17|Sử Thi Tàn Chương,
31,31,60,1,3,9,1520,1,1200,8,5,1,9,,s==23|Lựa Chọn Tinh Thạch Cam,
32,31,60,1,3,10,1018,10,1600,8,3,1,9,,s==23|Cao Giai Quân Công Lệnh,
33,31,60,1,3,11,4060,1,36000,6,1,1,9,,s==16|Kiếm Hùng Kim Ấn,
34,31,60,11,13,1,1004,1,300,2,3,1,9,1,s==12|Tụ Hiền Lệnh,
35,31,60,11,13,2,1003,10,660,3,1,1,9,1,s==20|Lệnh Tầm Bảo Cao Cấp,
36,31,60,11,13,3,1020,10,600,3,5,1,9,1,s==17|Tinh Hoa Tướng Ấn,
37,31,60,11,13,4,1054,10,3000,5,5,1,9,1,s==18|Tạo Hóa Thần Thạch,
38,31,60,11,13,5,1053,10,3500,5,5,1,9,1,s==24|Võ Tướng Chuyển Sinh Đan,
39,31,60,11,13,6,1105,5,2500,5,6,1,9,1,s==19|Tướng Ấn Khóa Thạch,
40,31,60,11,13,7,1009,10,1600,8,3,1,9,,s==12|Hồn Phụ Kiện,
41,31,60,11,13,8,1076,1,2400,8,3,1,9,,s==17|Sử Thi Tàn Chương,
42,31,60,11,13,9,1520,1,1200,8,5,1,9,,s==23|Lựa Chọn Tinh Thạch Cam,
43,31,60,11,13,10,1018,10,1600,8,3,1,9,,s==23|Cao Giai Quân Công Lệnh,
44,31,60,11,13,11,5179,1,18000,6,1,1,9,,s==24|Tự Chọn Thần Sách Kỳ Mưu,
45,61,90,1,3,1,1004,1,300,2,3,1,9,1,s==12|Tụ Hiền Lệnh,
46,61,90,1,3,2,1003,10,660,3,1,1,9,1,s==20|Lệnh Tầm Bảo Cao Cấp,
47,61,90,1,3,3,1020,10,600,3,5,1,9,1,s==17|Tinh Hoa Tướng Ấn,
48,61,90,1,3,4,1054,10,3000,5,5,1,9,1,s==18|Tạo Hóa Thần Thạch,
49,61,90,1,3,5,1053,10,3500,5,5,1,9,1,s==24|Võ Tướng Chuyển Sinh Đan,
50,61,90,1,3,6,1105,5,2500,5,6,1,9,1,s==19|Tướng Ấn Khóa Thạch,
51,61,90,1,3,7,1076,1,2400,8,3,1,9,,s==17|Sử Thi Tàn Chương,
52,61,90,1,3,8,1520,1,1200,8,5,1,9,,s==23|Lựa Chọn Tinh Thạch Cam,
53,61,90,1,3,9,1509,1,4800,8,3,1,9,,s==25|Bảo Tàng Chiến Mã Trân Kỳ,
54,61,90,1,3,10,1057,1,800,8,5,1,9,,s==19|Thạch Khóa Chiến Mã,
55,61,90,1,3,11,4060,1,36000,6,1,1,9,,s==16|Kiếm Hùng Kim Ấn,
56,61,90,11,13,1,1004,1,300,2,3,1,9,1,s==12|Tụ Hiền Lệnh,
57,61,90,11,13,2,1003,10,660,3,1,1,9,1,s==20|Lệnh Tầm Bảo Cao Cấp,
58,61,90,11,13,3,1020,10,600,3,5,1,9,1,s==17|Tinh Hoa Tướng Ấn,
59,61,90,11,13,4,1054,10,3000,5,5,1,9,1,s==18|Tạo Hóa Thần Thạch,
60,61,90,11,13,5,1053,10,3500,5,5,1,9,1,s==24|Võ Tướng Chuyển Sinh Đan,
61,61,90,11,13,6,1105,5,2500,5,6,1,9,1,s==19|Tướng Ấn Khóa Thạch,
62,61,90,11,13,7,1076,1,2400,8,3,1,9,,s==17|Sử Thi Tàn Chương,
63,61,90,11,13,8,1520,1,1200,8,5,1,9,,s==23|Lựa Chọn Tinh Thạch Cam,
64,61,90,11,13,9,1509,1,4800,8,3,1,9,,s==25|Bảo Tàng Chiến Mã Trân Kỳ,
