id,dateStart,dateEnd,group,giftId,levelid,
1,1,30,1,28400,1,
2,31,60,1,28400,1,
3,61,90,1,28400,1,
4,91,120,1,28400,1,
5,121,-1,1,28400,1,
6,1,30,2,28410,2,
7,31,60,2,28411,2,
8,61,90,2,28412,2,
9,91,120,2,28413,2,
10,121,-1,2,28441,2,
11,1,30,3,28420,3,
12,31,60,3,28421,3,
13,61,90,3,28422,3,
14,91,120,3,28423,3,
15,121,-1,3,28442,3,
16,1,30,4,28430,4,
17,31,60,4,28430,4,
18,61,90,4,28430,4,
19,91,120,4,28430,4,
20,121,-1,4,28443,4,
21,1,30,5,28440,5,
22,31,60,5,28440,5,
23,61,90,5,28440,5,
24,91,120,5,28440,5,
25,121,-1,5,28440,5,
