id,dateStart,dateEnd,stageStart,stageEnd,stage,seat,rewards-type-1,rewards-id-1,rewards-value-1,upperLimit,desc,replaceItem,preposeNum,mustNum,showOdd1,realOdd,dibaoGroup,dibaoOdd,isWholeServer,
1,1,7,1,3,1,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,13,166,310,120,120,1,,1,
2,1,7,1,3,1,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,14,70,90,200,200,1,,1,
3,1,7,1,3,1,3,2,1030,4,,s==13|Hồn Thần Binh,,,,200,200,1,2500,,
4,1,7,1,3,1,4,2,1081,4,,s==24|Phượng Quân Mĩ Nhân Quan,,,,200,200,1,2500,,
5,1,7,1,3,1,5,2,1044,8,,s==16|Linh Hồn Bảo Vật,,,,200,200,1,2500,,
6,1,7,1,3,1,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
7,1,7,1,3,1,7,2,1082,3,,s==15|Lụa Gấm Mĩ Nhân,,,,1000,1000,,,,
8,1,7,1,3,1,8,2,1043,6,,s==22|Thạch Tiến Cấp Bảo Vật,,,,1000,1000,,,,
9,1,7,1,3,1,9,2,1029,3,,s==26|Thần Binh Tinh Luyện Thạch,,,,1000,1000,,,,
10,1,7,1,3,1,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
11,1,7,1,3,1,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,800,800,,,,
12,1,7,1,3,1,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,733,733,,,,
13,1,7,1,3,1,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
14,1,7,1,3,1,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,800,800,,,,
15,1,7,1,3,1,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
16,1,7,1,3,1,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
17,1,7,1,3,1,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,600,600,,,,
18,1,7,1,3,1,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,600,600,,,,
19,1,7,4,7,2,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,31,166,310,120,120,1,,1,
20,1,7,4,7,2,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,32,70,90,200,200,1,,1,
21,1,7,4,7,2,3,2,1030,4,,s==13|Hồn Thần Binh,,,,200,200,1,2500,,
22,1,7,4,7,2,4,2,1081,4,,s==24|Phượng Quân Mĩ Nhân Quan,,,,200,200,1,2500,,
23,1,7,4,7,2,5,2,1044,8,,s==16|Linh Hồn Bảo Vật,,,,200,200,1,2500,,
24,1,7,4,7,2,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
25,1,7,4,7,2,7,2,1082,3,,s==15|Lụa Gấm Mĩ Nhân,,,,1000,1000,,,,
26,1,7,4,7,2,8,2,1043,6,,s==22|Thạch Tiến Cấp Bảo Vật,,,,1000,1000,,,,
27,1,7,4,7,2,9,2,1029,3,,s==26|Thần Binh Tinh Luyện Thạch,,,,1000,1000,,,,
28,1,7,4,7,2,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
29,1,7,4,7,2,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,800,800,,,,
30,1,7,4,7,2,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,733,733,,,,
31,1,7,4,7,2,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
32,1,7,4,7,2,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,800,800,,,,
33,1,7,4,7,2,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
34,1,7,4,7,2,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
35,1,7,4,7,2,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,600,600,,,,
36,1,7,4,7,2,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,600,600,,,,
37,8,15,1,3,1,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,49,166,310,120,120,1,,1,
38,8,15,1,3,1,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,50,70,90,200,200,1,,1,
39,8,15,1,3,1,3,2,1037,4,,s==13|Thôi Hỏa Ngọc,,,,200,200,1,2500,,
40,8,15,1,3,1,4,2,1056,6,,s==16|Chú Hồn Tinh Hồn,,,,300,300,1,2500,,
41,8,15,1,3,1,5,2,1104,2,,s==18|Bảo Thạch Tinh Hoa,,,,100,100,1,2500,,
42,8,15,1,3,1,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
43,8,15,1,3,1,7,2,1036,3,,s==14|Đả Khổng Thạch,,,,1800,1800,,,,
44,8,15,1,3,1,8,2,1055,10,,s==23|Chú Hồn Tiến Giai Thạch,,,,600,600,,,,
45,8,15,1,3,1,9,2,1103,3,,s==25|Bảo Thạch Nung Luyện Tinh,,,,300,300,,,,
46,8,15,1,3,1,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
47,8,15,1,3,1,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,900,900,,,,
48,8,15,1,3,1,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,733,733,,,,
49,8,15,1,3,1,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
50,8,15,1,3,1,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,800,800,,,,
51,8,15,1,3,1,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
52,8,15,1,3,1,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
53,8,15,1,3,1,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,700,700,,,,
54,8,15,1,3,1,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,700,700,,,,
55,8,15,4,7,2,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,67,166,310,120,120,1,,1,
56,8,15,4,7,2,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,68,70,90,200,200,1,,1,
57,8,15,4,7,2,3,2,1037,4,,s==13|Thôi Hỏa Ngọc,,,,200,200,1,2500,,
58,8,15,4,7,2,4,2,1056,6,,s==16|Chú Hồn Tinh Hồn,,,,300,300,1,2500,,
59,8,15,4,7,2,5,2,1104,2,,s==18|Bảo Thạch Tinh Hoa,,,,100,100,1,2500,,
60,8,15,4,7,2,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
61,8,15,4,7,2,7,2,1036,3,,s==14|Đả Khổng Thạch,,,,1800,1800,,,,
62,8,15,4,7,2,8,2,1055,10,,s==23|Chú Hồn Tiến Giai Thạch,,,,600,600,,,,
63,8,15,4,7,2,9,2,1103,3,,s==25|Bảo Thạch Nung Luyện Tinh,,,,300,300,,,,
64,8,15,4,7,2,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
65,8,15,4,7,2,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,900,900,,,,
66,8,15,4,7,2,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,733,733,,,,
67,8,15,4,7,2,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
68,8,15,4,7,2,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,800,800,,,,
69,8,15,4,7,2,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
70,8,15,4,7,2,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
71,8,15,4,7,2,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,700,700,,,,
72,8,15,4,7,2,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,700,700,,,,
73,16,30,1,3,1,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,85,166,310,120,120,1,,1,
74,16,30,1,3,1,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,86,70,90,200,200,1,,1,
75,16,30,1,3,1,3,2,1105,2,,s==19|Tướng Ấn Khóa Thạch,,,,200,200,1,2500,,
76,16,30,1,3,1,4,2,1009,4,,s==12|Hồn Phụ Kiện,,,,200,200,1,2500,,
77,16,30,1,3,1,5,2,1010,4,,s==25|Phối Sức Tinh Luyện Thạch,,,,200,200,1,2500,,
78,16,30,1,3,1,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
79,16,30,1,3,1,7,2,1011,3,,s==24|Thạch Thăng Sao Phụ Kiện,,,,1000,1000,,,,
80,16,30,1,3,1,8,2,1052,20,,s==21|Chuyển Hóa Thần Thạch,,,,600,600,,,,
81,16,30,1,3,1,9,2,1078,150,,s==11|Nữ Nhi Hồng,,,,1000,1000,,,,
82,16,30,1,3,1,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
83,16,30,1,3,1,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,900,900,,,,
84,16,30,1,3,1,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,833,833,,,,
85,16,30,1,3,1,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
86,16,30,1,3,1,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,800,800,,,,
87,16,30,1,3,1,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
88,16,30,1,3,1,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
89,16,30,1,3,1,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,700,700,,,,
90,16,30,1,3,1,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,700,700,,,,
91,16,30,4,7,2,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,103,166,310,120,120,1,,1,
92,16,30,4,7,2,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,104,70,90,200,200,1,,1,
93,16,30,4,7,2,3,2,1105,2,,s==19|Tướng Ấn Khóa Thạch,,,,200,200,1,2500,,
94,16,30,4,7,2,4,2,1009,4,,s==12|Hồn Phụ Kiện,,,,200,200,1,2500,,
95,16,30,4,7,2,5,2,1010,4,,s==25|Phối Sức Tinh Luyện Thạch,,,,200,200,1,2500,,
96,16,30,4,7,2,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
97,16,30,4,7,2,7,2,1011,3,,s==24|Thạch Thăng Sao Phụ Kiện,,,,1000,1000,,,,
98,16,30,4,7,2,8,2,1052,20,,s==21|Chuyển Hóa Thần Thạch,,,,600,600,,,,
99,16,30,4,7,2,9,2,1078,150,,s==11|Nữ Nhi Hồng,,,,1000,1000,,,,
100,16,30,4,7,2,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
101,16,30,4,7,2,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,900,900,,,,
102,16,30,4,7,2,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,833,833,,,,
103,16,30,4,7,2,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
104,16,30,4,7,2,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,800,800,,,,
105,16,30,4,7,2,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
106,16,30,4,7,2,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
107,16,30,4,7,2,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,700,700,,,,
108,16,30,4,7,2,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,700,700,,,,
109,31,60,1,3,1,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,121,166,310,120,120,1,,1,
110,31,60,1,3,1,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,122,70,90,200,200,1,,1,
111,31,60,1,3,1,3,2,1050,10,,s==24|Thạch Tẩy Luyện Chiến Kỳ,,,,150,150,1,2500,,
112,31,60,1,3,1,4,2,1076,1,,s==17|Sử Thi Tàn Chương,,,,120,120,1,2500,,
113,31,60,1,3,1,5,2,1105,2,,s==19|Tướng Ấn Khóa Thạch,,,,200,200,1,2500,,
114,31,60,1,3,1,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
115,31,60,1,3,1,7,2,1049,2,,s==17|Tinh Hoa Chiến Kỳ,,,,1000,1000,,,,
116,31,60,1,3,1,8,2,1052,20,,s==21|Chuyển Hóa Thần Thạch,,,,600,600,,,,
117,31,60,1,3,1,9,2,1078,150,,s==11|Nữ Nhi Hồng,,,,1000,1000,,,,
118,31,60,1,3,1,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
119,31,60,1,3,1,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,900,900,,,,
120,31,60,1,3,1,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,833,833,,,,
121,31,60,1,3,1,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
122,31,60,1,3,1,14,2,3002,10,,s==21|Mảnh Ngẫu Nhiên 4 Sao,,,,900,900,,,,
123,31,60,1,3,1,15,2,1006,100,,s==14|Tướng Ấn Thạch,,,,800,800,,,,
124,31,60,1,3,1,16,2,1001,100,,s==13|Đột Phá Thạch,,,,800,800,,,,
125,31,60,1,3,1,17,2,2200,1,,s==21|Túi May Mắn Đồng Tiền,,,,700,700,,,,
126,31,60,1,3,1,18,2,2201,1,,s==23|Túi May Mắn Kinh Nghiệm,,,,700,700,,,,
127,31,60,4,7,2,1,2,6667,1,,s==32|Hoa Hỏa Thiên Thụ Tự Chọn Lễ Bao,139,166,310,120,120,1,,1,
128,31,60,4,7,2,2,2,3014,50,,s==18|Mảnh Thần Ma 5 Sao,140,70,90,200,200,1,,1,
129,31,60,4,7,2,3,2,1050,10,,s==24|Thạch Tẩy Luyện Chiến Kỳ,,,,150,150,1,2500,,
130,31,60,4,7,2,4,2,1076,1,,s==17|Sử Thi Tàn Chương,,,,120,120,1,2500,,
131,31,60,4,7,2,5,2,1105,2,,s==19|Tướng Ấn Khóa Thạch,,,,200,200,1,2500,,
132,31,60,4,7,2,6,2,1014,2,,s==21|Đoạt Bảo Lệnh Cao Cấp,,,,200,200,1,2500,,
133,31,60,4,7,2,7,2,1049,2,,s==17|Tinh Hoa Chiến Kỳ,,,,1000,1000,,,,
134,31,60,4,7,2,8,2,1052,20,,s==21|Chuyển Hóa Thần Thạch,,,,600,600,,,,
135,31,60,4,7,2,9,2,1078,150,,s==11|Nữ Nhi Hồng,,,,1000,1000,,,,
136,31,60,4,7,2,10,2,1003,1,,s==20|Lệnh Tầm Bảo Cao Cấp,,,,500,500,,,,
137,31,60,4,7,2,11,2,1027,10,,s==25|Thần Binh Cường Hóa Thạch,,,,900,900,,,,
138,31,60,4,7,2,12,2,1077,20,,s==16|Tinh Túy Tự Chọn,,,,833,833,,,,
139,31,60,4,7,2,13,2,3008,5,,s==24|Mảnh Vỡ Ngẫu Nhiên 5 Sao,,,,500,500,,,,
