id,dateStart,dateEnd,stageStart,stageEnd,stage,itemGroup,belovedItemID,isShowRecord,isRecord,desc,rewards-type-1,rewards-id-1,rewards-value-1,showOdd1,realOdd,preposeNum,mustNum,isShowSurplus,surplusNum,isEffect,
1,1,5,1,7,1,1,1,1,1,s==32|Hồng Liên Nghiệp Hỏa (Vĩnh Hằng),2,13712,1,67,100,50,200,,,1,
2,1,5,1,7,1,1,2,1,1,s==28|Lang Nha Cầm Vận (Vĩnh Hằng),2,13728,1,67,100,50,200,,,1,
3,1,5,1,7,1,1,3,1,1,s==33|Thiên Công Tướng Quân (Vĩnh viễn),2,13003,1,28,38,100,470,,,1,
4,1,5,1,7,1,1,4,1,1,s==24|Thần Ma Tự Chọn Võ Tướng,2,1530,1,182,500,35,65,1,3,1,
5,1,5,1,7,1,1,5,1,1,s==37|Hộp Lựa Chọn Tối Thượng Ngụy Thục Ngô,2,5095,1,222,1000,35,65,1,3,1,
6,1,5,1,7,1,1,6,1,1,s==21|Siêu Cấp Kỹ Năng Ngọc,2,1177,1,38,250,220,380,1,8,1,
7,1,5,1,7,1,1,7,1,1,s==23|Ngọc Kỹ Năng Thượng Cấp,2,1176,1,111,500,70,110,1,3,1,
8,1,5,1,7,1,1,8,1,1,s==18|Lãnh Quân Tướng Ấn,2,4040,1,184,700,40,70,1,3,1,
9,1,5,1,7,1,1,9,1,1,s==26|Tứ Tinh Hồng Trang Tự Chọn,2,2128,1,105,667,80,120,1,4,1,
10,1,5,1,7,1,1,10,1,1,s==19|Lựa Chọn Ngọc Cấp 4,2,2088,1,125,500,60,120,1,4,1,
11,1,5,1,7,1,2,,,,s==18|Mảnh Thần Ma 5 Sao,2,3014,10,300,300,,,,,,
12,1,5,1,7,1,2,,,,s==13|Hồn Thần Binh,2,1030,4,200,200,,,,,,
13,1,5,1,7,1,2,,,,s==24|Phượng Quân Mĩ Nhân Quan,2,1081,4,200,200,,,,,,
14,1,5,1,7,1,2,,,,s==16|Linh Hồn Bảo Vật,2,1044,2,200,200,,,,,,
15,1,5,1,7,1,2,,,,s==15|Lụa Gấm Mĩ Nhân,2,1082,3,500,500,,,,,,
