id,day,taskDesc,targetType,targetId,targetVal,
1,1,s==4|登录游戏,101,0,1,
2,1,s==8|活跃度达到100,377,0,100,
3,1,s==6|充值任意金额,510,0,1,
4,2,s==4|登录游戏,101,0,1,
5,2,s==8|活跃度达到100,377,0,100,
6,2,s==6|充值任意金额,510,0,1,
7,3,s==4|登录游戏,101,0,1,
8,3,s==8|活跃度达到100,377,0,100,
9,3,s==6|充值任意金额,510,0,1,
10,4,s==4|登录游戏,101,0,1,
11,4,s==8|活跃度达到100,377,0,100,
12,4,s==6|充值任意金额,510,0,1,
13,5,s==4|登录游戏,101,0,1,
14,5,s==8|活跃度达到100,377,0,100,
15,5,s==6|充值任意金额,510,0,1,
16,6,s==4|登录游戏,101,0,1,
17,6,s==8|活跃度达到100,377,0,100,
18,6,s==6|充值任意金额,510,0,1,
19,7,s==4|登录游戏,101,0,1,
20,7,s==8|活跃度达到100,377,0,100,
21,7,s==6|充值任意金额,510,0,1,
