id,actID,areanShow,day,desc,dateStart,dateEnd,rewards-type-1,rewards-id-1,rewards-value-1,oldId,
1,5810,s==2|tw,1,s==3|第一天,1,-1,2,1003,3,1,
2,5810,s==2|tw,2,s==3|第二天,1,-1,2,1004,1,2,
3,5810,s==2|tw,3,s==3|第三天,1,-1,2,3008,10,3,
4,5810,s==2|tw,4,s==3|第四天,1,-1,2,1006,1000,4,
5,5810,s==2|tw,5,s==3|第五天,1,-1,1,9,300,5,
6,5810,s==2|tw,6,s==3|第六天,1,-1,2,1007,5,6,
7,5810,s==2|tw,7,s==3|第七天,1,-1,2,25504,50,7,
8,5810,s==2|tw,8,s==3|第八天,1,-1,1,9,400,8,
9,5810,s==2|tw,9,s==3|第九天,1,-1,2,1003,3,9,
10,5810,s==2|tw,10,s==3|第十天,1,-1,2,1006,1000,10,
11,5810,s==2|tw,11,s==4|第十一天,1,-1,1,9,500,11,
12,5810,s==2|tw,12,s==4|第十二天,1,-1,2,1004,1,12,
13,5810,s==2|tw,13,s==4|第十三天,1,-1,2,1014,1,13,
14,5810,s==2|tw,14,s==4|第十四天,1,-1,2,13052,1,14,
15,5810,s==2|jp,1,s==3|第一天,1,-1,2,1003,3,1,
16,5810,s==2|jp,2,s==3|第二天,1,-1,2,1004,1,2,
17,5810,s==2|jp,3,s==3|第三天,1,-1,2,3008,10,3,
18,5810,s==2|jp,4,s==3|第四天,1,-1,2,1006,1000,4,
19,5810,s==2|jp,5,s==3|第五天,1,-1,1,9,300,5,
20,5810,s==2|jp,6,s==3|第六天,1,-1,2,1007,5,6,
21,5810,s==2|jp,7,s==3|第七天,1,-1,2,25504,50,7,
22,5810,s==2|jp,8,s==3|第八天,1,-1,1,9,400,8,
23,5810,s==2|jp,9,s==3|第九天,1,-1,2,1003,3,9,
24,5810,s==2|jp,10,s==3|第十天,1,-1,2,1006,1000,10,
25,5810,s==2|jp,11,s==4|第十一天,1,-1,1,9,500,11,
26,5810,s==2|jp,12,s==4|第十二天,1,-1,2,1004,1,12,
27,5810,s==2|jp,13,s==4|第十三天,1,-1,2,1014,1,13,
28,5810,s==2|jp,14,s==4|第十四天,1,-1,2,13052,1,14,
29,5810,s==2|cn,1,s==3|第一天,1,-1,2,1003,3,1,
30,5810,s==2|cn,2,s==3|第二天,1,-1,2,1004,1,2,
31,5810,s==2|cn,3,s==3|第三天,1,-1,2,130531,1,3,
32,5810,s==2|cn,4,s==3|第四天,1,-1,2,1006,1000,4,
33,5810,s==2|cn,5,s==3|第五天,1,-1,1,9,300,5,
34,5810,s==2|cn,6,s==3|第六天,1,-1,2,1007,5,6,
35,5810,s==2|cn,7,s==3|第七天,1,-1,2,25515,50,7,
36,5810,s==2|cn,8,s==3|第八天,1,-1,1,9,400,8,
37,5810,s==2|cn,9,s==3|第九天,1,-1,2,1003,3,9,
38,5810,s==2|cn,10,s==3|第十天,1,-1,2,1006,1000,10,
39,5810,s==2|cn,11,s==4|第十一天,1,-1,1,9,500,11,
40,5810,s==2|cn,12,s==4|第十二天,1,-1,2,1004,1,12,
41,5810,s==2|cn,13,s==4|第十三天,1,-1,2,1014,1,13,
42,5810,s==2|cn,14,s==4|第十四天,1,-1,2,13765,1,14,
43,5810,s==2|vn,1,s==3|第一天,1,-1,2,1003,3,1,
44,5810,s==2|vn,2,s==3|第二天,1,-1,2,1004,1,2,
45,5810,s==2|vn,3,s==3|第三天,1,-1,2,3008,10,3,
46,5810,s==2|vn,4,s==3|第四天,1,-1,2,1006,1000,4,
47,5810,s==2|vn,5,s==3|第五天,1,-1,1,9,300,5,
48,5810,s==2|vn,6,s==3|第六天,1,-1,2,1007,5,6,
49,5810,s==2|vn,7,s==3|第七天,1,-1,2,25504,50,7,
50,5810,s==2|vn,8,s==3|第八天,1,-1,1,9,400,8,
51,5810,s==2|vn,9,s==3|第九天,1,-1,2,1003,3,9,
52,5810,s==2|vn,10,s==3|第十天,1,-1,2,1006,1000,10,
53,5810,s==2|vn,11,s==4|第十一天,1,-1,1,9,500,11,
54,5810,s==2|vn,12,s==4|第十二天,1,-1,2,1004,1,12,
55,5810,s==2|vn,13,s==4|第十三天,1,-1,2,1014,1,13,
56,5810,s==2|vn,14,s==4|第十四天,1,-1,2,13052,1,14,
57,5810,s==2|kr,1,s==3|第一天,1,-1,2,1003,3,1,
58,5810,s==2|kr,2,s==3|第二天,1,-1,2,1004,1,2,
59,5810,s==2|kr,3,s==3|第三天,1,-1,2,3008,10,3,
60,5810,s==2|kr,4,s==3|第四天,1,-1,2,1006,1000,4,
61,5810,s==2|kr,5,s==3|第五天,1,-1,1,9,300,5,
62,5810,s==2|kr,6,s==3|第六天,1,-1,2,1007,5,6,
63,5810,s==2|kr,7,s==3|第七天,1,-1,2,25504,50,7,
64,5810,s==2|kr,8,s==3|第八天,1,-1,1,9,400,8,
65,5810,s==2|kr,9,s==3|第九天,1,-1,2,1003,3,9,
66,5810,s==2|kr,10,s==3|第十天,1,-1,2,1006,1000,10,
67,5810,s==2|kr,11,s==4|第十一天,1,-1,1,9,500,11,
68,5810,s==2|kr,12,s==4|第十二天,1,-1,2,1004,1,12,
69,5810,s==2|kr,13,s==4|第十三天,1,-1,2,1014,1,13,
70,5810,s==2|kr,14,s==4|第十四天,1,-1,2,13054,1,14,
71,5810,s==2|ml,1,s==3|第一天,1,-1,2,1003,3,1,
72,5810,s==2|ml,2,s==3|第二天,1,-1,2,1004,1,2,
73,5810,s==2|ml,3,s==3|第三天,1,-1,2,130531,1,3,
74,5810,s==2|ml,4,s==3|第四天,1,-1,2,1006,1000,4,
