ID,taskName,Canal,taskType,taskNum,playerNum,reward-type-1,reward-id-1,reward-value-1,reward-type-2,reward-id-2,reward-value-2,reward-type-3,reward-id-3,reward-value-3,
1,s==11|累计1位好友达到50级,s==3|qkw,1,50,1,1,9,200,2,1003,3,1,10,500000,
2,s==11|累计3位好友达到50级,s==3|qkw,1,50,3,1,9,400,2,1003,5,1,10,1000000,
3,s==11|累计5位好友达到50级,s==3|qkw,1,50,5,1,9,600,2,1003,10,1,10,2000000,
4,s==12|累计10位好友达到50级,s==3|qkw,1,50,10,1,9,800,2,1004,3,2,1003,10,
5,s==12|累计1位好友达到vip3,s==3|qkw,2,3,1,1,9,300,2,1003,10,1,8,1000000,
6,s==12|累计3位好友达到vip3,s==3|qkw,2,3,3,1,9,500,2,1003,20,1,8,2000000,
7,s==12|累计5位好友达到vip3,s==3|qkw,2,3,5,1,9,800,2,1516,1,1,8,5000000,
8,s==13|累计10位好友达到vip3,s==3|qkw,2,3,10,1,9,1000,2,5095,1,2,1004,3,
9,s==12|累计1位好友达到vip5,s==3|qkw,2,5,1,1,9,300,2,1004,3,2,1006,500,
10,s==12|累计3位好友达到vip5,s==3|qkw,2,5,3,1,9,500,2,1527,1,2,1006,1000,
11,s==12|累计5位好友达到vip5,s==3|qkw,2,5,5,1,9,800,2,4040,1,2,1006,2500,
12,s==13|累计10位好友达到vip5,s==3|qkw,2,5,10,1,9,1000,2,1530,2,2,1006,5000,
13,s==12|累计1位好友累计登陆3天,s==3|qkw,3,3,1,1,9,200,2,1007,1,2,1001,200,
14,s==12|累计3位好友累计登陆3天,s==3|qkw,3,3,3,1,9,500,2,1007,3,2,1001,500,
15,s==12|累计5位好友累计登陆3天,s==3|qkw,3,3,5,1,9,800,2,1007,5,2,1001,800,
16,s==13|累计10位好友累计登陆3天,s==3|qkw,3,3,10,1,9,1200,2,3008,50,2,1001,1200,
17,s==12|累计1位好友累计登陆7天,s==3|qkw,3,7,1,1,9,300,2,1003,1,2,1001,300,
18,s==12|累计3位好友累计登陆7天,s==3|qkw,3,7,3,1,9,500,2,1003,3,2,1001,500,
19,s==12|累计5位好友累计登陆7天,s==3|qkw,3,7,5,1,9,1000,2,1003,5,2,1001,1000,
20,s==13|累计10位好友累计登陆7天,s==3|qkw,3,7,10,1,9,1500,2,1003,20,2,1001,2000,
21,s==11|累计1位好友达到50级,s==3|hkw,1,50,1,1,9,200,2,1003,3,1,10,500000,
22,s==11|累计3位好友达到50级,s==3|hkw,1,50,3,1,9,400,2,1003,5,1,10,1000000,
23,s==11|累计5位好友达到50级,s==3|hkw,1,50,5,1,9,600,2,1003,10,1,10,2000000,
24,s==12|累计10位好友达到50级,s==3|hkw,1,50,10,1,9,800,2,1004,3,2,1003,10,
25,s==12|累计1位好友达到vip3,s==3|hkw,2,3,1,1,9,300,2,1003,10,1,8,1000000,
26,s==12|累计3位好友达到vip3,s==3|hkw,2,3,3,1,9,500,2,1003,20,1,8,2000000,
27,s==12|累计5位好友达到vip3,s==3|hkw,2,3,5,1,9,800,2,1516,1,1,8,5000000,
28,s==13|累计10位好友达到vip3,s==3|hkw,2,3,10,1,9,1000,2,5095,1,2,1004,3,
29,s==12|累计1位好友达到vip5,s==3|hkw,2,5,1,1,9,300,2,1004,3,2,1006,500,
30,s==12|累计3位好友达到vip5,s==3|hkw,2,5,3,1,9,500,2,1527,1,2,1006,1000,
31,s==12|累计5位好友达到vip5,s==3|hkw,2,5,5,1,9,800,2,4040,1,2,1006,2500,
32,s==13|累计10位好友达到vip5,s==3|hkw,2,5,10,1,9,1000,2,1530,2,2,1006,5000,
33,s==12|累计1位好友累计登陆3天,s==3|hkw,3,3,1,1,9,200,2,1007,1,2,1001,200,
34,s==12|累计3位好友累计登陆3天,s==3|hkw,3,3,3,1,9,500,2,1007,3,2,1001,500,
35,s==12|累计5位好友累计登陆3天,s==3|hkw,3,3,5,1,9,800,2,1007,5,2,1001,800,
36,s==13|累计10位好友累计登陆3天,s==3|hkw,3,3,10,1,9,1200,2,3008,50,2,1001,1200,
37,s==12|累计1位好友累计登陆7天,s==3|hkw,3,7,1,1,9,300,2,1003,1,2,1001,300,
38,s==12|累计3位好友累计登陆7天,s==3|hkw,3,7,3,1,9,500,2,1003,3,2,1001,500,
39,s==12|累计5位好友累计登陆7天,s==3|hkw,3,7,5,1,9,1000,2,1003,5,2,1001,1000,
40,s==13|累计10位好友累计登陆7天,s==3|hkw,3,7,10,1,9,1500,2,1003,20,2,1001,2000,
41,s==11|累计1位好友达到50级,s==3|hky,1,50,1,1,9,200,2,1003,3,1,10,500000,
42,s==11|累计3位好友达到50级,s==3|hky,1,50,3,1,9,400,2,1003,5,1,10,1000000,
43,s==11|累计5位好友达到50级,s==3|hky,1,50,5,1,9,600,2,1003,10,1,10,2000000,
44,s==12|累计10位好友达到50级,s==3|hky,1,50,10,1,9,800,2,1004,3,2,1003,10,
45,s==12|累计1位好友达到vip3,s==3|hky,2,3,1,1,9,300,2,1003,10,1,8,1000000,
46,s==12|累计3位好友达到vip3,s==3|hky,2,3,3,1,9,500,2,1003,20,1,8,2000000,
47,s==12|累计5位好友达到vip3,s==3|hky,2,3,5,1,9,800,2,1516,1,1,8,5000000,
48,s==13|累计10位好友达到vip3,s==3|hky,2,3,10,1,9,1000,2,5095,1,2,1004,3,
49,s==12|累计1位好友达到vip5,s==3|hky,2,5,1,1,9,300,2,1004,3,2,1006,500,
50,s==12|累计3位好友达到vip5,s==3|hky,2,5,3,1,9,500,2,1527,1,2,1006,1000,
51,s==12|累计5位好友达到vip5,s==3|hky,2,5,5,1,9,800,2,4040,1,2,1006,2500,
52,s==13|累计10位好友达到vip5,s==3|hky,2,5,10,1,9,1000,2,1530,2,2,1006,5000,
53,s==12|累计1位好友累计登陆3天,s==3|hky,3,3,1,1,9,200,2,1007,1,2,1001,200,
54,s==12|累计3位好友累计登陆3天,s==3|hky,3,3,3,1,9,500,2,1007,3,2,1001,500,
55,s==12|累计5位好友累计登陆3天,s==3|hky,3,3,5,1,9,800,2,1007,5,2,1001,800,
56,s==13|累计10位好友累计登陆3天,s==3|hky,3,3,10,1,9,1200,2,3008,50,2,1001,1200,
57,s==12|累计1位好友累计登陆7天,s==3|hky,3,7,1,1,9,300,2,1003,1,2,1001,300,
58,s==12|累计3位好友累计登陆7天,s==3|hky,3,7,3,1,9,500,2,1003,3,2,1001,500,
59,s==12|累计5位好友累计登陆7天,s==3|hky,3,7,5,1,9,1000,2,1003,5,2,1001,1000,
60,s==13|累计10位好友累计登陆7天,s==3|hky,3,7,10,1,9,1500,2,1003,20,2,1001,2000,
61,s==11|累计1位好友达到50级,s==3|hk1,1,50,1,1,9,200,2,1003,3,1,10,500000,
62,s==11|累计3位好友达到50级,s==3|hk1,1,50,3,1,9,400,2,1003,5,1,10,1000000,
63,s==11|累计5位好友达到50级,s==3|hk1,1,50,5,1,9,600,2,1003,10,1,10,2000000,
64,s==12|累计10位好友达到50级,s==3|hk1,1,50,10,1,9,800,2,1004,3,2,1003,10,
65,s==12|累计1位好友达到vip3,s==3|hk1,2,3,1,1,9,300,2,1003,10,1,8,1000000,
66,s==12|累计3位好友达到vip3,s==3|hk1,2,3,3,1,9,500,2,1003,20,1,8,2000000,
67,s==12|累计5位好友达到vip3,s==3|hk1,2,3,5,1,9,800,2,1516,1,1,8,5000000,
68,s==13|累计10位好友达到vip3,s==3|hk1,2,3,10,1,9,1000,2,5095,1,2,1004,3,
69,s==12|累计1位好友达到vip5,s==3|hk1,2,5,1,1,9,300,2,1004,3,2,1006,500,
70,s==12|累计3位好友达到vip5,s==3|hk1,2,5,3,1,9,500,2,1527,1,2,1006,1000,
71,s==12|累计5位好友达到vip5,s==3|hk1,2,5,5,1,9,800,2,4040,1,2,1006,2500,
72,s==13|累计10位好友达到vip5,s==3|hk1,2,5,10,1,9,1000,2,1530,2,2,1006,5000,
73,s==12|累计1位好友累计登陆3天,s==3|hk1,3,3,1,1,9,200,2,1007,1,2,1001,200,
74,s==12|累计3位好友累计登陆3天,s==3|hk1,3,3,3,1,9,500,2,1007,3,2,1001,500,
75,s==12|累计5位好友累计登陆3天,s==3|hk1,3,3,5,1,9,800,2,1007,5,2,1001,800,
76,s==13|累计10位好友累计登陆3天,s==3|hk1,3,3,10,1,9,1200,2,3008,50,2,1001,1200,
77,s==12|累计1位好友累计登陆7天,s==3|hk1,3,7,1,1,9,300,2,1003,1,2,1001,300,
78,s==12|累计3位好友累计登陆7天,s==3|hk1,3,7,3,1,9,500,2,1003,3,2,1001,500,
79,s==12|累计5位好友累计登陆7天,s==3|hk1,3,7,5,1,9,1000,2,1003,5,2,1001,1000,
80,s==13|累计10位好友累计登陆7天,s==3|hk1,3,7,10,1,9,1500,2,1003,20,2,1001,2000,
81,s==11|累计1位好友达到50级,s==3|hk2,1,50,1,1,9,200,2,1003,3,1,10,500000,
82,s==11|累计3位好友达到50级,s==3|hk2,1,50,3,1,9,400,2,1003,5,1,10,1000000,
83,s==11|累计5位好友达到50级,s==3|hk2,1,50,5,1,9,600,2,1003,10,1,10,2000000,
84,s==12|累计10位好友达到50级,s==3|hk2,1,50,10,1,9,800,2,1004,3,2,1003,10,
85,s==12|累计1位好友达到vip3,s==3|hk2,2,3,1,1,9,300,2,1003,10,1,8,1000000,
86,s==12|累计3位好友达到vip3,s==3|hk2,2,3,3,1,9,500,2,1003,20,1,8,2000000,
87,s==12|累计5位好友达到vip3,s==3|hk2,2,3,5,1,9,800,2,1516,1,1,8,5000000,
88,s==13|累计10位好友达到vip3,s==3|hk2,2,3,10,1,9,1000,2,5095,1,2,1004,3,
89,s==12|累计1位好友达到vip5,s==3|hk2,2,5,1,1,9,300,2,1004,3,2,1006,500,
90,s==12|累计3位好友达到vip5,s==3|hk2,2,5,3,1,9,500,2,1527,1,2,1006,1000,
91,s==12|累计5位好友达到vip5,s==3|hk2,2,5,5,1,9,800,2,4040,1,2,1006,2500,
92,s==13|累计10位好友达到vip5,s==3|hk2,2,5,10,1,9,1000,2,1530,2,2,1006,5000,
93,s==12|累计1位好友累计登陆3天,s==3|hk2,3,3,1,1,9,200,2,1007,1,2,1001,200,
94,s==12|累计3位好友累计登陆3天,s==3|hk2,3,3,3,1,9,500,2,1007,3,2,1001,500,
95,s==12|累计5位好友累计登陆3天,s==3|hk2,3,3,5,1,9,800,2,1007,5,2,1001,800,
96,s==13|累计10位好友累计登陆3天,s==3|hk2,3,3,10,1,9,1200,2,3008,50,2,1001,1200,
97,s==12|累计1位好友累计登陆7天,s==3|hk2,3,7,1,1,9,300,2,1003,1,2,1001,300,
98,s==12|累计3位好友累计登陆7天,s==3|hk2,3,7,3,1,9,500,2,1003,3,2,1001,500,
99,s==12|累计5位好友累计登陆7天,s==3|hk2,3,7,5,1,9,1000,2,1003,5,2,1001,1000,
100,s==13|累计10位好友累计登陆7天,s==3|hk2,3,7,10,1,9,1500,2,1003,20,2,1001,2000,
101,s==11|累计1位好友达到50级,s==3|hk4,1,50,1,1,9,200,2,1003,3,1,10,500000,
102,s==11|累计3位好友达到50级,s==3|hk4,1,50,3,1,9,400,2,1003,5,1,10,1000000,
103,s==11|累计5位好友达到50级,s==3|hk4,1,50,5,1,9,600,2,1003,10,1,10,2000000,
104,s==12|累计10位好友达到50级,s==3|hk4,1,50,10,1,9,800,2,1004,3,2,1003,10,
105,s==12|累计1位好友达到vip3,s==3|hk4,2,3,1,1,9,300,2,1003,10,1,8,1000000,
106,s==12|累计3位好友达到vip3,s==3|hk4,2,3,3,1,9,500,2,1003,20,1,8,2000000,
107,s==12|累计5位好友达到vip3,s==3|hk4,2,3,5,1,9,800,2,1516,1,1,8,5000000,
108,s==13|累计10位好友达到vip3,s==3|hk4,2,3,10,1,9,1000,2,5095,1,2,1004,3,
109,s==12|累计1位好友达到vip5,s==3|hk4,2,5,1,1,9,300,2,1004,3,2,1006,500,
110,s==12|累计3位好友达到vip5,s==3|hk4,2,5,3,1,9,500,2,1527,1,2,1006,1000,
111,s==12|累计5位好友达到vip5,s==3|hk4,2,5,5,1,9,800,2,4040,1,2,1006,2500,
112,s==13|累计10位好友达到vip5,s==3|hk4,2,5,10,1,9,1000,2,1530,2,2,1006,5000,
113,s==12|累计1位好友累计登陆3天,s==3|hk4,3,3,1,1,9,200,2,1007,1,2,1001,200,
114,s==12|累计3位好友累计登陆3天,s==3|hk4,3,3,3,1,9,500,2,1007,3,2,1001,500,
115,s==12|累计5位好友累计登陆3天,s==3|hk4,3,3,5,1,9,800,2,1007,5,2,1001,800,
116,s==13|累计10位好友累计登陆3天,s==3|hk4,3,3,10,1,9,1200,2,3008,50,2,1001,1200,
117,s==12|累计1位好友累计登陆7天,s==3|hk4,3,7,1,1,9,300,2,1003,1,2,1001,300,
118,s==12|累计3位好友累计登陆7天,s==3|hk4,3,7,3,1,9,500,2,1003,3,2,1001,500,
119,s==12|累计5位好友累计登陆7天,s==3|hk4,3,7,5,1,9,1000,2,1003,5,2,1001,1000,
120,s==13|累计10位好友累计登陆7天,s==3|hk4,3,7,10,1,9,1500,2,1003,20,2,1001,2000,
121,s==11|累计1位好友达到50级,s==3|hml,1,50,1,1,9,200,2,1003,3,1,10,500000,
122,s==11|累计3位好友达到50级,s==3|hml,1,50,3,1,9,400,2,1003,5,1,10,1000000,
123,s==11|累计5位好友达到50级,s==3|hml,1,50,5,1,9,600,2,1003,10,1,10,2000000,
124,s==12|累计10位好友达到50级,s==3|hml,1,50,10,1,9,800,2,1004,3,2,1003,10,
125,s==12|累计1位好友达到vip3,s==3|hml,2,3,1,1,9,300,2,1003,10,1,8,1000000,
126,s==12|累计3位好友达到vip3,s==3|hml,2,3,3,1,9,500,2,1003,20,1,8,2000000,
127,s==12|累计5位好友达到vip3,s==3|hml,2,3,5,1,9,800,2,1516,1,1,8,5000000,
