id,eventID,eventType,param%1,param%2,param%3,randOdd,eventName,rewards-type-1,rewards-id-1,rewards-value-1,desc,eventText,resultText,buttonAText,buttonBText,
1,101,1,1,,,,s==14|Điêu Lan Ác Xá,,,,s==31|Sự kiện công trình - Khách điếm,s==103|Hiện tại khách điếm cấp <color=#0d782b>{0}</c>， thu được ngân phiếu cố định +<color=#0d782b>{1}</c>，{2},,,,
2,102,1,2,,,,s==19|Thanh Trúc Thư Trai,,,,s==29|Sự kiện công trình - Thư trai,s==101|Hiện tại thư trai cấp <color=#0d782b>{0}</c>， thu được ngân phiếu cố định +<color=#0d782b>{1}</c>，{2},,,,
3,103,1,3,,,,s==20|Thường Xuân Tửu Quán,,,,s==30|Sự kiện công trình - Tửu trang,s==102|Hiện tại tửu trang cấp <color=#0d782b>{0}</c>， thu được ngân phiếu cố định +<color=#0d782b>{1}</c>，{2},,,,
4,104,1,4,,,,s==15|Bán Sơn Trà Các,,,,s==28|Sự kiện công trình - Trà lâu,s==100|Hiện tại trà lâu cấp <color=#0d782b>{0}</c>， thu được ngân phiếu cố định +<color=#0d782b>{1}</c>，{2},,,,
5,201,2,,,,,s==17|Vận may liên tiếp,2,6881,10,s==19|Nhận - Lượng bạc ít,,,,,
6,202,2,,,,,s==17|Vận may liên tiếp,2,6881,15,s==22|Nhận - Lượng bạc trung,,,,,
7,203,2,,,,,s==17|Vận may liên tiếp,2,6881,30,s==22|Nhận - Lượng bạc nhiều,,,,,
8,301,3,1,6,,10,s==19|Cẩn thận trượt chân,,,,s==28|Ngẫu nhiên - Tiến lên N bước,s==138|Ngươi đang ưu tư về cảnh bẩn thỉu hỗn loạn của chợ phiên， bỗng dưng chẳng cẩn thận dẫm phải vỏ chuối， không kềm được trượt về phía trước……,s==39|Tiến lên <color=#0d782b>{name}</c> bước,s==8|Xác định,,
9,301,3,-6,-1,,10,s==19|Cẩn thận trượt chân,,,,s==27|Ngẫu nhiên - Lùi lại N bước,s==136|Ngươi đang ưu tư về cảnh bẩn thỉu hỗn loạn của chợ phiên， bỗng dưng chẳng cẩn thận dẫm phải vỏ chuối， không kềm được trượt về phía sau……,s==38|Lùi lại <color=#0d782b>{name}</c> bước,s==8|Xác định,,
10,301,4,,,,20,s==15|Gặp đạo tặc nhỏ,,,,s==22|Ngẫu nhiên - Chiến đấu,s==269|Ngươi đang thị sát đường phố thành trấn， bỗng cảm thấy sau lưng một trận lãnh khí。 chớp nhoáng trong chớp mắt， ngươi phản thủ một cái nắm， liền bắt được bàn tay ma quái vươn tới túi tiền bên hông ngươi。 ban ngày ban mặt mà lại có kẻ trộm cắp hành sự， ngươi quyết định……,s==39|Có nên dạy cho tên đạo tặc một bài học?,s==9|Tha cho y,s==18|Dạy cho y một trận,
11,301,5,3,,,20,s==17|Thương nhân bí ẩn,,,,s==20|Ngẫu nhiên - Mua bán,s==282|Trên chợ phiên， ngươi gặp một bóng dáng quen thuộc， Ma Tiên Hoa Đà lại nói có hàng tốt muốn bán cho ngươi。 “Đừng dùng ánh mắt đó nhìn ta， Ma Tiên cũng phải kiếm sống mà” Ngươi thấy trong hộp bảo vật trong tay y phát ra ánh vàng， dường như chứa đựng vật báu gì đó， ngươi quyết định……,s==51|Có nên tốn <color=#0d782b>{name}</c> KNB mua không?,s==7|Từ chối,s==3|Mua,
12,301,6,,,,40,s==16|Tiên nhân ban lễ,,,,s==21|Ngẫu nhiên - Lựa chọn,s==229|Trên đường ngươi gặp một con tiểu miêu bị thương， ngươi vừa băng bó cho nó xong， nó liền biến hóa thành hình tượng tiên nhân， còn nói sẽ tặng ngươi một vật lễ tạ。 trong tay trái phải y mỗi bên đều có một món quà， ngươi lựa chọn……,s==28|Xin chọn phần thưởng bên nào,s==8|Bên trái,s==8|Bên phải,
13,401,7,,,,,s==19|Hoàn thành một vòng,,,,s==18|Qua điểm xuất phát,,,,,
