id,type,name,level,title,siteIcon,BigsiteIcon,ChapterName,profit,cd,showCd,AccountCd,lockDesc,targetValue,leveItem-type-1,leveItem-id-1,leveItem-value-1,rewardItem-type-1,rewardItem-id-1,rewardItem-value-1,rewardItem-type-2,rewardItem-id-2,rewardItem-value-2,rewardItem-type-3,rewardItem-id-3,rewardItem-value-3,strikeReward-type-1,strikeReward-id-1,strikeReward-value-1,pz,character,promoteDesc,lblReward,
0,1,s==10|Khách Điếm,0,s==14|d_wenzi_kezhan,s==9|d_kezhai1,s==7|d_kezha,,1,,,,,,,,,,,,,,,,,,2,6881,10,s==61|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>,0:9000:10000|3:1000:50,s==202|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+1</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+10</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>。,,
1,1,s==10|Khách Điếm,1,s==14|d_wenzi_kezhan,s==9|d_kezhai1,s==7|d_kezha,s==18|Khởi thủy nhập thế,2,-1,2000,3000,s==24|Trả lời đúng một câu hỏi,1,2,6968,1,2,6967,1,2,1001,200,2,6881,50,2,6881,15,s==84|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>,0:7000:10000|4:1000:80|3:2000:50,s==225|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+2</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+15</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>。,s==86|Nhận được bảo vật<color=#46b9ee>【授人以鱼】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
2,1,s==10|Khách Điếm,2,s==14|d_wenzi_kezhan,s==9|d_kezhai1,s==7|d_kezha,s==11|Thử sức nhỏ,3,-1,2000,3000,s==24|Trả lời đúng hai câu hỏi,2,2,6968,1,2,6897,1,2,1001,300,2,6881,80,2,6881,20,s==108|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==248|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+3</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+20</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>。,s==86|Nhận được bảo vật<color=#d080fe>【招财进宝】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
3,1,s==10|Khách Điếm,3,s==14|d_wenzi_kezhan,s==9|d_kezhai1,s==7|d_kezha,s==19|Thuần thục như thần,4,-1,2000,3000,s==23|Trả lời đúng ba câu hỏi,3,2,6968,1,2,6893,1,2,1001,400,2,6881,80,2,6881,25,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+4</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+25</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#d080fe>【雪里红梅】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
4,1,s==10|Khách Điếm,4,s==14|d_wenzi_kezhan,s==9|d_kezhai1,s==7|d_kezha,s==21|Thuần thục tuyệt đỉnh,6,-1,2000,3000,s==24|Trả lời đúng bốn câu hỏi,4,2,6968,1,2,6891,1,2,1001,500,2,6881,120,2,6881,30,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+6</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+30</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#fe9150>【流云环佩】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
5,1,s==10|Khách Điếm,5,s==14|d_wenzi_kezhan,s==9|d_kezhai1,s==7|d_kezha,s==14|Độc Cô Cầu Bại,8,-1,2000,3000,s==24|Trả lời đúng năm câu hỏi,5,2,6968,1,2,6885,1,2,1004,1,2,6881,300,2,6881,35,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+8</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+35</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#ff5d5d>【乾坤宝袋】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
6,2,s==8|Thư Trai,0,s==15|d_wenzi_shuzhai,s==9|d_shuzai1,s==8|d_shuzai,,1,,,,,,,,,,,1,,,,,6881,,2,6881,10,s==61|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>,0:9000:10000|3:1000:50,s==202|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+1</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+10</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>。,,
7,2,s==8|Thư Trai,1,s==15|d_wenzi_shuzhai,s==9|d_shuzai1,s==8|d_shuzai,s==18|Khởi thủy nhập thế,2,-1,2000,3000,s==24|Trả lời đúng một câu hỏi,1,2,6968,1,2,6966,1,2,1006,200,2,6881,50,2,6881,15,s==84|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>,0:7000:10000|4:1000:80|3:2000:50,s==225|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+2</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+15</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>。,s==86|Nhận được bảo vật<color=#46b9ee>【惊声尖叫】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
8,2,s==8|Thư Trai,2,s==15|d_wenzi_shuzhai,s==9|d_shuzai1,s==8|d_shuzai,s==11|Thử sức nhỏ,3,-1,2000,3000,s==24|Trả lời đúng hai câu hỏi,2,2,6968,1,2,6896,1,2,1006,300,2,6881,80,2,6881,20,s==108|Có xác suất nhận được cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>,0:6000:10000|5:1000:120|4:2000:80|3:3000:50,s==248|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+3</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+20</c>， có xác suất nhận được cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>。,s==86|Nhận được bảo vật<color=#d080fe>【五谷丰登】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
9,2,s==8|Thư Trai,3,s==15|d_wenzi_shuzhai,s==9|d_shuzai1,s==8|d_shuzai,s==19|Thuần thục như thần,4,-1,2000,3000,s==23|Trả lời đúng ba câu hỏi,3,2,6968,1,2,6892,1,2,1006,400,2,6881,80,2,6881,25,s==146|Chắc chắn nhận được một trong các cổ vật phẩm chất <color=#005ba1>Lam</c>、 <color=#7d2bab>Tử</c>、 <color=#d74200>Cam</c>、 <color=#c4011f>Hồng</c>。,6:1000:300|5:2000:120|4:3000:80|3:4000:50,s==282|1. Công trình mỗi giờ thu được ngân phiếu <color=#0d782b>+4</c>\n2. Mỗi lần di chuyển đến công trình này， thu được ngân phiếu <color=#0d782b>+25</c>， chắc chắn nhận được một trong các cổ vật <color=#005ba1>lam</c>、<color=#7d2bab>tím</c>、<color=#d74200>cam</c>、<color=#c4011f>đỏ</c>。,s==86|Nhận được bảo vật<color=#d080fe>【冬青云釉】</c>， ngân phiếu tăng lên <color=#48dc5c>{0}</c>,
