id,taskType,taskDesc,targetType,targetId,targetValue,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,
1,1,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,2,6879,1,2,6881,50,
2,1,s==28|Sử dụng xí ngầu thường 3 lần,521,6879,3,2,1001,200,2,6881,50,
3,1,s==28|Sử dụng xí ngầu thường 5 lần,521,6879,5,2,1007,3,2,6881,50,
4,1,s==26|Sử dụng xí ngầu vàng 1 lần,521,6880,1,2,1006,200,2,6879,1,
5,1,s==33|Gặp phải sự kiện ngẫu nhiên 1 lần,718,301,1,2,1003,1,2,6881,50,
6,1,s==43|Trong ngày tích lũy thu hoạch 50 ngân phiếu,537,6881,50,2,6880,1,2,6879,1,
7,1,s==44|Trong ngày tích lũy thu hoạch 100 ngân phiếu,537,6881,100,2,6880,1,2,6881,50,
30,2,s==34|Tích lũy thu hoạch 5000 ngân phiếu,537,6881,5000,2,30043,1,2,6881,100,
31,2,s==38|Tích lũy sử dụng xí ngầu thường 25 lần,521,6879,25,2,1003,1,2,6881,100,
32,2,s==38|Tích lũy sử dụng xí ngầu thường 50 lần,521,6879,50,2,1003,1,2,6881,100,
33,2,s==39|Tích lũy sử dụng xí ngầu thường 100 lần,521,6879,100,2,1003,1,2,6881,150,
34,2,s==39|Tích lũy sử dụng xí ngầu thường 150 lần,521,6879,150,2,1003,1,2,6881,150,
35,2,s==39|Tích lũy sử dụng xí ngầu thường 200 lần,521,6879,200,2,1003,1,2,6881,200,
36,2,s==36|Tích lũy sử dụng xí ngầu vàng 10 lần,521,6880,10,2,1003,1,2,6881,100,
37,2,s==36|Tích lũy sử dụng xí ngầu vàng 20 lần,521,6880,20,2,1003,3,2,6881,200,
38,2,s==36|Tích lũy sử dụng xí ngầu vàng 30 lần,521,6880,30,2,1003,5,2,6881,200,
39,2,s==36|Tích lũy sử dụng xí ngầu vàng 50 lần,521,6880,50,2,1004,1,2,6881,300,
40,2,s==34|Gặp phải sự kiện ngẫu nhiên 10 lần,718,301,10,2,1006,200,2,6881,100,
41,2,s==34|Gặp phải sự kiện ngẫu nhiên 20 lần,718,301,20,2,1001,200,2,6881,100,
42,2,s==34|Gặp phải sự kiện ngẫu nhiên 30 lần,718,301,30,2,1003,1,2,6881,100,
43,2,s==34|Gặp phải sự kiện ngẫu nhiên 40 lần,718,301,40,2,1003,1,2,6881,100,
44,2,s==34|Gặp phải sự kiện ngẫu nhiên 50 lần,718,301,50,2,1003,1,2,6881,200,
45,2,s==34|Gặp phải sự kiện ngẫu nhiên 60 lần,718,301,60,2,1004,1,2,6881,300,
50,3,s==22|Tích lũy đi hết 1 vòng,717,5600,1,2,6968,1,,,,
51,3,s==22|Tích lũy đi hết 2 vòng,717,5600,2,2,6968,1,,,,
52,3,s==22|Tích lũy đi hết 3 vòng,717,5600,3,2,6968,1,,,,
53,3,s==22|Tích lũy đi hết 4 vòng,717,5600,4,2,6968,1,,,,
54,3,s==22|Tích lũy đi hết 5 vòng,717,5600,5,2,6968,1,,,,
55,3,s==22|Tích lũy đi hết 6 vòng,717,5600,6,2,6968,1,,,,
56,3,s==22|Tích lũy đi hết 7 vòng,717,5600,7,2,6968,1,,,,
57,3,s==22|Tích lũy đi hết 8 vòng,717,5600,8,2,6968,1,,,,
58,3,s==22|Tích lũy đi hết 9 vòng,717,5600,9,2,6968,1,,,,
59,3,s==23|Tích lũy đi hết 10 vòng,717,5600,10,2,6968,1,,,,
60,3,s==23|Tích lũy đi hết 11 vòng,717,5600,11,2,6968,1,,,,
61,3,s==23|Tích lũy đi hết 12 vòng,717,5600,12,2,6968,1,,,,
62,3,s==23|Tích lũy đi hết 13 vòng,717,5600,13,2,6968,1,,,,
63,3,s==23|Tích lũy đi hết 14 vòng,717,5600,14,2,6968,1,,,,
64,3,s==23|Tích lũy đi hết 15 vòng,717,5600,15,2,6968,1,,,,
65,3,s==23|Tích lũy đi hết 16 vòng,717,5600,16,2,6968,1,,,,
66,3,s==27|Tích lũy hoàn thành 17 vòng,717,5600,17,2,6968,1,,,,
67,3,s==27|Tích lũy hoàn thành 18 vòng,717,5600,18,2,6968,1,,,,
68,3,s==27|Tích lũy hoàn thành 19 vòng,717,5600,19,2,6968,1,,,,
69,3,s==27|Tích lũy hoàn thành 20 vòng,717,5600,20,2,6968,1,,,,
80,,s==31|4 công trình đều nâng lên cấp 1,716,5600,1,,,,,,,
81,,s==34|Tích lũy thu hoạch 1000 ngân phiếu,537,6881,1000,,,,,,,
82,,s==31|4 công trình đều nâng lên cấp 2,716,5600,2,,,,,,,
83,,s==34|Tích lũy thu hoạch 2000 ngân phiếu,537,6881,2000,,,,,,,
84,,s==31|4 công trình đều nâng lên cấp 3,716,5600,3,,,,,,,
85,,s==34|Tích lũy thu hoạch 3500 ngân phiếu,537,6881,3500,,,,,,,
86,,s==31|4 công trình đều nâng lên cấp 4,716,5600,4,,,,,,,
87,,s==34|Tích lũy thu hoạch 5000 ngân phiếu,537,6881,5000,,,,,,,
88,,s==42|4 công trình đồng loạt thăng cấp lên cấp 5,716,5600,5,,,,,,,
89,,s==34|Tích lũy thu hoạch 8000 ngân phiếu,537,6881,8000,,,,,,,
