id,libId,odds,attrHp-type-1,attrHp-way-1,attrHp-min-1,attrHp-max-1,attrHp-type-2,attrHp-way-2,attrHp-min-2,attrHp-max-2,attrHp-type-3,attrHp-way-3,attrHp-min-3,attrHp-max-3,attrAttack-type-1,attrAttack-way-1,attrAttack-min-1,attrAttack-max-1,attrAttack-type-2,attrAttack-way-2,attrAttack-min-2,attrAttack-max-2,attrAttack-type-3,attrAttack-way-3,attrAttack-min-3,attrAttack-max-3,attrSpeed-type-1,attrSpeed-way-1,attrSpeed-min-1,attrSpeed-max-1,
1001,101,40,1,1,1,60,,,,,,,,,2,1,1,60,,,,,,,,,4,0,1,6,
1002,101,20,1,1,1,60,1,1,70,140,,,,,2,1,1,60,2,1,70,140,,,,,4,0,1,14,
1003,101,20,1,1,1,60,1,1,70,140,1,1,150,230,2,1,1,60,2,1,70,140,2,1,150,230,4,0,1,23,
1004,101,10,1,1,70,140,1,1,150,230,,,,,2,1,70,140,2,1,150,230,,,,,4,0,7,23,
1005,101,5,1,1,150,230,,,,,,,,,2,1,150,230,,,,,,,,,4,0,15,23,
1006,101,5,1,1,1,60,1,1,70,140,,,,,2,1,1,60,2,1,70,140,2,1,150,230,4,0,1,14,
1007,101,5,1,1,240,340,,,,,,,,,2,1,1,60,2,1,70,140,,,,,4,0,1,14,
1008,101,5,1,1,1,60,1,1,70,140,,,,,2,1,1,60,2,1,70,140,,,,,4,0,24,34,
2001,201,10,1,1,350,460,1,1,470,580,,,,,2,1,70,140,2,1,150,230,,,,,4,0,35,58,
2002,201,10,1,1,70,140,1,1,150,230,,,,,2,1,350,460,2,1,470,580,,,,,4,0,35,58,
2003,201,10,1,1,350,460,1,1,470,580,,,,,2,1,350,460,2,1,470,580,,,,,4,0,7,23,
2004,201,50,1,1,240,340,,,,,,,,,2,1,240,340,,,,,,,,,4,0,24,34,
2005,201,5,1,1,240,340,1,1,350,460,,,,,2,1,240,340,2,1,350,460,,,,,4,0,24,46,
2006,201,5,1,1,240,340,1,1,350,460,1,1,470,580,2,1,240,340,2,1,350,460,2,1,470,580,4,0,24,58,
2007,201,3,1,1,350,460,1,1,470,580,,,,,2,1,350,460,2,1,470,580,,,,,4,0,35,58,
2008,201,3,1,1,470,580,,,,,,,,,2,1,470,580,,,,,,,,,4,0,47,58,
2009,201,3,1,1,240,340,1,1,350,460,,,,,2,1,590,730,,,,,,,,,4,0,24,46,
2010,201,3,1,1,590,730,,,,,,,,,2,1,240,340,2,1,350,460,,,,,4,0,24,46,
2011,201,3,1,1,240,340,1,1,350,460,,,,,2,1,240,340,2,1,350,460,,,,,4,0,59,73,
3001,301,10,1,1,740,880,1,1,890,1030,,,,,2,1,350,460,2,1,470,580,,,,,4,0,74,103,
3002,301,10,1,1,350,460,1,1,470,580,,,,,2,1,740,880,2,1,890,1030,,,,,4,0,74,103,
3003,301,10,1,1,740,880,1,1,890,1030,,,,,2,1,740,880,2,1,890,1030,,,,,4,0,35,58,
3004,301,100,1,1,590,730,,,,,,,,,2,1,590,730,,,,,,,,,4,0,59,73,
3005,301,5,1,1,590,730,1,1,740,880,,,,,2,1,590,730,2,1,740,880,,,,,4,0,59,88,
3006,301,5,1,1,590,730,1,1,740,880,1,1,890,1030,2,1,590,730,2,1,740,880,2,1,890,1030,4,0,59,103,
3007,301,5,1,1,740,880,1,1,890,1030,,,,,2,1,740,880,2,1,890,1030,,,,,4,0,74,103,
3008,301,5,1,1,740,880,1,1,890,1030,,,,,2,1,890,1030,,,,,,,,,4,0,89,103,
3009,301,5,1,1,590,730,1,1,740,880,,,,,2,1,1040,1180,,,,,,,,,4,0,59,88,
3010,301,5,1,1,1040,1180,,,,,,,,,2,1,590,730,2,1,740,880,,,,,4,0,59,88,
3011,301,5,1,1,590,730,1,1,740,880,,,,,2,1,590,730,2,1,740,880,,,,,4,0,104,118,
4001,401,5,1,1,1190,1260,,,,,,,,,2,1,740,880,2,1,890,1030,,,,,4,0,119,126,
4002,401,5,1,1,740,880,1,1,890,1030,,,,,2,1,1190,1260,,,,,,,,,4,0,119,126,
4003,401,5,1,1,1190,1260,,,,,,,,,2,1,1190,1260,,,,,,,,,4,0,74,103,
5001,501,10,1,1,1190,1330,,,,,,,,,2,1,740,880,2,1,890,1030,,,,,4,0,119,133,
5002,501,10,1,1,740,880,1,1,890,1030,,,,,2,1,1190,1330,,,,,,,,,4,0,119,133,
5003,501,10,1,1,1190,1330,,,,,,,,,2,1,1190,1330,,,,,,,,,4,0,74,103,
5004,501,100,1,1,1040,1180,,,,,,,,,2,1,1040,1180,,,,,,,,,4,0,104,118,
5005,501,10,1,1,1040,1180,1,1,1190,1330,,,,,2,1,1040,1180,2,1,1190,1330,,,,,4,0,104,133,
5006,501,5,1,1,1190,1330,1,1,1340,1500,,,,,2,1,1190,1330,2,1,1340,1500,,,,,4,0,119,150,
5007,501,5,1,1,1340,1500,,,,,,,,,2,1,1340,1500,,,,,,,,,4,0,134,150,
10001,1001,40,1,1,1,60,,,,,,,,,2,1,1,60,,,,,,,,,4,0,1,6,
20001,2001,50,1,1,590,730,,,,,,,,,2,1,590,730,,,,,,,,,4,0,59,73,
30001,3001,50,1,1,1040,1180,,,,,,,,,2,1,1040,1180,,,,,,,,,4,0,104,118,
101011,10101,50,1,1,590,730,,,,,,,,,2,1,590,730,,,,,,,,,4,0,59,73,
102011,10201,50,1,1,740,880,,,,,,,,,2,1,740,880,,,,,,,,,4,0,74,88,
103011,10301,50,1,1,890,1030,,,,,,,,,2,1,890,1030,,,,,,,,,4,0,89,103,
104011,10401,50,1,1,590,730,,,,,,,,,2,1,590,730,,,,,,,,,4,0,59,73,
104012,10401,30,1,1,740,880,,,,,,,,,2,1,740,880,,,,,,,,,4,0,74,88,
104013,10401,20,1,1,890,1030,,,,,,,,,2,1,890,1030,,,,,,,,,4,0,89,103,
105011,10501,50,1,1,1040,1180,,,,,,,,,2,1,1040,1180,,,,,,,,,4,0,104,118,
106011,10601,50,1,1,1190,1330,,,,,,,,,2,1,1190,1330,,,,,,,,,4,0,119,133,
107011,10701,50,1,1,1340,1500,,,,,,,,,2,1,1340,1500,,,,,,,,,4,0,134,150,
108011,10801,50,1,1,1040,1180,,,,,,,,,2,1,1040,1180,,,,,,,,,4,0,104,118,
