id,desc,num,consumeType,consumeId,consumeValue,replaceId,GBLib1-key-1,GBLib1-val-1,GBLib1-key-2,GBLib1-val-2,extraGet-type-1,extraGet-id-1,extraGet-value-1,extraGet-type-2,extraGet-id-2,extraGet-value-2,
1,s==29|Linh Thú Trứng Ấp (Ấp Thường),1,2,8827,1,,1,10000,,,,,,,,,
2,s==29|Bỏ Dùng (Hiện Tại Chỉ Dùng 1),1,2,8827,1,,1,10000,,,,,,,,,
3,s==29|Lần Đầu Rút Ra Xử Lý Đặc Biệt,1,2,50065,1,,3,10000,,,,,,,,,
101,s==20|Chỉ Định Linh Thú A-,1,2,8831,1,,101,10000,,,,,,,,,
102,s==19|Chỉ Định Linh Thú A,1,2,8832,1,,102,10000,,,,,,,,,
103,s==20|Chỉ Định Linh Thú A+,1,2,8833,1,,103,10000,,,,,,,,,
104,s==23|Chỉ Định Linh Thú A-~A+,1,2,8834,1,,104,10000,,,,,,,,,
105,s==19|Chỉ Định Linh Thú S,1,2,8835,1,,105,10000,,,,,,,,,
106,s==20|Chỉ Định Linh Thú SS,1,2,8836,1,,106,10000,,,,,,,,,
107,s==21|Chỉ Định Linh Thú SSS,1,2,8837,1,,107,10000,,,,,,,,,
108,s==23|Chỉ Định Linh Thú S~SSS,1,2,8838,1,,108,10000,,,,,,,,,
109,s==20|Chỉ Định Linh Thú B-,1,2,8854,1,,109,10000,,,,,,,,,
110,s==19|Chỉ Định Linh Thú B,1,2,8855,1,,110,10000,,,,,,,,,
111,s==20|Chỉ Định Linh Thú B+,1,2,8856,1,,111,10000,,,,,,,,,
112,s==23|Chỉ Định Linh Thú B-~B+,1,2,8857,1,,112,10000,,,,,,,,,
