id,baseAtt-type-1,baseAtt-way-1,baseAtt-value-1,baseAtt-type-2,baseAtt-way-2,baseAtt-value-2,lvAtt-type-1,lvAtt-way-1,lvAtt-value-1,lvAtt-type-2,lvAtt-way-2,lvAtt-value-2,lvLimit,
1,1,0,6000,2,0,600,1,0,4200,2,0,420,10,
2,1,0,6000,2,0,600,1,0,4200,2,0,420,10,
3,1,0,6000,2,0,600,1,0,4200,2,0,420,10,
4,1,0,7500,2,0,750,1,0,6000,2,0,600,15,
5,1,0,9000,2,0,900,1,0,7200,2,0,720,15,
6,1,0,10500,2,0,1050,1,0,8400,2,0,840,15,
7,1,0,12000,2,0,1200,1,0,9600,2,0,960,25|30|35|40|45|50,
8,1,0,15000,2,0,1500,1,0,10800,2,0,1080,25|30|35|40|45|50,
9,1,0,18000,2,0,1800,1,0,12000,2,0,1200,25|30|35|40|45|50,
10,1,0,22500,2,0,2250,1,0,13200,2,0,1320,35|40|45|50|55|60,
11,1,0,27000,2,0,2700,1,0,14400,2,0,1440,35|40|45|50|55|60,
12,1,0,30000,2,0,3000,1,0,16200,2,0,1620,35|40|45|50|55|60,
