id,attrUpId,attrName,baseAtt-type-1,baseAtt-way-1,baseAtt-a-1,weight,
1001,1,s==2|攻击,2,0,800,20,
1002,2,s==2|生命,1,0,8000,20,
1003,3,s==2|防御,3,0,12,20,
1004,4,s==2|速度,4,0,6,5,
1005,5,s==3|攻击%,2,1,70,10,
1006,6,s==3|生命%,1,1,70,10,
1007,7,s==3|防御%,3,1,70,20,
1008,8,s==3|暴击%,5,0,70,10,
1009,9,s==3|抗暴%,7,0,70,20,
1010,10,s==3|暴伤%,6,0,140,20,
1011,11,s==3|命中%,8,0,140,20,
1012,12,s==3|韧性%,20,0,70,10,
1013,13,s==3|物伤%,12,0,70,10,
1014,14,s==3|物免%,14,1,70,20,
1015,15,s==3|法伤%,13,0,70,10,
1016,16,s==3|法免%,15,1,70,20,
2001,1,s==2|攻击,2,0,1600,20,
2002,2,s==2|生命,1,0,16000,20,
2003,3,s==2|防御,3,0,24,20,
2004,4,s==2|速度,4,0,12,5,
2005,5,s==3|攻击%,2,1,140,10,
2006,6,s==3|生命%,1,1,140,10,
2007,7,s==3|防御%,3,1,140,20,
2008,8,s==3|暴击%,5,0,140,10,
2009,9,s==3|抗暴%,7,0,140,20,
2010,10,s==3|暴伤%,6,0,280,20,
2011,11,s==3|命中%,8,0,280,20,
2012,12,s==3|韧性%,20,0,140,10,
2013,13,s==3|物伤%,12,0,140,10,
2014,14,s==3|物免%,14,1,140,20,
2015,15,s==3|法伤%,13,0,140,10,
2016,16,s==3|法免%,15,1,140,20,
3001,1,s==2|攻击,2,0,2400,20,
3002,2,s==2|生命,1,0,24000,20,
3003,3,s==2|防御,3,0,36,20,
3004,4,s==2|速度,4,0,18,5,
3005,5,s==3|攻击%,2,1,210,10,
3006,6,s==3|生命%,1,1,210,10,
3007,7,s==3|防御%,3,1,210,20,
3008,8,s==3|暴击%,5,0,210,10,
3009,9,s==3|抗暴%,7,0,210,20,
3010,10,s==3|暴伤%,6,0,420,20,
3011,11,s==3|命中%,8,0,420,20,
3012,12,s==3|韧性%,20,0,210,10,
3013,13,s==3|物伤%,12,0,210,10,
3014,14,s==3|物免%,14,1,210,20,
3015,15,s==3|法伤%,13,0,210,10,
3016,16,s==3|法免%,15,1,210,20,
4001,1,s==2|攻击,2,0,4000,20,
4002,2,s==2|生命,1,0,40000,20,
4003,3,s==2|防御,3,0,60,20,
4004,4,s==2|速度,4,0,30,5,
4005,5,s==3|攻击%,2,1,350,10,
4006,6,s==3|生命%,1,1,350,10,
4007,7,s==3|防御%,3,1,350,20,
4008,8,s==3|暴击%,5,0,350,10,
4009,9,s==3|抗暴%,7,0,350,20,
4010,10,s==3|暴伤%,6,0,700,20,
4011,11,s==3|命中%,8,0,700,20,
4012,12,s==3|韧性%,20,0,350,10,
4013,13,s==3|物伤%,12,0,350,10,
4014,14,s==3|物免%,14,1,350,20,
4015,15,s==3|法伤%,13,0,350,10,
4016,16,s==3|法免%,15,1,350,20,
