id,skillGroup,nextLvSkillID,preLvSkillID,descLV,property-type-1,property-way-1,property-value-1,warPowerPoint,cost-type-1,cost-id-1,cost-value-1,cost-back-1,cost-type-2,cost-id-2,cost-value-2,cost-back-2,cost-type-3,cost-id-3,cost-value-3,cost-back-3,reSet-type-1,reSet-id-1,reSet-value-1,
1,1,2,,1,2,0,1000,0,2,50151,1,1,,,,,,,,,1,9,20,
2,1,3,1,2,2,0,2000,0,2,50151,3,4,2,1290,1000,1000,,,,,1,9,40,
3,1,4,2,3,2,0,3000,0,2,50151,5,9,2,1290,2000,3000,,,,,1,9,60,
4,1,5,3,4,2,0,4000,0,2,50151,8,17,2,1290,3000,6000,,,,,1,9,80,
5,1,,4,5,2,0,5000,0,2,50151,12,29,2,1290,6000,12000,,,,,1,9,100,
11,2,12,,1,1,0,10000,0,2,50152,1,1,,,,,,,,,1,9,20,
12,2,13,11,2,1,0,20000,0,2,50152,3,4,2,1290,1000,1000,,,,,1,9,40,
13,2,14,12,3,1,0,30000,0,2,50152,5,9,2,1290,2000,3000,,,,,1,9,60,
14,2,15,13,4,1,0,40000,0,2,50152,8,17,2,1290,3000,6000,,,,,1,9,80,
15,2,,14,5,1,0,50000,0,2,50152,12,29,2,1290,6000,12000,,,,,1,9,100,
21,3,22,,1,3,0,80,0,2,50153,1,1,,,,,,,,,1,9,20,
22,3,23,21,2,3,0,160,0,2,50153,3,4,2,1290,1000,1000,,,,,1,9,40,
23,3,24,22,3,3,0,240,0,2,50153,5,9,2,1290,2000,3000,,,,,1,9,60,
24,3,25,23,4,3,0,320,0,2,50153,8,17,2,1290,3000,6000,,,,,1,9,80,
25,3,,24,5,3,0,400,0,2,50153,12,29,2,1290,6000,12000,,,,,1,9,100,
31,4,32,,1,4,0,30,0,2,50154,1,1,,,,,,,,,1,9,20,
32,4,33,31,2,4,0,60,0,2,50154,3,4,2,1290,1000,1000,,,,,1,9,40,
33,4,34,32,3,4,0,90,0,2,50154,5,9,2,1290,2000,3000,,,,,1,9,60,
34,4,35,33,4,4,0,120,0,2,50154,8,17,2,1290,3000,6000,,,,,1,9,80,
35,4,,34,5,4,0,150,0,2,50154,12,29,2,1290,6000,12000,,,,,1,9,100,
41,5,42,,1,2,1,100,1,2,50155,1,1,,,,,,,,,1,9,20,
42,5,43,41,2,2,1,200,2,2,50155,3,4,2,1290,1000,1000,,,,,1,9,40,
43,5,44,42,3,2,1,300,3,2,50155,5,9,2,1290,2000,3000,,,,,1,9,60,
44,5,45,43,4,2,1,400,4,2,50155,8,17,2,1290,3000,6000,,,,,1,9,80,
45,5,,44,5,2,1,500,5,2,50155,12,29,2,1290,6000,12000,,,,,1,9,100,
51,6,52,,1,1,1,100,1,2,50156,1,1,,,,,,,,,1,9,20,
52,6,53,51,2,1,1,200,2,2,50156,3,4,2,1290,1000,1000,,,,,1,9,40,
53,6,54,52,3,1,1,300,3,2,50156,5,9,2,1290,2000,3000,,,,,1,9,60,
54,6,55,53,4,1,1,400,4,2,50156,8,17,2,1290,3000,6000,,,,,1,9,80,
55,6,,54,5,1,1,500,5,2,50156,12,29,2,1290,6000,12000,,,,,1,9,100,
61,7,62,,1,3,1,200,1,2,50157,1,1,,,,,,,,,1,9,20,
62,7,63,61,2,3,1,400,2,2,50157,3,4,2,1290,1000,1000,,,,,1,9,40,
63,7,64,62,3,3,1,600,3,2,50157,5,9,2,1290,2000,3000,,,,,1,9,60,
64,7,65,63,4,3,1,800,4,2,50157,8,17,2,1290,3000,6000,,,,,1,9,80,
65,7,,64,5,3,1,1000,5,2,50157,12,29,2,1290,6000,12000,,,,,1,9,100,
71,8,72,,1,5,1,100,1,2,50161,1,1,,,,,,,,,1,9,20,
72,8,73,71,2,5,1,200,2,2,50161,3,4,2,1290,1000,1000,,,,,1,9,40,
73,8,74,72,3,5,1,300,3,2,50161,5,9,2,1290,2000,3000,,,,,1,9,60,
74,8,75,73,4,5,1,400,4,2,50161,8,17,2,1290,3000,6000,,,,,1,9,80,
75,8,,74,5,5,1,500,5,2,50161,12,29,2,1290,6000,12000,,,,,1,9,100,
81,9,82,,1,7,1,100,1,2,50162,1,1,,,,,,,,,1,9,20,
82,9,83,81,2,7,1,200,2,2,50162,3,4,2,1290,1000,1000,,,,,1,9,40,
83,9,84,82,3,7,1,300,3,2,50162,5,9,2,1290,2000,3000,,,,,1,9,60,
84,9,85,83,4,7,1,400,4,2,50162,8,17,2,1290,3000,6000,,,,,1,9,80,
85,9,,84,5,7,1,500,5,2,50162,12,29,2,1290,6000,12000,,,,,1,9,100,
91,10,92,,1,6,1,200,2,2,50163,1,1,,,,,,,,,1,9,20,
92,10,93,91,2,6,1,400,4,2,50163,3,4,2,1290,1000,1000,,,,,1,9,40,
93,10,94,92,3,6,1,600,6,2,50163,5,9,2,1290,2000,3000,,,,,1,9,60,
94,10,95,93,4,6,1,800,8,2,50163,8,17,2,1290,3000,6000,,,,,1,9,80,
95,10,,94,5,6,1,1000,10,2,50163,12,29,2,1290,6000,12000,,,,,1,9,100,
101,11,102,,1,20,1,100,1,2,50164,1,1,,,,,,,,,1,9,20,
102,11,103,101,2,20,1,200,2,2,50164,3,4,2,1290,1000,1000,,,,,1,9,40,
103,11,104,102,3,20,1,300,3,2,50164,5,9,2,1290,2000,3000,,,,,1,9,60,
104,11,105,103,4,20,1,400,4,2,50164,8,17,2,1290,3000,6000,,,,,1,9,80,
105,11,,104,5,20,1,500,5,2,50164,12,29,2,1290,6000,12000,,,,,1,9,100,
111,12,112,,1,12,1,100,1,2,50165,1,1,,,,,,,,,1,9,20,
112,12,113,111,2,12,1,200,2,2,50165,3,4,2,1290,1000,1000,,,,,1,9,40,
113,12,114,112,3,12,1,300,3,2,50165,5,9,2,1290,2000,3000,,,,,1,9,60,
114,12,115,113,4,12,1,400,4,2,50165,8,17,2,1290,3000,6000,,,,,1,9,80,
115,12,,114,5,12,1,500,5,2,50165,12,29,2,1290,6000,12000,,,,,1,9,100,
121,13,122,,1,14,1,100,1,2,50166,1,1,,,,,,,,,1,9,20,
122,13,123,121,2,14,1,200,2,2,50166,3,4,2,1290,1000,1000,,,,,1,9,40,
123,13,124,122,3,14,1,300,3,2,50166,5,9,2,1290,2000,3000,,,,,1,9,60,
124,13,125,123,4,14,1,400,4,2,50166,8,17,2,1290,3000,6000,,,,,1,9,80,
125,13,,124,5,14,1,500,5,2,50166,12,29,2,1290,6000,12000,,,,,1,9,100,
131,14,132,,1,13,1,100,1,2,50167,1,1,,,,,,,,,1,9,20,
132,14,133,131,2,13,1,200,2,2,50167,3,4,2,1290,1000,1000,,,,,1,9,40,
133,14,134,132,3,13,1,300,3,2,50167,5,9,2,1290,2000,3000,,,,,1,9,60,
134,14,135,133,4,13,1,400,4,2,50167,8,17,2,1290,3000,6000,,,,,1,9,80,
135,14,,134,5,13,1,500,5,2,50167,12,29,2,1290,6000,12000,,,,,1,9,100,
141,15,142,,1,15,1,100,1,2,50168,1,1,,,,,,,,,1,9,20,
142,15,143,141,2,15,1,200,2,2,50168,3,4,2,1290,1000,1000,,,,,1,9,40,
143,15,144,142,3,15,1,300,3,2,50168,5,9,2,1290,2000,3000,,,,,1,9,60,
144,15,145,143,4,15,1,400,4,2,50168,8,17,2,1290,3000,6000,,,,,1,9,80,
145,15,,144,5,15,1,500,5,2,50168,12,29,2,1290,6000,12000,,,,,1,9,100,
151,16,152,,1,10,1,100,1,2,50169,1,1,,,,,,,,,1,9,20,
152,16,153,151,2,10,1,200,2,2,50169,3,4,2,1290,1000,1000,,,,,1,9,40,
153,16,154,152,3,10,1,300,3,2,50169,5,9,2,1290,2000,3000,,,,,1,9,60,
154,16,155,153,4,10,1,400,4,2,50169,8,17,2,1290,3000,6000,,,,,1,9,80,
155,16,,154,5,10,1,500,5,2,50169,12,29,2,1290,6000,12000,,,,,1,9,100,
161,17,162,,1,18,1,100,1,2,50171,1,1,,,,,,,,,1,9,20,
