id,type,materialId,qualificationScore,programNum,
1,1,50051,,1,
2,1,50052,,50,
3,1,50055,,500,
4,1,50056,,1000,
101,2,50006,7,150,
102,2,50006,8,250,
103,2,50006,9,500,
104,2,50007,7,150,
105,2,50007,8,250,
106,2,50007,9,500,
107,2,50008,7,150,
108,2,50008,8,250,
109,2,50008,9,500,
110,2,50009,7,150,
111,2,50009,8,250,
112,2,50009,9,500,
113,2,50010,7,150,
114,2,50010,8,250,
115,2,50010,9,500,
116,2,50011,10,1000,
117,2,50011,11,1250,
118,2,50011,12,1500,
119,2,50012,10,1000,
120,2,50012,11,1250,
121,2,50012,12,1500,
122,2,50013,10,1000,
123,2,50013,11,1250,
124,2,50013,12,1500,
125,2,50014,10,1000,
126,2,50014,11,1250,
127,2,50014,12,1500,
128,2,50015,10,1000,
129,2,50015,11,1250,
130,2,50015,12,1500,
