id,powerStart,powerEnd,battleID,round,battleBG,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,
1,1,350000,140001,20,290050,1,9,50,1,8,100000,
2,350001,400000,140002,20,290050,1,9,50,1,8,200000,
3,400001,450000,140003,20,290050,1,9,50,1,8,300000,
4,450001,500000,140004,20,290050,1,9,50,1,8,400000,
5,500001,620000,140005,20,290050,1,9,50,1,8,500000,
6,620001,750000,140006,20,290050,1,9,50,1,8,600000,
7,750001,1750000,140007,20,290050,1,9,50,1,8,700000,
8,1750001,2000000,140008,20,290050,1,9,50,1,8,800000,
9,2000001,2250000,140009,20,290050,1,9,50,1,8,900000,
10,2250001,2500000,140010,20,290050,1,9,50,1,8,1000000,
11,2500001,3100000,140011,20,290050,1,9,50,1,8,1100000,
12,3100001,3750000,140012,20,290050,1,9,50,1,8,1200000,
13,3750001,4500000,140013,20,290050,1,9,50,1,8,1300000,
14,4500001,5000000,140014,20,290050,1,9,50,1,8,1400000,
15,5000001,6250000,140015,20,290050,1,9,50,1,8,1500000,
16,6250001,7500000,140016,20,290050,1,9,50,1,8,1600000,
17,7500001,8000000,140017,20,290050,1,9,50,1,8,1700000,
18,8000001,10000000,140018,20,290050,1,9,50,1,8,1800000,
19,10000001,-1,140019,20,290050,1,9,50,1,8,1900000,
