id,dateStart,dateEnd,stageNum,rechargeGear,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,name,isRare,
1,1,15,1,1,6,2,1003,1,2,1006,200,2,2751,5,s==13|Ngày thứ nhất,,
2,1,15,2,1,6,2,1003,1,2,1006,250,2,2751,5,s==12|Ngày thứ hai,,
3,1,15,3,1,6,2,1003,1,2,1006,300,2,2751,5,s==11|Ngày thứ ba,,
4,1,15,4,1,6,2,1003,1,2,1006,350,2,2751,5,s==11|Ngày thứ tư,,
5,1,15,5,1,6,2,1003,1,2,1466,1,2,2751,5,s==12|Ngày thứ năm,1,
6,1,15,6,1,6,2,1003,1,2,1006,400,2,2751,5,s==12|Ngày thứ sáu,,
7,1,15,7,1,6,2,1003,1,2,1006,500,2,2751,5,s==12|Ngày thứ bảy,,
8,1,15,8,1,6,2,1003,1,2,1006,500,2,2751,5,s==12|Ngày thứ tám,,
9,1,15,9,1,6,2,1003,10,1,9,500,2,2751,5,s==13|Ngày thứ chín,1,
10,1,15,1,2,68,2,1004,1,2,1006,400,2,2751,30,s==13|Ngày thứ nhất,,
11,1,15,2,2,68,2,1004,1,2,1006,500,2,2751,30,s==12|Ngày thứ hai,,
12,1,15,3,2,68,2,1004,1,2,1006,600,2,2751,30,s==11|Ngày thứ ba,,
13,1,15,4,2,68,2,1004,1,2,1006,700,2,2751,30,s==11|Ngày thứ tư,,
14,1,15,5,2,68,2,1004,1,2,1105,4,2,2751,30,s==12|Ngày thứ năm,1,
15,1,15,6,2,68,2,1004,1,2,1006,800,2,2751,30,s==12|Ngày thứ sáu,,
16,1,15,7,2,68,2,1004,1,2,1006,1000,2,2751,30,s==12|Ngày thứ bảy,,
17,1,15,8,2,68,2,1004,1,2,1006,1000,2,2751,30,s==12|Ngày thứ tám,,
18,1,15,9,2,68,2,4040,1,1,9,1500,2,2751,30,s==13|Ngày thứ chín,1,
19,16,30,1,1,6,2,1003,1,2,1006,200,2,2751,5,s==13|Ngày thứ nhất,,
20,16,30,2,1,6,2,1003,1,2,1006,250,2,2751,5,s==12|Ngày thứ hai,,
21,16,30,3,1,6,2,1003,1,2,1006,300,2,2751,5,s==11|Ngày thứ ba,,
22,16,30,4,1,6,2,1003,1,2,1006,350,2,2751,5,s==11|Ngày thứ tư,,
23,16,30,5,1,6,2,1003,1,2,1466,1,2,2751,5,s==12|Ngày thứ năm,1,
24,16,30,6,1,6,2,1003,1,2,1006,400,2,2751,5,s==12|Ngày thứ sáu,,
25,16,30,7,1,6,2,1003,1,2,1006,500,2,2751,5,s==12|Ngày thứ bảy,,
26,16,30,8,1,6,2,1003,1,2,1006,500,2,2751,5,s==12|Ngày thứ tám,,
27,16,30,9,1,6,2,1675,3,1,9,500,2,2751,5,s==13|Ngày thứ chín,1,
28,16,30,1,2,68,2,1004,1,2,1006,400,2,2751,30,s==13|Ngày thứ nhất,,
29,16,30,2,2,68,2,1004,1,2,1006,500,2,2751,30,s==12|Ngày thứ hai,,
30,16,30,3,2,68,2,1004,1,2,1006,600,2,2751,30,s==11|Ngày thứ ba,,
31,16,30,4,2,68,2,1004,1,2,1006,700,2,2751,30,s==11|Ngày thứ tư,,
32,16,30,5,2,68,2,1004,1,2,1105,4,2,2751,30,s==12|Ngày thứ năm,1,
33,16,30,6,2,68,2,1004,1,2,1006,800,2,2751,30,s==12|Ngày thứ sáu,,
34,16,30,7,2,68,2,1004,1,2,1006,1000,2,2751,30,s==12|Ngày thứ bảy,,
35,16,30,8,2,68,2,1004,1,2,1006,1000,2,2751,30,s==12|Ngày thứ tám,,
36,16,30,9,2,68,2,1475,1,1,9,1500,2,2751,30,s==13|Ngày thứ chín,1,
37,31,60,1,1,6,2,1003,1,2,1012,5,2,2751,5,s==13|Ngày thứ nhất,,
38,31,60,2,1,6,2,1003,1,2,1012,5,2,2751,5,s==12|Ngày thứ hai,,
39,31,60,3,1,6,2,1003,1,2,1012,5,2,2751,5,s==11|Ngày thứ ba,,
40,31,60,4,1,6,2,1003,1,2,1012,5,2,2751,5,s==11|Ngày thứ tư,,
