id,dateStart,dateEnd,stageStart,stageEnd,stage,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,14,1,3,1,200,2,1004,3,2,1003,6,2,1006,2000,
2,1,14,1,3,1,500,2,1516,1,2,1029,40,2,1006,5000,
3,1,14,1,3,1,1000,2,1105,10,2,1003,15,2,1006,8000,
4,1,14,1,3,1,2000,2,1004,8,2,3014,50,2,1006,20000,
5,1,14,1,3,1,5000,2,1177,1,2,3014,50,2,1020,40,
6,1,14,1,3,1,10000,2,4050,1,2,3014,100,2,1020,60,
7,1,14,1,3,1,20000,2,6666,1,2,3014,100,2,1021,30,
8,1,14,4,6,2,200,2,1004,3,2,1003,6,2,2074,3,
9,1,14,4,6,2,500,2,1516,1,2,1029,40,2,2074,8,
10,1,14,4,6,2,1000,2,1468,1,2,1003,15,2,2074,16,
11,1,14,4,6,2,2000,2,1468,2,2,3014,50,2,2074,24,
12,1,14,4,6,2,5000,2,2128,1,2,3014,100,2,1043,120,
13,1,14,4,6,2,10000,2,2128,3,2,3014,100,2,1044,50,
14,1,14,4,6,2,20000,2,2157,1,2,3014,200,2,1044,50,
15,1,14,7,9,3,200,2,1004,3,2,1003,6,2,1006,2000,
16,1,14,7,9,3,500,2,1516,1,2,1029,40,2,1006,5000,
17,1,14,7,9,3,1000,2,1105,10,2,1003,15,2,1006,8000,
18,1,14,7,9,3,2000,2,1004,8,2,3014,50,2,1006,20000,
19,1,14,7,9,3,5000,2,1177,1,2,3014,100,2,1043,120,
20,1,14,7,9,3,10000,2,4050,1,2,3014,100,2,1044,50,
21,1,14,7,9,3,20000,2,6666,1,2,3014,200,2,1044,50,
22,15,30,1,3,1,200,2,1004,3,2,1003,6,2,1006,2000,
23,15,30,1,3,1,500,2,1516,1,2,1029,40,2,1006,5000,
24,15,30,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,
25,15,30,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,
26,15,30,1,3,1,5000,2,6677,1,2,3014,50,2,1020,40,
27,15,30,1,3,1,10000,2,6674,1,2,3014,100,2,1020,60,
28,15,30,1,3,1,20000,2,6675,1,2,3014,100,2,1021,30,
29,15,30,4,6,2,200,2,1004,3,2,1003,6,2,2074,3,
30,15,30,4,6,2,500,2,1516,1,2,1029,40,2,2074,8,
31,15,30,4,6,2,1000,2,1468,1,2,1003,15,2,2074,16,
32,15,30,4,6,2,2000,2,1468,2,2,3014,50,2,2074,24,
33,15,30,4,6,2,5000,2,6677,1,2,3014,50,2,2074,36,
34,15,30,4,6,2,10000,2,6674,1,2,3014,100,2,2074,50,
35,15,30,4,6,2,20000,2,6675,1,2,3014,100,2,2074,80,
