id,taskType,taskDesc,targetType,targetId,targetValue,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,
1,1,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,2,7034,20,2,7030,1,
2,1,s==28|Sử dụng xí ngầu thường 3 lần,521,7030,3,2,7034,30,2,1001,200,
3,1,s==28|Sử dụng xí ngầu thường 5 lần,521,7030,5,2,7034,50,2,1007,3,
4,1,s==26|Sử dụng xí ngầu vàng 1 lần,521,7031,1,2,7034,50,2,1006,200,
5,1,s==33|Gặp phải sự kiện ngẫu nhiên 1 lần,667,301,1,2,7034,50,2,1003,1,
6,1,s==40|Trong ngày tích lũy đạt 100 điểm Kỷ Niệm,537,7034,100,2,7034,50,2,7031,1,
7,2,s==30|Tích lũy đạt 5000 điểm Kỷ Niệm,537,7034,5000,2,30028,1,,,,
8,2,s==38|Tích lũy sử dụng xí ngầu thường 25 lần,521,7030,25,2,7034,100,2,1003,1,
9,2,s==38|Tích lũy sử dụng xí ngầu thường 50 lần,521,7030,50,2,7034,200,2,1003,3,
10,2,s==39|Tích lũy sử dụng xí ngầu thường 100 lần,521,7030,100,2,7034,300,2,1003,5,
11,2,s==41|Tích lũy sử dụng Xí Ngầu Hoàng Kim 15 lần,521,7031,15,2,7034,300,2,1004,1,
12,2,s==34|Gặp phải sự kiện ngẫu nhiên 10 lần,667,301,10,2,7034,100,2,1006,200,
13,2,s==34|Gặp phải sự kiện ngẫu nhiên 20 lần,667,301,20,2,7034,200,2,1006,300,
14,2,s==34|Gặp phải sự kiện ngẫu nhiên 30 lần,667,301,30,2,7034,300,2,1006,500,
