id,blockName,isAtlas,filePath,desc,
10001,s==9|block_001,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==28|Thủy lưu trái trên phải dưới,
10002,s==9|block_002,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==28|Thủy lưu phải trên phải dưới,
10003,s==9|block_003,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==28|Thủy lưu trái giữa phải dưới,
10004,s==9|block_004,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==28|Thủy lưu phải trên trái giữa,
10005,s==9|block_005,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==28|Thủy lưu trái trên phải giữa,
10006,s==9|block_006,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==14|Thủy lưu ngang,
10007,s==9|block_007,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==28|Thủy lưu phải giữa trái dưới,
10008,s==9|block_008,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==15|Thủy lưu góc độ,
10009,s==9|block_009,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==15|Thủy lưu góc độ,
10010,s==9|block_010,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==18|Ô di chuyển thường,
10011,s==9|block_011,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==17|Ô có thể tấn công,
10012,s==9|block_012,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==27|Khu vực không thể di chuyển,
10013,s==9|block_013,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==9|Ô cây cối,
10014,s==9|block_014,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==25|Ô sinh mệnh bên phòng thủ,
10015,s==9|block_015,1,s==29|GUI/Atlas/HeFuFight/gridIcon1,s==25|Ô sinh mệnh bên công kích,
