id,chIcon,iconId,bornEffect,fightEffect,desc,
10001,0,10001,,,s==28|Thủy lưu trái trên phải dưới,
10002,0,10002,,,s==28|Thủy lưu phải trên phải dưới,
10003,0,10003,,,s==28|Thủy lưu trái giữa phải dưới,
10004,0,10004,,,s==28|Thủy lưu phải trên trái giữa,
10005,0,10005,,,s==28|Thủy lưu trái trên phải giữa,
10006,0,10006,,,s==14|Thủy lưu ngang,
10007,0,10007,,,s==28|Thủy lưu phải giữa trái dưới,
10008,0,10008,,,s==15|Thủy lưu góc độ,
10009,0,10009,,,s==15|Thủy lưu góc độ,
10010,0,10010,,,s==18|Ô di chuyển thường,
10011,0,10011,,2,s==66|Các địa khắc có thể công kích 、 địa khắc chiến đấu vùng giao tranh,
10012,0,10012,,,s==27|Khu vực không thể di chuyển,
10013,0,10013,,,s==16|Địa khối sơn lâm,
10014,0,10014,,,s==25|Ô sinh mệnh bên phòng thủ,
10015,0,10015,,,s==30|Địa khối xuất sinh công phương,
