id,icontype,offset,angle,inforScale,sitenameOffset,mapScale,siteStarTum,desc,
1,101,22,60,,,,,1,s==24|Thủ phương đại bản doanh,
2,102,-74,66,,,,,1,s==22|Đại bản doanh bên công,
3,103,0,0,,,,-1,1,1,s==10|Quân doanh,
4,104,1,-40,,0.23,0.23,1,-40,,1,s==9|Thành môn,
5,105,148,-3,,,,,1,s==23|Thành lũy góc trái trên,
6,106,4,-4,,,,,1,s==23|Thành lũy góc phải trên,
7,107,89178,,,,,1,s==21|Thành tường bên hữu 1,
8,107,89,55,,,,,1,s==20|Thành lũy bên phải 2,
9,107|107,1,85|1,-39,,,,,1,s==21|Tường thành bên hữu 3,
10,107,71,6,,,,,1,s==21|Thành tường bên hữu 4,
11,107|107,1,150|1,26,,,,,1,s==21|Thành tường bên hữu 5,
12,108,-26,62,,,,,3,s==23|Thành lũy góc trái dưới,
13,109,1,60,,,,,1,s==23|Thành lũy góc phải dưới,
14,110,1,-79,,,,,1,s==18|Tàn tích kiến trúc,
15,111,-74,46,,,,-1,1,1,s==13|Phong hỏa đài,
16,112,0,0,,,,-1,1,1,s==9|Mã trường,
17,113,-33,-8,,,,,1,s==12|Binh khí đài,
18,114,0,0,,,,,1,s==15|Một cụm thụ mộc,
19,115,0,0,,,,,1,s==15|Một vài thụ mộc,
20,116,0,0,,,,,1,s==23|Thạch khối 1 (có giếng),
21,117,0,0,,,,,1,s==12|Thạch khối 2,
22,118,0,0,8,,,,1,s==4|Kiều,
23,119,122,207,,,,1,1,1,s==18|Thành tường đỉnh 1,
24,119,83,53,,,,1,1,1,s==18|Thành tường đỉnh 2,
25,119,129,53,,,,1,1,1,s==18|Thành tường đỉnh 3,
26,119|115,36,15|44,-61,,,,1,1|1,1,1,s==16|Thành tường hạ 1,
27,119,85,15,,,,1,1,1,s==16|Thành tường hạ 2,
28,119|115,46,15|-43,-61,,,,,1,s==16|Thành tường hạ 3,
29,119|115,-2,15|0,-39,,,,1,1||1,1,1,s==16|Thành tường hạ 4,
30,119|115,0,15|3,-67,,,,,1,s==16|Thành tường hạ 5,
31,120|120|120|120|120|120,0,0|0,0|0,0|0,0|0,0|0,0,,,,,2,s==15|Thụ mộc đơn độc,
32,121,14,-113,,0.2,0.2,14,-113,,1,s==8|Long Trụ,
33,122,36,-55,,0.32,0.32,36,-55,,1,s==9|Quan ải 1,
34,107,0,0,,,,,1,s==20|Thành tường bên tả 1,
35,130,-30,93,,,,,2,s==20|Thành tường bên tả 2,
36,130,58,37,,,,,3,s==20|Thành tường bên tả 3,
