id,dateStart,dateEnd,actId,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,desc,oriPrice,discount,sort,
1,1,133,5730,2,1148,1,2,6469,340,1,4,,,,,s==8|Tào Tiết,,,20,
2,1,133,5730,2,6758,1,2,6469,55,7,4,,,,,s==16|Khảm Tẩu Tôn Thị,,,19,
3,1,133,5730,2,1081,1,2,6469,8,10,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
4,1,133,5730,2,1082,1,2,6469,4,40,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
5,1,133,5730,2,1080,1,2,6469,20,20,4,,,,,s==11|Đào Hoa Tụy,,,16,
6,1,133,5730,2,1009,1,2,6469,8,10,4,,,,,s==12|Hồn Phụ Kiện,,,15,
7,1,133,5730,2,1011,1,2,6469,4,40,4,,,,,s==24|Thạch Thăng Sao Phụ Kiện,,,14,
8,1,133,5730,2,1044,1,2,6469,4,10,4,,,,,s==16|Linh Hồn Bảo Vật,,,13,
9,1,133,5730,2,1043,1,2,6469,2,30,4,,,,,s==22|Thạch Tiến Cấp Bảo Vật,,,12,
10,1,133,5730,2,1078,100,2,6469,1,50,4,,,,,s==11|Nữ Nhi Hồng,,,11,
11,1,133,5730,2,1001,100,2,6469,4,150,4,,,,,s==13|Đột Phá Thạch,,,10,
12,1,133,5730,1,10,50000,2,6469,2,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,9,
13,1,133,5730,1,8,50000,2,6469,2,300,4,,,,,s==9|Đồng Tiền,,,8,
14,134,190,5730,2,1150,1,2,6469,340,1,4,,,,,s==11|Gia Cát Quả,,,20,
15,134,190,5730,2,6722,1,2,6469,55,7,4,,,,,s==31|Mỹ Nhân Tủy Phiến Tự Chọn Tương,,,19,
16,134,190,5730,2,1081,1,2,6469,8,10,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
17,134,190,5730,2,1082,1,2,6469,4,40,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
18,134,190,5730,2,1080,1,2,6469,20,20,4,,,,,s==11|Đào Hoa Tụy,,,16,
19,134,190,5730,2,1037,1,2,6469,8,10,4,,,,,s==13|Thôi Hỏa Ngọc,,,15,
20,134,190,5730,2,1036,1,2,6469,4,40,4,,,,,s==14|Đả Khổng Thạch,,,14,
21,134,190,5730,2,1018,1,2,6469,8,10,4,,,,,s==33|Tướng Quân Phó Tướng Cấp Cao Lệnh,,,13,
22,134,190,5730,2,1017,1,2,6469,4,30,4,,,,,s==25|Tướng Quân Phó Tướng Lệnh,,,12,
23,134,190,5730,2,1078,100,2,6469,1,50,4,,,,,s==11|Nữ Nhi Hồng,,,11,
24,134,190,5730,2,1001,100,2,6469,4,150,4,,,,,s==13|Đột Phá Thạch,,,10,
25,134,190,5730,1,10,50000,2,6469,2,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,9,
26,134,190,5730,1,8,50000,2,6469,2,300,4,,,,,s==9|Đồng Tiền,,,8,
27,191,246,5730,2,1149,1,2,6469,340,1,4,,,,,s==10|Tôn Lỗ Dục,,,20,
28,191,246,5730,2,6722,1,2,6469,55,7,4,,,,,s==31|Mỹ Nhân Tủy Phiến Tự Chọn Tương,,,19,
29,191,246,5730,2,1081,1,2,6469,8,10,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
30,191,246,5730,2,1082,1,2,6469,4,40,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
31,191,246,5730,2,1080,1,2,6469,20,20,4,,,,,s==11|Đào Hoa Tụy,,,16,
32,191,246,5730,2,1045,1,2,6469,8,10,4,,,,,s==19|Chiến Hồn Tinh Quái,,,15,
33,191,246,5730,2,1046,1,2,6469,4,40,4,,,,,s==18|Chiến Hồn Tinh Hoa,,,14,
34,191,246,5730,2,1050,1,2,6469,6,10,4,,,,,s==24|Thạch Tẩy Luyện Chiến Kỳ,,,13,
35,191,246,5730,2,1049,1,2,6469,4,30,4,,,,,s==17|Tinh Hoa Chiến Kỳ,,,12,
36,191,246,5730,2,1078,100,2,6469,1,50,4,,,,,s==11|Nữ Nhi Hồng,,,11,
37,191,246,5730,2,1001,100,2,6469,4,150,4,,,,,s==13|Đột Phá Thạch,,,10,
38,191,246,5730,1,10,50000,2,6469,2,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,9,
39,191,246,5730,1,8,50000,2,6469,2,300,4,,,,,s==9|Đồng Tiền,,,8,
40,247,302,5730,2,1151,1,2,6469,340,1,4,,,,,s==16|Phàn Ngọc Phượng,,,20,
41,247,302,5730,2,6722,1,2,6469,55,7,4,,,,,s==31|Mỹ Nhân Tủy Phiến Tự Chọn Tương,,,19,
42,247,302,5730,2,1081,1,2,6469,8,10,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
43,247,302,5730,2,1082,1,2,6469,4,40,4,,,,,s==15|Lụa Gấm Mĩ Nhân,,,17,
44,247,302,5730,2,1080,1,2,6469,20,20,4,,,,,s==11|Đào Hoa Tụy,,,16,
45,247,302,5730,2,1045,1,2,6469,8,10,4,,,,,s==19|Chiến Hồn Tinh Quái,,,15,
46,247,302,5730,2,1046,1,2,6469,4,40,4,,,,,s==18|Chiến Hồn Tinh Hoa,,,14,
47,247,302,5730,2,1230,1,2,6469,5,30,4,,,,,s==22|Bách Luyện Huyền Cương,,,13,
48,247,302,5730,2,1228,1,2,6469,8,5,4,,,,,s==10|Kỳ Vận Phù,,,12,
49,247,302,5730,2,1078,100,2,6469,1,50,4,,,,,s==11|Nữ Nhi Hồng,,,11,
50,247,302,5730,2,1001,100,2,6469,4,150,4,,,,,s==13|Đột Phá Thạch,,,10,
51,247,302,5730,1,10,50000,2,6469,2,150,4,,,,,s==20|Kinh nghiệm võ tướng,,,9,
52,247,302,5730,1,8,50000,2,6469,2,300,4,,,,,s==9|Đồng Tiền,,,8,
53,303,358,5730,2,1153,1,2,6469,340,1,4,,,,,s==14|Quách Nữ Vương,,,20,
54,303,358,5730,2,6722,1,2,6469,55,7,4,,,,,s==31|Mỹ Nhân Tủy Phiến Tự Chọn Tương,,,19,
55,303,358,5730,2,1081,1,2,6469,8,10,4,,,,,s==24|Phượng Quân Mĩ Nhân Quan,,,18,
