id,taskName,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,targets-targetType-2,targets-targetId-2,targets-targetValue-2,targets-targetType-3,targets-targetId-3,targets-targetValue-3,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1001,,s==25|Hằng ngày đăng nhập 1 lần,101,0,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1002,,s==27|Giao duy cùng mỹ nhân 1 lần,518,0,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1003,,s==27|Giao duy cùng mỹ nhân 3 lần,518,0,3,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1004,,s==25|Thưởng tặng mỹ nhân 1 lần,538,0,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1005,,s==23|Sủng hạnh mỹ nhân 1 lần,373,0,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1006,,s==31|Thăng cấp kỹ năng mỹ nhân 1 lần,374,0,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1007,,s==72|Thách đấu/Quét sạch 3 lần trận chiến Kinh Châu thuộc bất kỳ phe phái nào,515,0,3,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1008,,s==72|Thách đấu/Quét sạch 8 lần trận chiến Kinh Châu thuộc bất kỳ phe phái nào,515,0,8,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1009,,s==73|Thách đấu/Quét sạch 12 lần trận chiến Kinh Châu thuộc bất kỳ phe phái nào,515,0,12,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1010,,s==50|Nhận 1 lần nhiệm vụ kỳ duyên phẩm chất cam trở lên,212,5,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1011,,s==50|Nhận 2 lần nhiệm vụ kỳ duyên phẩm chất cam trở lên,212,5,2,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1012,,s==50|Nhận 3 lần nhiệm vụ kỳ duyên phẩm chất cam trở lên,212,5,3,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1013,,s==45|Thách đấu/quét sạch 5 lần phó bản thường nhật,111,0,5,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1014,,s==44|Thách đấu/Quét sạch 10 lần Phó Bản Hằng Ngày,111,0,10,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1015,,s==44|Thách đấu/Quét sạch 15 lần Phó Bản Hằng Ngày,111,0,15,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1016,,s==39|Mua 5 món đạo cụ tại Thương Thành Bí Ẩn,402,2,5,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1017,,s==40|Mua 10 món đạo cụ tại Thương Thành Bí Ẩn,402,2,10,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1018,,s==40|Mua 15 món đạo cụ tại Thương Thành Bí Ẩn,402,2,15,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1019,,s==38|Tiêu hao 3 lần tại Thương Thành Đạo Cụ,402,1,3,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1020,,s==38|Tiêu hao 8 lần tại Thương Thành Đạo Cụ,402,1,8,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1021,,s==39|Tiêu hao 12 lần tại Thương Thành Đạo Cụ,402,1,12,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1022,,s==34|Thông qua tầng 2 trận chiến Hổ Lao,607,0,2,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1023,,s==34|Thông qua tầng 5 trận chiến Hổ Lao,607,0,5,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1024,,s==34|Thông qua tầng 8 trận chiến Hổ Lao,607,0,8,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1025,,s==19|Tích điểm Kim 5 lần,509,0,5,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1026,,s==20|Tích điểm Kim 10 lần,509,0,10,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1027,,s==20|Tích điểm Kim 20 lần,509,0,20,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
1028,,s==25|Tích nạp tổng cộng 60 KNB,510,0,6,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1029,,s==35|Rút thưởng tại Đồng Quách Đài 1 lần,637,0,1,0,0,0,0,0,0,2,6470,3,1,8,50000,1,10,20000,
1030,,s==35|Rút thưởng tại Đồng Quách Đài 3 lần,637,0,3,0,0,0,0,0,0,2,6470,6,1,8,50000,1,10,20000,
