id,camp,quality,qualityName,step,battle,boutCount,rewards-type-1,rewards-id-1,rewards-value-1,needNum,
1,1,1,s==2|初级,1,40001,10,,,,3,
2,1,1,s==2|初级,2,40002,10,,,,3,
3,1,1,s==2|初级,3,40003,10,,,,3,
4,1,1,s==2|初级,4,40004,10,,,,3,
5,1,1,s==2|初级,5,40005,10,1,10,50000,3,
6,1,1,s==2|初级,6,40006,10,,,,3,
7,1,1,s==2|初级,7,40007,10,,,,3,
8,1,1,s==2|初级,8,40008,10,,,,3,
9,1,1,s==2|初级,9,40009,10,,,,3,
10,1,1,s==2|初级,10,40010,10,1,10,50000,3,
11,1,1,s==2|初级,11,40011,10,,,,3,
12,1,1,s==2|初级,12,40012,10,,,,3,
13,1,1,s==2|初级,13,40013,10,,,,3,
14,1,1,s==2|初级,14,40014,10,,,,3,
15,1,1,s==2|初级,15,40015,10,1,10,50000,3,
16,1,1,s==2|初级,16,40016,10,,,,3,
17,1,1,s==2|初级,17,40017,10,,,,3,
18,1,1,s==2|初级,18,40018,10,,,,3,
19,1,1,s==2|初级,19,40019,10,,,,3,
20,1,1,s==2|初级,20,40020,10,1,10,50000,3,
21,1,1,s==2|初级,21,40021,10,,,,3,
22,1,1,s==2|初级,22,40022,10,,,,3,
23,1,1,s==2|初级,23,40023,10,,,,3,
24,1,1,s==2|初级,24,40024,10,,,,3,
25,1,1,s==2|初级,25,40025,10,1,10,50000,3,
26,1,1,s==2|初级,26,40026,10,,,,3,
27,1,1,s==2|初级,27,40027,10,,,,3,
28,1,1,s==2|初级,28,40028,10,,,,3,
29,1,1,s==2|初级,29,40029,10,,,,3,
30,1,1,s==2|初级,30,40030,10,1,10,50000,3,
31,1,1,s==2|初级,31,40031,10,,,,3,
32,1,1,s==2|初级,32,40032,10,,,,3,
33,1,1,s==2|初级,33,40033,10,,,,3,
34,1,1,s==2|初级,34,40034,10,,,,3,
35,1,1,s==2|初级,35,40035,10,1,10,50000,3,
36,1,1,s==2|初级,36,40036,10,,,,3,
37,1,1,s==2|初级,37,40037,10,,,,3,
38,1,1,s==2|初级,38,40038,10,,,,3,
39,1,1,s==2|初级,39,40039,10,,,,3,
40,1,1,s==2|初级,40,40040,10,1,10,50000,3,
41,1,1,s==2|初级,41,40041,10,,,,3,
42,1,1,s==2|初级,42,40042,10,,,,3,
43,1,1,s==2|初级,43,40043,10,,,,3,
44,1,1,s==2|初级,44,40044,10,,,,3,
45,1,1,s==2|初级,45,40045,10,1,10,50000,3,
46,1,1,s==2|初级,46,40046,10,,,,3,
47,1,1,s==2|初级,47,40047,10,,,,3,
48,1,1,s==2|初级,48,40048,10,,,,3,
49,1,1,s==2|初级,49,40049,10,,,,3,
50,1,1,s==2|初级,50,40050,10,1,10,50000,3,
51,1,1,s==2|初级,51,40051,10,,,,3,
52,1,1,s==2|初级,52,40052,10,,,,3,
53,1,1,s==2|初级,53,40053,10,,,,3,
54,1,1,s==2|初级,54,40054,10,,,,3,
55,1,1,s==2|初级,55,40055,10,1,10,50000,3,
56,1,1,s==2|初级,56,40056,10,,,,3,
57,1,1,s==2|初级,57,40057,10,,,,3,
58,1,1,s==2|初级,58,40058,10,,,,3,
59,1,1,s==2|初级,59,40059,10,,,,3,
60,1,1,s==2|初级,60,40060,10,1,10,50000,3,
61,1,1,s==2|初级,61,40061,10,,,,3,
62,1,1,s==2|初级,62,40062,10,,,,3,
63,1,1,s==2|初级,63,40063,10,,,,3,
64,1,1,s==2|初级,64,40064,10,,,,3,
65,1,1,s==2|初级,65,40065,10,1,10,50000,3,
66,1,1,s==2|初级,66,40066,10,,,,3,
67,1,1,s==2|初级,67,40067,10,,,,3,
68,1,1,s==2|初级,68,40068,10,,,,3,
69,1,1,s==2|初级,69,40069,10,,,,3,
70,1,1,s==2|初级,70,40070,10,1,10,50000,3,
71,1,1,s==2|初级,71,40071,10,,,,3,
72,1,1,s==2|初级,72,40072,10,,,,3,
73,1,1,s==2|初级,73,40073,10,,,,3,
74,1,1,s==2|初级,74,40074,10,,,,3,
75,1,1,s==2|初级,75,40075,10,1,10,50000,3,
76,1,1,s==2|初级,76,40076,10,,,,3,
77,1,1,s==2|初级,77,40077,10,,,,3,
78,1,1,s==2|初级,78,40078,10,,,,3,
79,1,1,s==2|初级,79,40079,10,,,,3,
80,1,1,s==2|初级,80,40080,10,1,10,50000,3,
81,1,1,s==2|初级,81,40081,10,,,,3,
82,1,1,s==2|初级,82,40082,10,,,,3,
83,1,1,s==2|初级,83,40083,10,,,,3,
84,1,1,s==2|初级,84,40084,10,,,,3,
85,1,1,s==2|初级,85,40085,10,1,10,50000,3,
86,1,1,s==2|初级,86,40086,10,,,,3,
87,1,1,s==2|初级,87,40087,10,,,,3,
88,1,1,s==2|初级,88,40088,10,,,,3,
89,1,1,s==2|初级,89,40089,10,,,,3,
90,1,1,s==2|初级,90,40090,10,1,10,50000,3,
91,1,1,s==2|初级,91,40091,10,,,,3,
92,1,1,s==2|初级,92,40092,10,,,,3,
93,1,1,s==2|初级,93,40093,10,,,,3,
94,1,1,s==2|初级,94,40094,10,,,,3,
95,1,1,s==2|初级,95,40095,10,1,10,50000,3,
96,1,1,s==2|初级,96,40096,10,,,,3,
97,1,1,s==2|初级,97,40097,10,,,,3,
98,1,1,s==2|初级,98,40098,10,,,,3,
99,1,1,s==2|初级,99,40099,10,,,,3,
100,1,1,s==2|初级,100,40100,10,1,10,50000,3,
101,1,2,s==2|中级,101,40101,10,,,,4,
102,1,2,s==2|中级,102,40102,10,,,,4,
103,1,2,s==2|中级,103,40103,10,,,,4,
104,1,2,s==2|中级,104,40104,10,,,,4,
105,1,2,s==2|中级,105,40105,10,1,10,50000,4,
106,1,2,s==2|中级,106,40106,10,,,,4,
107,1,2,s==2|中级,107,40107,10,,,,4,
108,1,2,s==2|中级,108,40108,10,,,,4,
109,1,2,s==2|中级,109,40109,10,,,,4,
110,1,2,s==2|中级,110,40110,10,1,10,50000,4,
111,1,2,s==2|中级,111,40111,10,,,,4,
112,1,2,s==2|中级,112,40112,10,,,,4,
113,1,2,s==2|中级,113,40113,10,,,,4,
114,1,2,s==2|中级,114,40114,10,,,,4,
115,1,2,s==2|中级,115,40115,10,1,10,50000,4,
116,1,2,s==2|中级,116,40116,10,,,,4,
117,1,2,s==2|中级,117,40117,10,,,,4,
118,1,2,s==2|中级,118,40118,10,,,,4,
119,1,2,s==2|中级,119,40119,10,,,,4,
120,1,2,s==2|中级,120,40120,10,1,10,50000,4,
121,1,2,s==2|中级,121,40121,10,,,,4,
122,1,2,s==2|中级,122,40122,10,,,,4,
123,1,2,s==2|中级,123,40123,10,,,,4,
124,1,2,s==2|中级,124,40124,10,,,,4,
125,1,2,s==2|中级,125,40125,10,1,10,50000,4,
126,1,2,s==2|中级,126,40126,10,,,,4,
127,1,2,s==2|中级,127,40127,10,,,,4,
128,1,2,s==2|中级,128,40128,10,,,,4,
129,1,2,s==2|中级,129,40129,10,,,,4,
130,1,2,s==2|中级,130,40130,10,1,10,50000,4,
131,1,2,s==2|中级,131,40131,10,,,,4,
132,1,2,s==2|中级,132,40132,10,,,,4,
133,1,2,s==2|中级,133,40133,10,,,,4,
134,1,2,s==2|中级,134,40134,10,,,,4,
135,1,2,s==2|中级,135,40135,10,1,10,50000,4,
136,1,2,s==2|中级,136,40136,10,,,,4,
137,1,2,s==2|中级,137,40137,10,,,,4,
138,1,2,s==2|中级,138,40138,10,,,,4,
139,1,2,s==2|中级,139,40139,10,,,,4,
140,1,2,s==2|中级,140,40140,10,1,10,50000,4,
141,1,2,s==2|中级,141,40141,10,,,,4,
142,1,2,s==2|中级,142,40142,10,,,,4,
143,1,2,s==2|中级,143,40143,10,,,,4,
144,1,2,s==2|中级,144,40144,10,,,,4,
145,1,2,s==2|中级,145,40145,10,1,10,50000,4,
146,1,2,s==2|中级,146,40146,10,,,,4,
147,1,2,s==2|中级,147,40147,10,,,,4,
148,1,2,s==2|中级,148,40148,10,,,,4,
149,1,2,s==2|中级,149,40149,10,,,,4,
150,1,2,s==2|中级,150,40150,10,1,10,50000,4,
151,1,2,s==2|中级,151,40151,10,,,,4,
152,1,2,s==2|中级,152,40152,10,,,,4,
153,1,2,s==2|中级,153,40153,10,,,,4,
154,1,2,s==2|中级,154,40154,10,,,,4,
155,1,2,s==2|中级,155,40155,10,1,10,50000,4,
156,1,2,s==2|中级,156,40156,10,,,,4,
157,1,2,s==2|中级,157,40157,10,,,,4,
158,1,2,s==2|中级,158,40158,10,,,,4,
159,1,2,s==2|中级,159,40159,10,,,,4,
160,1,2,s==2|中级,160,40160,10,1,10,50000,4,
161,1,2,s==2|中级,161,40161,10,,,,4,
162,1,2,s==2|中级,162,40162,10,,,,4,
163,1,2,s==2|中级,163,40163,10,,,,4,
164,1,2,s==2|中级,164,40164,10,,,,4,
165,1,2,s==2|中级,165,40165,10,1,10,50000,4,
166,1,2,s==2|中级,166,40166,10,,,,4,
167,1,2,s==2|中级,167,40167,10,,,,4,
168,1,2,s==2|中级,168,40168,10,,,,4,
169,1,2,s==2|中级,169,40169,10,,,,4,
170,1,2,s==2|中级,170,40170,10,1,10,50000,4,
171,1,2,s==2|中级,171,40171,10,,,,4,
172,1,2,s==2|中级,172,40172,10,,,,4,
173,1,2,s==2|中级,173,40173,10,,,,4,
174,1,2,s==2|中级,174,40174,10,,,,4,
175,1,2,s==2|中级,175,40175,10,1,10,50000,4,
176,1,2,s==2|中级,176,40176,10,,,,4,
177,1,2,s==2|中级,177,40177,10,,,,4,
178,1,2,s==2|中级,178,40178,10,,,,4,
179,1,2,s==2|中级,179,40179,10,,,,4,
180,1,2,s==2|中级,180,40180,10,1,10,50000,4,
181,1,2,s==2|中级,181,40181,10,,,,4,
182,1,2,s==2|中级,182,40182,10,,,,4,
183,1,2,s==2|中级,183,40183,10,,,,4,
184,1,2,s==2|中级,184,40184,10,,,,4,
185,1,2,s==2|中级,185,40185,10,1,10,50000,4,
186,1,2,s==2|中级,186,40186,10,,,,4,
187,1,2,s==2|中级,187,40187,10,,,,4,
188,1,2,s==2|中级,188,40188,10,,,,4,
189,1,2,s==2|中级,189,40189,10,,,,4,
190,1,2,s==2|中级,190,40190,10,1,10,50000,4,
191,1,2,s==2|中级,191,40191,10,,,,4,
