id,itemType,itemId,combineNum,resourceType,resourceId,disPrice,buyLimit,autoReset,worldlvLimit,lvLimit,lvLimitEx,vipLimit,openTime,desc,oriPrice,discount,sort,toSystem,
1,2,800214,1,1,85,75000,1,3,,,,,,s==25|Hồng sắc huyễn vũ tự chọn,,,1000,,
2,2,800213,1,1,85,25000,1,2,,,,,,s==24|Cam sắc huyễn vũ tự chọn,,,990,,
3,2,800200,1,1,85,100,200,2,,,,,,s==9|Vân Thiết,,,980,,
4,2,1900,1,1,85,1500,10,2,,,,,,s==23|Tự Chọn Bảo Thạch Cấp 1,,,970,,
5,2,1004,1,1,85,5000,10,2,,,,,,s==12|Tụ Hiền Lệnh,,,960,,
6,2,1036,1,1,85,500,20,2,,,,,,s==14|Đả Khổng Thạch,,,950,,
7,2,1037,1,1,85,1000,20,2,,,,,,s==13|Thôi Hỏa Ngọc,,,940,,
8,2,1103,1,1,85,500,20,2,,,,,,s==25|Bảo Thạch Nung Luyện Tinh,,,930,,
9,2,1104,1,1,85,1000,20,2,,,,,,s==18|Bảo Thạch Tinh Hoa,,,920,,
10,2,1056,1,1,85,200,200,2,,,,,,s==16|Chú Hồn Tinh Hồn,,,910,,
11,2,1055,1,1,85,100,200,2,,,,,,s==23|Chú Hồn Tiến Giai Thạch,,,900,,
12,2,2759,1,1,85,2500,10,2,,,,,,s==15|Nội đan chi hồn,,,999,6340,
13,2,8827,1,1,85,3000,5,2,,,,,,s==12|Linh Thú Đản,,,998,6340,
