id,integral,stageType,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,lockRewards-type-1,lockRewards-id-1,lockRewards-value-1,lockRewards-type-2,lockRewards-id-2,lockRewards-value-2,
0,100,28825,,,,,,,,,,,,,
1,100,28825,2,1003,1,,,,2,1004,1,1,85,1000,
2,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
3,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
4,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
5,100,28825,2,1900,1,,,,2,1900,1,1,85,1000,
6,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
7,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
8,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
9,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
10,100,28825,2,1004,1,,,,2,1004,2,1,85,1000,
11,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
12,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
13,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
14,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
15,100,28825,2,1900,1,,,,2,1900,1,1,85,1000,
16,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
17,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
18,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
19,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
20,100,28825,2,1004,1,,,,2,1004,2,1,85,1000,
21,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
22,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
23,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
24,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
25,100,28825,2,1900,1,,,,2,1760,1,1,85,1000,
26,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
27,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
28,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
29,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
30,100,28825,2,1534,1,,,,2,1533,1,1,85,1000,
31,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
32,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
33,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
34,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
35,100,28825,2,1004,1,,,,2,1004,2,1,85,1000,
36,100,28825,2,3008,10,,,,2,3008,10,1,85,500,
37,100,28825,2,1027,20,,,,2,1027,20,1,85,500,
38,100,28825,2,1077,20,,,,2,1077,20,1,85,500,
39,100,28825,2,1036,1,,,,2,1037,1,1,85,500,
40,100,28825,2,800213,1,,,,2,800214,1,1,85,1000,
41,100,28825,2,1036,1,,,,2,1037,1,,,,
