id,time,actID,days,TaskType,taskSoft,taskName,toSystem,targetType,targetId,targetNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1,1,3350,1,1,1,s==33|Mỗi ngày nạp tích lũy đạt 980 KNB,1930,510,0,98,2,1249,10,2,1250,1,,,,
2,1,3350,1,1,2,s==34|Mỗi ngày nạp tích lũy đạt 3280 KNB,1930,510,0,328,2,1249,20,2,1250,2,,,,
3,1,3350,1,1,3,s==34|Mỗi ngày nạp tích lũy đạt 6480 KNB,1930,510,0,648,2,1249,30,2,1250,3,,,,
4,1,3350,1,2,,s==24|Đăng nhập trò chơi 1 lần,,101,0,1,2,1249,20,,,,,,,
6,1,3350,1,2,,s==23|Tham gia Điểm Kim 5 lần,1012,509,0,5,2,1249,20,,,,,,,
7,1,3350,1,2,,s==30|Tham gia Tầm Vấn Cao Cấp 5 lần,1640,403,3,5,2,1249,30,,,,,,,
8,1,3350,1,2,,s==25|Hoạt động hôm nay đạt 100,1051,377,0,100,2,1249,40,,,,,,,
9,1,3350,1,2,,s==26|Tham gia Tụ Hiền Các 1 lần,1140,211,0,1,2,1249,40,2,1250,1,,,,
10,1,3350,2,1,10,s==33|Mỗi ngày nạp tích lũy đạt 980 KNB,1930,510,0,98,2,1249,10,2,1250,1,,,,
11,1,3350,2,1,11,s==34|Mỗi ngày nạp tích lũy đạt 3280 KNB,1930,510,0,328,2,1249,20,2,1250,2,,,,
12,1,3350,2,1,12,s==34|Mỗi ngày nạp tích lũy đạt 6480 KNB,1930,510,0,648,2,1249,30,2,1250,3,,,,
13,1,3350,2,2,,s==24|Đăng nhập trò chơi 1 lần,,101,0,1,2,1249,20,,,,,,,
14,1,3350,2,2,,s==23|Tham gia Điểm Kim 5 lần,1012,509,0,5,2,1249,20,,,,,,,
15,1,3350,2,2,,s==30|Tham gia Tầm Vấn Cao Cấp 5 lần,1640,403,3,5,2,1249,30,,,,,,,
16,1,3350,2,2,,s==25|Hoạt động hôm nay đạt 100,1051,377,0,100,2,1249,40,,,,,,,
17,1,3350,2,2,,s==26|Tham gia Tụ Hiền Các 1 lần,1140,211,0,1,2,1249,40,2,1250,1,,,,
18,1,3350,3,1,18,s==33|Mỗi ngày nạp tích lũy đạt 980 KNB,1930,510,0,98,2,1249,10,2,1250,1,,,,
19,1,3350,3,1,19,s==34|Mỗi ngày nạp tích lũy đạt 3280 KNB,1930,510,0,328,2,1249,20,2,1250,2,,,,
20,1,3350,3,1,20,s==34|Mỗi ngày nạp tích lũy đạt 6480 KNB,1930,510,0,648,2,1249,30,2,1250,3,,,,
21,1,3350,3,2,,s==24|Đăng nhập trò chơi 1 lần,,101,0,1,2,1249,20,,,,,,,
22,1,3350,3,2,,s==23|Tham gia Điểm Kim 5 lần,1012,509,0,5,2,1249,20,,,,,,,
23,1,3350,3,2,,s==30|Tham gia Tầm Vấn Cao Cấp 5 lần,1640,403,3,5,2,1249,30,,,,,,,
24,1,3350,3,2,,s==25|Hoạt động hôm nay đạt 100,1051,377,0,100,2,1249,40,,,,,,,
25,1,3350,3,2,,s==26|Tham gia Tụ Hiền Các 1 lần,1140,211,0,1,2,1249,40,2,1250,1,,,,
26,1,3350,4,1,26,s==33|Mỗi ngày nạp tích lũy đạt 980 KNB,1930,510,0,98,2,1249,10,2,1250,1,,,,
27,1,3350,4,1,27,s==34|Mỗi ngày nạp tích lũy đạt 3280 KNB,1930,510,0,328,2,1249,20,2,1250,2,,,,
28,1,3350,4,1,28,s==34|Mỗi ngày nạp tích lũy đạt 6480 KNB,1930,510,0,648,2,1249,30,2,1250,3,,,,
29,1,3350,4,2,,s==24|Đăng nhập trò chơi 1 lần,,101,0,1,2,1249,20,,,,,,,
30,1,3350,4,2,,s==23|Tham gia Điểm Kim 5 lần,1012,509,0,5,2,1249,20,,,,,,,
31,1,3350,4,2,,s==30|Tham gia Tầm Vấn Cao Cấp 5 lần,1640,403,3,5,2,1249,30,,,,,,,
