id,dateStart,dateEnd,stageNum,rechargeGear,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,name,
1,1,30,1,1,30,2,1003,2,2,1006,600,1,9,300,s==9|Tật Phong,
2,1,30,2,1,30,2,1003,2,2,1006,800,1,8,500000,s==8|Trì Điện,
3,1,30,3,1,30,2,1003,2,2,1006,1000,2,3008,25,s==10|Tuyệt Trần,
4,1,30,4,1,30,2,1003,2,2,1006,1200,1,8,1000000,s==8|Bôn Tinh,
5,1,30,5,1,30,2,1004,1,2,1105,2,2,3008,50,s==7|Tốc Lôi,
8,1,30,1,2,128,2,1004,1,2,1006,1200,2,1014,1,s==9|Tật Phong,
9,1,30,2,2,128,2,1004,1,2,1006,1600,1,10,500000,s==8|Trì Điện,
10,1,30,3,2,128,2,1004,1,2,1006,2000,1,9,980,s==10|Tuyệt Trần,
11,1,30,4,2,128,2,1004,1,2,1006,2400,1,10,1000000,s==8|Bôn Tinh,
12,1,30,5,2,128,2,1004,2,2,1105,4,1,9,980,s==7|Tốc Lôi,
15,31,60,1,1,30,2,1003,2,2,1036,10,1,9,300,s==9|Tật Phong,
16,31,60,2,1,30,2,1003,2,2,1036,10,1,10,50000,s==8|Trì Điện,
17,31,60,3,1,30,2,1003,2,2,1036,10,2,3008,25,s==10|Tuyệt Trần,
18,31,60,4,1,30,2,1003,2,2,1036,20,1,9,300,s==8|Bôn Tinh,
19,31,60,5,1,30,2,1004,1,2,1105,2,2,3008,50,s==7|Tốc Lôi,
22,31,60,1,2,128,2,1004,1,2,1036,10,2,1014,1,s==9|Tật Phong,
23,31,60,2,2,128,2,1004,1,2,1036,10,1,10,500000,s==8|Trì Điện,
24,31,60,3,2,128,2,1004,1,2,1036,10,1,9,980,s==10|Tuyệt Trần,
25,31,60,4,2,128,2,1004,1,2,1037,10,1,10,1000000,s==8|Bôn Tinh,
26,31,60,5,2,128,2,1004,2,2,1105,4,1,9,980,s==7|Tốc Lôi,
29,61,90,1,1,30,2,1003,2,2,1012,10,1,9,300,s==9|Tật Phong,
30,61,90,2,1,30,2,1003,2,2,1012,10,1,10,50000,s==8|Trì Điện,
31,61,90,3,1,30,2,1003,2,2,1012,10,2,3008,25,s==10|Tuyệt Trần,
32,61,90,4,1,30,2,1003,2,2,1012,15,1,9,300,s==8|Bôn Tinh,
33,61,90,5,1,30,2,1004,1,2,1057,2,2,3008,50,s==7|Tốc Lôi,
36,61,90,1,2,128,2,1004,1,2,1012,20,2,1014,1,s==9|Tật Phong,
37,61,90,2,2,128,2,1004,1,2,1012,20,1,10,500000,s==8|Trì Điện,
38,61,90,3,2,128,2,1004,1,2,1012,20,1,9,980,s==10|Tuyệt Trần,
39,61,90,4,2,128,2,1004,1,2,1012,30,1,10,1000000,s==8|Bôn Tinh,
40,61,90,5,2,128,2,1004,2,2,1057,5,1,9,980,s==7|Tốc Lôi,
43,91,-1,1,1,30,2,1003,2,2,1055,100,1,9,300,s==9|Tật Phong,
44,91,-1,2,1,30,2,1003,2,2,1055,100,1,10,50000,s==8|Trì Điện,
45,91,-1,3,1,30,2,1003,2,2,1055,100,2,3008,25,s==10|Tuyệt Trần,
46,91,-1,4,1,30,2,1003,2,2,1055,150,1,9,300,s==8|Bôn Tinh,
47,91,-1,5,1,30,2,1004,1,2,1057,2,2,3008,50,s==7|Tốc Lôi,
50,91,-1,1,2,128,2,1004,1,2,1055,200,2,1014,1,s==9|Tật Phong,
51,91,-1,2,2,128,2,1004,1,2,1055,200,2,1001,500,s==8|Trì Điện,
52,91,-1,3,2,128,2,1004,1,2,1055,200,1,9,980,s==10|Tuyệt Trần,
53,91,-1,4,2,128,2,1004,1,2,1056,20,1,10,1000000,s==8|Bôn Tinh,
54,91,-1,5,2,128,2,1004,2,2,1057,5,1,9,980,s==7|Tốc Lôi,
