id,useType,skinId,boostAttack,enhanceLife,antiknock,promoteSpeed,itemType,itemID,combineNum,itemType1,itemid1,combineNum2,monsterShow,convert,
21101,1,21101,,,,,3,21101,1,1,1,1,1,,
21201,1,21201,,,,,3,21201,1,1,1,1,1,,
21301,1,21301,,,,,3,21301,1,1,1,1,1,,
21401,1,21401,,,,,3,21401,1,1,1,1,1,,
21402,1,21402,,,,,3,21402,1,1,1,1,1,,
21403,1,21403,,,,,3,21403,1,1,1,1,1,,
21404,1,21404,,,,,3,21404,1,1,1,1,1,,
21405,1,21405,,,,,3,21405,1,1,1,1,1,,
21501,1,21501,,,,,3,21501,1,1,1,1,1,,
21502,1,21502,,,,,3,21502,1,1,1,1,1,,
21503,1,21503,,,,,3,21503,1,1,1,1,1,,
21504,1,21504,,,,,3,21504,1,1,1,1,1,,
21505,1,21505,,,,,3,21505,1,1,1,1,1,,
21507,1,21507,,,,,3,21507,1,1,1,1,1,,
21508,1,21508,,,,,3,21508,1,1,1,1,1,,
21510,1,21510,,,,,3,21510,1,1,1,1,1,,
22101,1,22101,,,,,3,22101,1,1,1,1,1,,
22201,1,22201,,,,,3,22201,1,1,1,1,1,,
22301,1,22301,,,,,3,22301,1,1,1,1,1,,
22401,1,22401,,,,,3,22401,1,1,1,1,1,,
22402,1,22402,,,,,3,22402,1,1,1,1,1,,
22403,1,22403,,,,,3,22403,1,1,1,1,1,,
22404,1,22404,,,,,3,22404,1,1,1,1,1,,
22405,1,22405,,,,,3,22405,1,1,1,1,1,,
22501,1,22501,,,,,3,22501,1,1,1,1,1,,
22502,1,22502,,,,,3,22502,1,1,1,1,1,,
22504,1,22504,,,,,3,22504,1,1,1,1,1,,
22505,1,22505,,,,,3,22505,1,1,1,1,1,,
22507,1,22507,,,,,3,22507,1,1,1,1,1,,
22508,1,22508,,,,,3,22508,1,1,1,1,1,,
22509,1,22509,,,,,3,22509,1,1,1,1,1,,
22510,1,22510,,,,,3,22510,1,1,1,1,1,,
22511,1,22511,,,,,3,22511,1,1,1,1,1,,
23101,1,23101,,,,,3,23101,1,1,1,1,1,,
23201,1,23201,,,,,3,23201,1,1,1,1,1,,
23301,1,23301,,,,,3,23301,1,1,1,1,1,,
23401,1,23401,,,,,3,23401,1,1,1,1,1,,
23402,1,23402,,,,,3,23402,1,1,1,1,1,,
23403,1,23403,,,,,3,23403,1,1,1,1,1,,
23404,1,23404,,,,,3,23404,1,1,1,1,1,,
23405,1,23405,,,,,3,23405,1,1,1,1,1,,
23502,1,23502,,,,,3,23502,1,1,1,1,1,,
23503,1,23503,,,,,3,23503,1,1,1,1,1,,
23504,1,23504,,,,,3,23504,1,1,1,1,1,,
23506,1,23506,,,,,3,23506,1,1,1,1,1,,
23507,1,23507,,,,,3,23507,1,1,1,1,1,,
23508,1,23508,,,,,3,23508,1,1,1,1,1,,
23510,1,23510,,,,,3,23510,1,1,1,1,1,,
23513,1,23513,,,,,3,23513,1,1,1,1,1,,
24301,1,24301,,,,,3,24301,1,1,1,1,1,,
24401,1,24401,,,,,3,24401,1,1,1,1,1,,
24402,1,24402,,,,,3,24402,1,1,1,1,1,,
24403,1,24403,,,,,3,24403,1,1,1,1,1,,
24404,1,24404,,,,,3,24404,1,1,1,1,1,,
24501,1,24501,,,,,3,24501,1,1,1,1,1,,
24502,1,24502,,,,,3,24502,1,1,1,1,1,,
24503,1,24503,,,,,3,24503,1,1,1,1,1,,
24504,1,24504,,,,,3,24504,1,1,1,1,1,,
24506,1,24506,,,,,3,24506,1,1,1,1,1,,
24508,1,24508,,,,,3,24508,1,1,1,1,1,,
24510,1,24510,,,,,3,24510,1,1,1,1,1,,
24513,1,24513,,,,,3,24513,1,1,1,1,1,,
24518,1,24518,,,,,3,24518,1,1,1,1,0,,
25301,1,25301,,,,,3,25301,1,1,1,1,1,,
25401,1,25401,,,,,3,25401,1,1,1,1,1,,
25402,1,25402,,,,,3,25402,1,1,1,1,1,,
25403,1,25403,,,,,3,25403,1,1,1,1,1,,
25404,1,25404,,,,,3,25404,1,1,1,1,1,,
25501,1,25501,,,,,3,25501,1,1,1,1,1,,
25503,1,25503,,,,,3,25503,1,1,1,1,1,,
25504,1,25504,,,,,3,25504,1,1,1,1,1,,
25506,1,25506,,,,,3,25506,1,1,1,1,1,,
25507,1,25507,,,,,3,25507,1,1,1,1,1,,
25509,1,25509,,,,,3,25509,1,1,1,1,1,,
25510,1,25510,,,,,3,25510,1,1,1,1,1,,
25513,1,25513,,,,,3,25513,1,1,1,1,1,,
25514,1,25514,,,,,3,25514,1,1,1,1,1,,
25515,1,25515,,,,,3,25515,1,1,1,1,1,,
25518,1,25518,,,,,3,25518,1,1,1,1,0,,
24505,1,24505,,,,,3,24505,1,1,1,1,1,,
21512,1,21512,,,,,3,21512,1,1,1,1,1,,
25504001,2,25504001,,,,,2,13001,1,3,25504,1,1,,
23511,1,23511,,,,,3,23511,1,1,1,1,1,,
80001,3,80001,,,,,2,47000,1,,,,1,2|47100|1,
22508001,2,22508001,,,,,2,13002,1,3,22508,1,1,,
24504001,2,24504001,,,,,2,13003,1,3,24504,1,1,,
45001,3,45001,,,,,2,47003,1,,,,1,2|47103|1,
45002,3,45002,,,,,2,47004,1,,,,1,2|47104|1,
49002,3,48001,,,,,2,47005,1,,,,1,2|47105|1,
49003,3,24514,,,,,2,47001,1,,,,1,2|47101|1,
49004,3,24515,,,,,2,47002,1,,,,1,2|47102|1,
24516,3,24516,,,,,3,24516,1,1,1,1,1,,
24517,3,24517,,,,,3,24517,1,1,1,1,1,,
22504001,2,22504001,,,,,2,13710,1,3,22504,1,1,,
25516,3,25516,,,,,3,25516,1,1,1,1,1,,
21503001,2,21503001,,,,,2,13711,1,3,21503,1,1,,
23510001,2,23510001,,,,,2,13712,1,3,23510,1,1,,
24508001,2,24508001,,,,,2,13713,1,3,24508,1,1,,
23508001,2,23508001,,,,,2,13714,1,3,23508,1,1,,
25509001,2,25509001,,,,,2,13715,1,3,25509,1,1,,
22512,3,22512,,,,,3,22512,1,1,1,1,1,,
25504002,2,25504002,,,,,2,13716,1,3,25504,1,1,,
24510001,2,24510001,,,,,2,13717,1,3,24510,1,1,,
21510001,2,21510001,,,,,2,13718,1,3,21510,1,1,,
22502001,2,22502001,,,,,2,13719,1,3,22502,1,1,,
23506001,2,23506001,,,,,2,13720,1,3,23506,1,1,,
