id,name,cantGot,quality,star,skillid,skilltype,lastId,nextId,starup-type-1,starup-id-1,starup-value-1,starup-type-2,starup-id-2,starup-value-2,break-type-1,break-id-1,break-value-1,break-type-2,break-id-2,break-value-2,propertys-type-1,propertys-way-1,propertys-value-1,propertys-type-2,propertys-way-2,propertys-value-2,propertys-type-3,propertys-way-3,propertys-value-3,propertys-type-4,propertys-way-4,propertys-value-4,powerUp,canReset,resetCost-type-1,resetCost-id-1,resetCost-value-1,resetReturn-type-1,resetReturn-id-1,resetReturn-value-1,resetReturn-type-2,resetReturn-id-2,resetReturn-value-2,
80101,s==2|冥灭,,5,1,80101,1,0,80102,2,80101,1,2,1086,10,2,1086,70,,,,1,0,9864,2,0,2655,3,0,55,4,0,26,2667,0,,,,,,,,,,
80102,s==2|冥灭,,5,2,80102,1,80101,80103,2,80101,2,2,1086,38,2,1086,150,,,,1,0,19728,2,0,5309,3,0,111,4,0,52,5334,1,1,9,200,2,80101,2,2,1086,10,
80103,s==2|冥灭,,5,3,80103,1,80102,80104,2,80101,3,2,1086,115,2,1086,350,,,,1,0,35510,2,0,9556,3,0,199,4,0,93,8001,1,1,9,300,2,80101,4,2,1086,48,
80104,s==2|冥灭,,5,4,80104,1,80103,80105,2,80101,4,2,1086,355,2,1086,750,,,,1,0,55237,2,0,14865,3,0,309,4,0,144,10668,1,1,9,400,2,80101,7,2,1086,163,
80105,s==2|冥灭,,5,5,80105,1,80104,0,,,,,,,2,1086,1600,,,,1,0,86801,2,0,23360,3,0,487,4,0,227,13335,1,1,9,500,2,80101,11,2,1086,518,
80201,s==2|天陨,,5,1,80201,2,0,80202,2,80201,1,2,1086,10,2,1086,70,,,,1,0,9864,2,0,2655,3,0,55,4,0,26,2667,0,,,,,,,,,,
80202,s==2|天陨,,5,2,80202,2,80201,80203,2,80201,2,2,1086,38,2,1086,150,,,,1,0,19728,2,0,5309,3,0,111,4,0,52,5334,1,1,9,200,2,80201,2,2,1086,10,
80203,s==2|天陨,,5,3,80203,2,80202,80204,2,80201,3,2,1086,115,2,1086,350,,,,1,0,35510,2,0,9556,3,0,199,4,0,93,8001,1,1,9,300,2,80201,4,2,1086,48,
80204,s==2|天陨,,5,4,80204,2,80203,80205,2,80201,4,2,1086,355,2,1086,750,,,,1,0,55237,2,0,14865,3,0,309,4,0,144,10668,1,1,9,400,2,80201,7,2,1086,163,
80205,s==2|天陨,,5,5,80205,2,80204,0,,,,,,,2,1086,1600,,,,1,0,86801,2,0,23360,3,0,487,4,0,227,13335,1,1,9,500,2,80201,11,2,1086,518,
80301,s==2|风雷,,5,1,80301,3,0,80302,2,80301,1,2,1086,10,2,1086,70,,,,1,0,9864,2,0,2655,3,0,55,4,0,26,2667,0,,,,,,,,,,
80302,s==2|风雷,,5,2,80302,3,80301,80303,2,80301,2,2,1086,38,2,1086,150,,,,1,0,19728,2,0,5309,3,0,111,4,0,52,5334,1,1,9,200,2,80301,2,2,1086,10,
80303,s==2|风雷,,5,3,80303,3,80302,80304,2,80301,3,2,1086,115,2,1086,350,,,,1,0,35510,2,0,9556,3,0,199,4,0,93,8001,1,1,9,300,2,80301,4,2,1086,48,
80304,s==2|风雷,,5,4,80304,3,80303,80305,2,80301,4,2,1086,355,2,1086,750,,,,1,0,55237,2,0,14865,3,0,309,4,0,144,10668,1,1,9,400,2,80301,7,2,1086,163,
80305,s==2|风雷,,5,5,80305,3,80304,0,,,,,,,2,1086,1600,,,,1,0,86801,2,0,23360,3,0,487,4,0,227,13335,1,1,9,500,2,80301,11,2,1086,518,
80401,s==2|神佑,,5,1,80401,4,0,80402,2,80401,1,2,1086,10,2,1086,70,,,,1,0,9864,2,0,2655,3,0,55,4,0,26,2667,0,,,,,,,,,,
80402,s==2|神佑,,5,2,80402,4,80401,80403,2,80401,2,2,1086,38,2,1086,150,,,,1,0,19728,2,0,5309,3,0,111,4,0,52,5334,1,1,9,200,2,80401,2,2,1086,10,
80403,s==2|神佑,,5,3,80403,4,80402,80404,2,80401,3,2,1086,115,2,1086,350,,,,1,0,35510,2,0,9556,3,0,199,4,0,93,8001,1,1,9,300,2,80401,4,2,1086,48,
80404,s==2|神佑,,5,4,80404,4,80403,80405,2,80401,4,2,1086,355,2,1086,750,,,,1,0,55237,2,0,14865,3,0,309,4,0,144,10668,1,1,9,400,2,80401,7,2,1086,163,
80405,s==2|神佑,,5,5,80405,4,80404,0,,,,,,,2,1086,1600,,,,1,0,86801,2,0,23360,3,0,487,4,0,227,13335,1,1,9,500,2,80401,11,2,1086,518,
80501,s==2|冰坠,,5,1,80501,5,0,80502,2,80501,1,2,1086,10,2,1086,70,,,,1,0,9864,2,0,2655,3,0,55,4,0,26,2667,0,,,,,,,,,,
