id,activityId,gridNum,day,taskID,
1,4000,1,1,55000,
2,4000,2,1,55001,
3,4000,3,1,55002,
4,4000,4,1,55003,
5,4000,5,1,55004,
6,4000,6,1,55005,
7,4000,7,1,55006,
8,4000,8,1,55007,
9,4000,9,1,55008,
10,4000,1,2,55009,
11,4000,2,2,55010,
12,4000,3,2,55011,
13,4000,4,2,55012,
14,4000,5,2,55013,
15,4000,6,2,55014,
16,4000,7,2,55015,
17,4000,8,2,55016,
18,4000,9,2,55017,
19,4000,1,3,55018,
20,4000,2,3,55019,
21,4000,3,3,55020,
22,4000,4,3,55021,
23,4000,5,3,55022,
24,4000,6,3,55023,
25,4000,7,3,55024,
26,4000,8,3,55025,
27,4000,9,3,55026,
28,4000,1,4,55027,
29,4000,2,4,55028,
30,4000,3,4,55029,
31,4000,4,4,55030,
32,4000,5,4,55031,
33,4000,6,4,55032,
34,4000,7,4,55033,
35,4000,8,4,55034,
36,4000,9,4,55035,
37,4000,1,5,55036,
38,4000,2,5,55037,
39,4000,3,5,55038,
40,4000,4,5,55039,
41,4000,5,5,55040,
42,4000,6,5,55041,
43,4000,7,5,55042,
44,4000,8,5,55043,
45,4000,9,5,55044,
46,4000,1,6,55045,
47,4000,2,6,55046,
48,4000,3,6,55047,
49,4000,4,6,55048,
50,4000,5,6,55049,
51,4000,6,6,55050,
52,4000,7,6,55051,
53,4000,8,6,55052,
54,4000,9,6,55053,
55,4000,1,7,55054,
56,4000,2,7,55055,
57,4000,3,7,55056,
58,4000,4,7,55057,
59,4000,5,7,55058,
60,4000,6,7,55059,
61,4000,7,7,55060,
62,4000,8,7,55061,
63,4000,9,7,55062,
64,4010,1,1,60000,
65,4010,2,1,60001,
66,4010,3,1,60002,
67,4010,4,1,60003,
68,4010,5,1,60004,
69,4010,6,1,60005,
70,4010,7,1,60006,
71,4010,8,1,60007,
72,4010,9,1,60008,
73,4010,1,2,60009,
74,4010,2,2,60010,
75,4010,3,2,60011,
76,4010,4,2,60012,
77,4010,5,2,60013,
78,4010,6,2,60014,
79,4010,7,2,60015,
80,4010,8,2,60016,
81,4010,9,2,60017,
82,4010,1,3,60018,
83,4010,2,3,60019,
84,4010,3,3,60020,
85,4010,4,3,60021,
86,4010,5,3,60022,
87,4010,6,3,60023,
88,4010,7,3,60024,
89,4010,8,3,60025,
90,4010,9,3,60026,
91,4010,1,4,60027,
92,4010,2,4,60028,
93,4010,3,4,60029,
94,4010,4,4,60030,
95,4010,5,4,60031,
96,4010,6,4,60032,
97,4010,7,4,60033,
98,4010,8,4,60034,
99,4010,9,4,60035,
100,4010,1,5,60036,
101,4010,2,5,60037,
102,4010,3,5,60038,
103,4010,4,5,60039,
104,4010,5,5,60040,
105,4010,6,5,60041,
106,4010,7,5,60042,
107,4010,8,5,60043,
108,4010,9,5,60044,
109,4010,1,6,60045,
110,4010,2,6,60046,
111,4010,3,6,60047,
112,4010,4,6,60048,
113,4010,5,6,60049,
114,4010,6,6,60050,
115,4010,7,6,60051,
116,4010,8,6,60052,
117,4010,9,6,60053,
118,4010,1,7,60054,
119,4010,2,7,60055,
120,4010,3,7,60056,
121,4010,4,7,60057,
122,4010,5,7,60058,
123,4010,6,7,60059,
124,4010,7,7,60060,
125,4010,8,7,60061,
126,4010,9,7,60062,
