id,type,openStartDay,openEndDay,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,rewards-type-4,rewards-id-4,rewards-value-4,rewards-type-5,rewards-id-5,rewards-value-5,rewards-type-6,rewards-id-6,rewards-value-6,
1,1,0,0,1,8,100,,,,,,,,,,,,,,,,
2,2,0,1,1,9,200,2,6683,3,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
3,2,2,2,1,9,250,2,6683,6,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
4,2,3,3,1,9,300,2,6683,9,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
5,2,4,4,1,9,350,2,6683,12,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
6,2,5,5,1,9,400,2,6683,15,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
7,2,6,6,1,9,450,2,6683,18,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
8,2,7,7,1,9,500,2,6683,21,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
9,2,8,8,1,9,550,2,6683,24,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
10,2,9,9,1,9,600,2,6683,27,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
11,2,10,10,1,9,650,2,6683,30,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
12,2,11,11,1,9,700,2,6683,33,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
13,2,12,12,1,9,750,2,6683,36,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
14,2,13,13,1,9,800,2,6683,39,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
15,2,14,14,1,9,850,2,6683,42,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
16,2,15,9999,1,9,850,2,6683,42,2,1001,1000,2,1027,200,2,3008,50,1,8,2000000,
17,3,0,-1,1,8,100,,,,,,,,,,,,,,,,
