id,name,icon,suitId,suitName,quality,breakIf,seat,starLevel,levelTop,pro-type-1,pro-way-1,pro-value-1,pro-type-2,pro-way-2,pro-value-2,starNatureId,beFusionIf,fusionIf,fusionNeedQuality,fusionNeedNum,fusionCost-type-1,fusionCost-id-1,fusionCost-value-1,upQualityIf,afterUpQualityId,upQCost-type-1,upQCost-id-1,upQCost-value-1,changeIf,changeCost-type-1,changeCost-id-1,changeCost-value-1,beConsumedIf,proEX,putLeftIf,
70001,s==4|雷殛·风,70001,1,s==2|雷殛,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70002,s==4|雷殛·林,70002,1,s==2|雷殛,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70003,s==4|雷殛·火,70003,1,s==2|雷殛,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70004,s==4|雷殛·山,70004,1,s==2|雷殛,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70005,s==4|风镰·风,70005,2,s==2|风镰,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70006,s==4|风镰·林,70006,2,s==2|风镰,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70007,s==4|风镰·火,70007,2,s==2|风镰,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70008,s==4|风镰·山,70008,2,s==2|风镰,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70009,s==4|血饮·风,70009,3,s==2|血饮,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70010,s==4|血饮·林,70010,3,s==2|血饮,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70011,s==4|血饮·火,70011,3,s==2|血饮,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70012,s==4|血饮·山,70012,3,s==2|血饮,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70013,s==4|荆棘·风,70013,4,s==2|荆棘,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70014,s==4|荆棘·林,70014,4,s==2|荆棘,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70015,s==4|荆棘·火,70015,4,s==2|荆棘,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70016,s==4|荆棘·山,70016,4,s==2|荆棘,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70017,s==4|水愈·风,70017,5,s==2|水愈,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70018,s==4|水愈·林,70018,5,s==2|水愈,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70019,s==4|水愈·火,70019,5,s==2|水愈,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70020,s==4|水愈·山,70020,5,s==2|水愈,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70021,s==4|玉碎·风,70021,6,s==2|玉碎,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70022,s==4|玉碎·林,70022,6,s==2|玉碎,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70023,s==4|玉碎·火,70023,6,s==2|玉碎,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70024,s==4|玉碎·山,70024,6,s==2|玉碎,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70025,s==4|神瞳·风,70025,7,s==2|神瞳,1,1,1,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70026,s==4|神瞳·林,70026,7,s==2|神瞳,1,1,2,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70027,s==4|神瞳·火,70027,7,s==2|神瞳,1,1,3,,5,2,0,250,,,,,,,,,,,,,,,,,,,,,1,40,,
70028,s==4|神瞳·山,70028,7,s==2|神瞳,1,1,4,,5,1,0,2500,,,,,,,,,,,,,,,,,,,,,1,40,,
70029,s==4|雷殛·风,70001,1,s==2|雷殛,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70030,s==4|雷殛·林,70002,1,s==2|雷殛,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70031,s==4|雷殛·火,70003,1,s==2|雷殛,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70032,s==4|雷殛·山,70004,1,s==2|雷殛,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70033,s==4|风镰·风,70005,2,s==2|风镰,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70034,s==4|风镰·林,70006,2,s==2|风镰,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70035,s==4|风镰·火,70007,2,s==2|风镰,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70036,s==4|风镰·山,70008,2,s==2|风镰,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70037,s==4|血饮·风,70009,3,s==2|血饮,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70038,s==4|血饮·林,70010,3,s==2|血饮,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70039,s==4|血饮·火,70011,3,s==2|血饮,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70040,s==4|血饮·山,70012,3,s==2|血饮,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70041,s==4|荆棘·风,70013,4,s==2|荆棘,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70042,s==4|荆棘·林,70014,4,s==2|荆棘,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70043,s==4|荆棘·火,70015,4,s==2|荆棘,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70044,s==4|荆棘·山,70016,4,s==2|荆棘,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70045,s==4|水愈·风,70017,5,s==2|水愈,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70046,s==4|水愈·林,70018,5,s==2|水愈,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70047,s==4|水愈·火,70019,5,s==2|水愈,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70048,s==4|水愈·山,70020,5,s==2|水愈,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70049,s==4|玉碎·风,70021,6,s==2|玉碎,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70050,s==4|玉碎·林,70022,6,s==2|玉碎,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70051,s==4|玉碎·火,70023,6,s==2|玉碎,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70052,s==4|玉碎·山,70024,6,s==2|玉碎,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70053,s==4|神瞳·风,70025,7,s==2|神瞳,2,1,1,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70054,s==4|神瞳·林,70026,7,s==2|神瞳,2,1,2,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70055,s==4|神瞳·火,70027,7,s==2|神瞳,2,1,3,,10,2,0,500,,,,,,,,,,,,,,,,,,,,,1,80,,
70056,s==4|神瞳·山,70028,7,s==2|神瞳,2,1,4,,10,1,0,5000,,,,,,,,,,,,,,,,,,,,,1,80,,
70057,s==4|雷殛·风,70001,1,s==2|雷殛,3,1,1,,15,2,0,750,,,,,,,,,,,,,,,,,,,,,1,160,,
70058,s==4|雷殛·林,70002,1,s==2|雷殛,3,1,2,,15,1,0,7500,,,,,,,,,,,,,,,,,,,,,1,160,,
