id,channel,rechargeNum,items-type-1,items-id-1,items-value-1,items-type-2,items-id-2,items-value-2,items-type-3,items-id-3,items-value-3,items-type-4,items-id-4,items-value-4,items-type-5,items-id-5,items-value-5,items-type-6,items-id-6,items-value-6,
1,s==3|hkw,50000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
2,s==3|hkw,100000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
3,s==3|hkw,150000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
4,s==3|hkw,200000,2,2088,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
5,s==3|hkw,250000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
6,s==3|hkw,300000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
7,s==3|hkw,350000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
8,s==3|hkw,400000,2,6669,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
9,s==3|hkw,450000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
10,s==3|hkw,500000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
11,s==3|hkw,550000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
12,s==3|hkw,600000,2,6668,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
13,s==3|hkw,650000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
14,s==3|hkw,700000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
15,s==3|hkw,750000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
16,s==3|hkw,800000,2,1222,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
17,s==3|hkw,850000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
18,s==3|hkw,900000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
19,s==3|hkw,950000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
20,s==3|hkw,1000000,2,14121,1,2,1527,15,2,1516,20,2,1105,10,,,,,,,
21,s==3|hkw,2000000,2,1291,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
22,s==3|hkw,3000000,2,800216,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
23,s==3|hkw,4000000,2,8837,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
24,s==3|hkw,5000000,2,8837,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
25,s==3|dev,50000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
26,s==3|dev,100000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
27,s==3|dev,150000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
28,s==3|dev,200000,2,2088,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
29,s==3|dev,250000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
30,s==3|dev,300000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
31,s==3|dev,350000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
32,s==3|dev,400000,2,6669,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
33,s==3|dev,450000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
34,s==3|dev,500000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
35,s==3|dev,550000,2,1527,5,2,1516,10,2,1105,10,,,,,,,,,,
36,s==3|dev,600000,2,6668,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
37,s==3|dev,650000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
38,s==3|dev,700000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
39,s==3|dev,750000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
40,s==3|dev,800000,2,1222,1,2,1527,10,2,1516,15,2,1105,10,,,,,,,
41,s==3|dev,850000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
42,s==3|dev,900000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
43,s==3|dev,950000,2,1527,10,2,1516,15,2,1105,10,,,,,,,,,,
44,s==3|dev,1000000,2,14121,1,2,1527,15,2,1516,20,2,1105,10,,,,,,,
45,s==3|dev,2000000,2,1291,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
46,s==3|dev,3000000,2,800216,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
47,s==3|dev,4000000,2,8837,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
48,s==3|dev,5000000,2,8837,1,2,1527,15,2,1516,20,2,1105,50,,,,,,,
