id,nextId,itemid,type,dateStart,dateEnd,item-type-1,item-id-1,item-value-1,item-type-2,item-id-2,item-value-2,toSystem,
1001,1002,6550,1,1,7,1,10,2000000,2,1006,300,,
1002,1003,6550,1,8,14,1,10,2500000,2,1006,350,,
1003,1004,6550,1,15,21,1,10,3000000,2,1006,400,,
1004,1005,6550,1,22,28,1,10,3500000,2,1006,450,,
1005,1006,6550,1,29,35,1,10,4000000,2,1006,500,,
1006,1007,6550,1,36,42,1,10,4500000,2,1006,550,,
1007,,6550,1,43,-1,1,10,5000000,2,1006,600,,
1008,1009,6551,2,1,7,2,1001,500,2,1006,300,,
1009,1010,6551,2,8,14,2,1001,750,2,1006,350,,
1010,1011,6551,2,15,21,2,1001,1000,2,1006,400,,
1011,1012,6551,2,22,28,2,1001,1250,2,1006,450,,
1012,1013,6551,2,29,35,2,1001,1500,2,1006,500,,
1013,1014,6551,2,36,42,2,1001,1750,2,1006,550,,
1014,,6551,2,43,-1,2,1001,2000,2,1006,600,,
1015,1016,6552,3,1,7,2,1027,40,2,1006,300,,
1016,1017,6552,3,8,14,2,1027,55,2,1006,350,,
1017,1018,6552,3,15,21,2,1027,70,2,1006,400,,
1018,1019,6552,3,22,28,2,1027,85,2,1006,450,,
1019,1020,6552,3,29,35,2,1027,100,2,1006,500,,
1020,1021,6552,3,36,42,2,1027,115,2,1006,550,,
1021,,6552,3,43,-1,2,1027,130,2,1006,600,,
1022,1023,6553,4,1,7,2,1078,500,2,1006,300,2300,
1023,1024,6553,4,8,14,2,1078,600,2,1006,350,2300,
1024,1025,6553,4,15,21,2,1078,700,2,1006,400,2300,
1025,1026,6553,4,22,28,2,1078,800,2,1006,450,2300,
1026,1027,6553,4,29,35,2,1078,900,2,1006,500,2300,
1027,1028,6553,4,36,42,2,1078,1000,2,1006,550,2300,
1028,,6553,4,43,-1,2,1078,1100,2,1006,600,2300,
