id,setName,setSkillId,spSkillId,
1,s==4|攻击套装,51011|51011|51011|51011|51013,51012|52012|53012|54012|55012,
2,s==4|防御套装,51021|51021|51021|51021|51023,51022|52022|53022|54022|55022,
3,s==4|回春套装,51031|51031|51031|51031|51033,51032|52032|53032|54032|55032,
4,s==4|暴击套装,51041|51041|51041|51041|51043,51042|52042|53042|54042|55042,
5,s==4|天愈套装,51051|51051|51051|51051|51053,51052|52052|53052|54052|55052,
6,s==4|碎盾套装,51061|51061|51061|51061|51064,51062|52062|53062|54062|55062,
7,s==4|离火套装,51071|51071|51071|51071|51073,51072|52072|53072|54072|55072,
8,s==4|陷阵套装,51081|51081|51081|51081|51083,51082|52082|53082|54082|55082,
9,s==4|庇佑套装,51091|51091|51091|51091|51093,51092|52092|53092|54092|55092,
10,s==4|反伤套装,51101|51101|51101|51101|51103,51102|52102|53102|54102|55102,
11,s==4|血战套装,51111|51111|51111|51111|51113,51112|52112|53112|54112|55112,
12,s==4|强袭套装,51121|51121|51121|51121|51123,51122|52122|53122|54122|55122,
