id,dateStart,dateEnd,rewards-type-1,rewards-id-1,rewards-value-1,isMark,
1,1,15,2,900029,0,1,
2,1,15,2,1003,0,1,
3,1,15,1,9,0,1,
4,1,15,2,1004,0,,
5,1,15,2,1466,0,,
6,1,15,2,1105,0,,
7,16,30,2,900029,0,1,
8,16,30,2,1675,0,1,
9,16,30,1,9,0,1,
10,16,30,2,1004,0,,
11,16,30,2,1003,0,,
12,16,30,2,1105,0,,
13,31,60,2,900029,0,1,
14,31,60,2,1076,0,1,
15,31,60,1,9,0,1,
16,31,60,2,1004,0,,
17,31,60,2,1003,0,,
18,31,60,2,1105,0,,
19,61,90,2,900029,0,1,
20,61,90,2,1509,0,1,
21,61,90,1,9,0,1,
22,61,90,2,1004,0,,
23,61,90,2,1003,0,,
24,61,90,2,1105,0,,
25,91,120,2,900029,0,1,
26,91,120,2,1509,0,1,
27,91,120,1,9,0,1,
28,91,120,2,1004,0,,
29,91,120,2,1003,0,,
30,91,120,2,1105,0,,
31,121,150,2,900029,0,1,
32,121,150,2,1509,0,1,
33,121,150,1,9,0,1,
34,121,150,2,1004,0,,
35,121,150,2,1003,0,,
36,121,150,2,1105,0,,
37,151,180,2,900029,0,1,
38,151,180,2,14701,0,1,
39,151,180,1,9,0,1,
40,151,180,2,1004,0,,
41,151,180,2,1003,0,,
42,151,180,2,1105,0,,
43,181,-1,2,900029,0,1,
44,181,-1,2,14701,0,1,
45,181,-1,1,9,0,1,
46,181,-1,2,1004,0,,
47,181,-1,2,1003,0,,
48,181,-1,2,1105,0,,
