id,dateStart,dateEnd,stageStart,stageEnd,stage,itemGroup,desc,rewards-type-1,rewards-id-1,rewards-value-1,showOdd1,realOdd,preposeNum,mustNum,isShowSurplus,surplusNum,isWholeServer,
1,1,14,1,7,1,1,s==8|武侯虎痴(永久),2,13718,1,68,68,90,200,,,1,
2,1,14,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,68,68,90,200,,,1,
3,1,14,1,7,1,1,s==6|神·张飞碎片,2,24516,50,68,68,40,50,,,1,
4,1,14,1,7,1,1,s==7|魔·司马懿碎片,2,25516,50,68,68,40,50,,,1,
5,1,14,1,7,1,1,s==5|超级技能玉,2,1177,1,41,41,230,470,1,8,,
6,1,14,1,7,1,1,s==6|四星红装自选,2,2128,1,124,124,80,120,1,8,,
7,1,14,1,7,1,1,s==6|4级宝石自选,2,2088,1,133,133,60,120,1,8,,
8,1,14,1,7,1,2,s==6|5星神魔碎片,2,3014,10,300,300,28,33,,,,
9,1,14,1,7,1,2,s==4|神兵之魂,2,1030,4,200,200,,,,,,
10,1,14,1,7,1,2,s==4|美人凤冠,2,1081,4,200,200,,,,,,
11,1,14,1,7,1,2,s==4|宝物之魂,2,1044,2,200,200,,,,,,
12,1,14,1,7,1,2,s==4|美人锦缎,2,1082,3,1000,1000,,,,,,
13,1,14,1,7,1,2,s==5|宝物进阶石,2,1043,5,1000,1000,,,,,,
14,1,14,1,7,1,3,s==5|神兵精炼石,2,1029,3,1000,1000,,,,,,
15,1,14,1,7,1,3,s==5|高级寻访令,2,1003,1,500,500,,,,,,
16,1,14,1,7,1,3,s==5|神兵强化石,2,1027,10,800,800,,,,,,
17,1,14,1,7,1,3,s==4|自选精粹,2,1077,20,660,660,,,,,,
18,1,14,1,7,1,3,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
19,1,14,1,7,1,3,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
20,1,14,1,7,1,3,s==3|将印石,2,1006,150,800,800,,,,,,
21,1,14,1,7,1,3,s==3|突破石,2,1001,150,800,800,,,,,,
22,1,14,1,7,1,3,s==6|幸运铜钱福袋,2,2200,1,600,600,,,,,,
23,1,14,1,7,1,3,s==6|幸运经验福袋,2,2201,1,600,600,,,,,,
24,15,21,1,7,1,1,s==8|武侯虎痴(永久),2,13718,1,68,68,90,200,,,1,
25,15,21,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,68,68,90,200,,,1,
26,15,21,1,7,1,1,s==6|神·张飞碎片,2,24516,50,68,68,40,50,,,1,
27,15,21,1,7,1,1,s==7|魔·司马懿碎片,2,25516,50,68,68,40,50,,,1,
28,15,21,1,7,1,1,s==5|超级技能玉,2,1177,1,41,41,230,470,1,8,,
29,15,21,1,7,1,1,s==6|四星红装自选,2,2128,1,124,124,80,120,1,8,,
30,15,21,1,7,1,1,s==6|4级宝石自选,2,2088,1,133,133,60,120,1,8,,
31,15,21,1,7,1,1,s==7|神魔皮肤自选箱,2,6668,1,29,29,250,470,,,1,
32,15,21,1,7,1,2,s==6|5星神魔碎片,2,3014,10,300,300,28,33,,,,
33,15,21,1,7,1,2,s==3|淬火玉,2,1037,4,200,200,,,,,,
34,15,21,1,7,1,2,s==4|美人凤冠,2,1081,4,200,200,,,,,,
35,15,21,1,7,1,2,s==4|宝石精华,2,1104,2,200,200,,,,,,
36,15,21,1,7,1,2,s==4|美人锦缎,2,1082,3,1000,1000,,,,,,
37,15,21,1,7,1,2,s==3|打孔石,2,1036,5,1030,1030,,,,,,
38,15,21,1,7,1,3,s==5|宝石熔炼晶,2,1103,3,1000,1000,,,,,,
39,15,21,1,7,1,3,s==5|高级寻访令,2,1003,1,500,500,,,,,,
40,15,21,1,7,1,3,s==5|神兵强化石,2,1027,10,800,800,,,,,,
41,15,21,1,7,1,3,s==4|自选精粹,2,1077,20,660,660,,,,,,
42,15,21,1,7,1,3,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
43,15,21,1,7,1,3,s==6|4星随机碎片,2,3002,15,800,800,,,,,,
44,15,21,1,7,1,3,s==3|将印石,2,1006,150,800,800,,,,,,
45,15,21,1,7,1,3,s==3|突破石,2,1001,150,800,800,,,,,,
46,15,21,1,7,1,3,s==6|幸运铜钱福袋,2,2200,1,600,600,,,,,,
47,15,21,1,7,1,3,s==6|幸运经验福袋,2,2201,1,600,600,,,,,,
48,22,30,1,7,1,1,s==8|武侯虎痴(永久),2,13718,1,68,68,90,200,,,1,
49,22,30,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,68,68,90,200,,,1,
50,22,30,1,7,1,1,s==6|神·张飞碎片,2,24516,50,68,68,40,50,,,1,
51,22,30,1,7,1,1,s==7|魔·司马懿碎片,2,25516,50,68,68,40,50,,,1,
52,22,30,1,7,1,1,s==5|超级技能玉,2,1177,1,41,41,230,470,1,8,,
53,22,30,1,7,1,1,s==6|四星红装自选,2,2128,1,124,124,80,120,1,8,,
54,22,30,1,7,1,1,s==6|4级宝石自选,2,2088,1,133,133,60,120,1,8,,
55,22,30,1,7,1,1,s==7|神魔皮肤自选箱,2,6668,1,29,29,250,470,,,1,
56,22,30,1,7,1,2,s==6|5星神魔碎片,2,3014,10,300,300,28,33,,,,
57,22,30,1,7,1,2,s==5|将印锁定石,2,1105,1,200,200,,,,,,
58,22,30,1,7,1,2,s==4|配饰之魂,2,1009,4,200,200,,,,,,
59,22,30,1,7,1,2,s==5|配饰精炼石,2,1010,4,100,100,,,,,,
60,22,30,1,7,1,2,s==4|转换神石,2,1052,20,1000,1000,,,,,,
61,22,30,1,7,1,2,s==5|配饰升星石,2,1011,3,500,500,,,,,,
62,22,30,1,7,1,2,s==3|淬火玉,2,1037,4,100,100,,,,,,
63,22,30,1,7,1,2,s==3|打孔石,2,1036,5,530,530,,,,,,
64,22,30,1,7,1,3,s==3|女儿红,2,1078,150,1000,1000,,,,,,
65,22,30,1,7,1,3,s==5|高级寻访令,2,1003,1,500,500,,,,,,
66,22,30,1,7,1,3,s==5|神兵强化石,2,1027,20,800,800,,,,,,
67,22,30,1,7,1,3,s==4|自选精粹,2,1077,40,660,660,,,,,,
68,22,30,1,7,1,3,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
69,22,30,1,7,1,3,s==6|4星随机碎片,2,3002,30,800,800,,,,,,
70,22,30,1,7,1,3,s==3|将印石,2,1006,300,800,800,,,,,,
71,22,30,1,7,1,3,s==3|突破石,2,1001,300,800,800,,,,,,
72,22,30,1,7,1,3,s==6|幸运铜钱福袋,2,2200,3,600,600,,,,,,
73,22,30,1,7,1,3,s==6|幸运经验福袋,2,2201,3,600,600,,,,,,
74,31,45,1,7,1,1,s==8|武侯虎痴(永久),2,13718,1,68,68,90,200,,,1,
75,31,45,1,7,1,1,s==7|三国皮肤自选箱,2,6669,1,68,68,90,200,,,1,
76,31,45,1,7,1,1,s==6|神·张飞碎片,2,24516,50,68,68,40,50,,,1,
77,31,45,1,7,1,1,s==7|魔·司马懿碎片,2,25516,50,68,68,40,50,,,1,
78,31,45,1,7,1,1,s==5|超级技能玉,2,1177,1,41,41,230,470,1,8,,
79,31,45,1,7,1,1,s==6|四星红装自选,2,2128,1,124,124,80,120,1,8,,
80,31,45,1,7,1,1,s==6|4级宝石自选,2,2088,1,133,133,60,120,1,8,,
81,31,45,1,7,1,1,s==7|神魔皮肤自选箱,2,6668,1,29,29,250,470,,,1,
82,31,45,1,7,1,1,s==8|史诗奇谋自选礼包,2,1453,1,162,162,50,80,1,8,,
83,31,45,1,7,1,2,s==6|5星神魔碎片,2,3014,10,300,300,28,33,,,,
84,31,45,1,7,1,2,s==4|史诗残章,2,1076,1,200,200,,,,,,
85,31,45,1,7,1,2,s==3|天眼符,2,1073,1,200,200,,,,,,
86,31,45,1,7,1,2,s==7|高阶副将军功令,2,1018,4,100,100,,,,,,
87,31,45,1,7,1,2,s==3|淬火玉,2,1037,4,100,100,,,,,,
88,31,45,1,7,1,2,s==3|打孔石,2,1036,5,530,530,,,,,,
89,31,45,1,7,1,2,s==5|副将军功令,2,1017,6,500,500,,,,,,
90,31,45,1,7,1,2,s==3|女儿红,2,1078,150,1000,1000,,,,,,
91,31,45,1,7,1,3,s==4|转换神石,2,1052,12,1000,1000,,,,,,
92,31,45,1,7,1,3,s==5|高级寻访令,2,1003,1,500,500,,,,,,
93,31,45,1,7,1,3,s==5|神兵强化石,2,1027,20,800,800,,,,,,
94,31,45,1,7,1,3,s==4|自选精粹,2,1077,40,660,660,,,,,,
95,31,45,1,7,1,3,s==6|5星随机碎片,2,3008,10,500,500,,,,,,
96,31,45,1,7,1,3,s==6|4星随机碎片,2,3002,30,800,800,,,,,,
97,31,45,1,7,1,3,s==3|将印石,2,1006,300,800,800,,,,,,
