id,dateStart,dateEnd,stageStart,stageEnd,stage,rechargeNum,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,lampTitle,lampAnswer,
1,1,14,1,3,1,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
2,1,14,1,3,1,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
3,1,14,1,3,1,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
4,1,14,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
5,1,14,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
6,1,14,1,3,1,1000,2,1468,1,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
7,1,14,1,3,1,2000,2,1468,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
8,1,14,1,3,1,5000,2,2128,1,2,3014,100,2,1082,60,s==3|顶破天,s==1|夫,
9,1,14,1,3,1,10000,2,2128,3,2,3014,100,2,1081,25,s==3|不要走,s==1|还,
10,1,14,1,3,1,20000,2,2157,1,2,3014,200,2,1081,25,s==3|关帝庙,s==1|扇,
11,1,14,4,7,2,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
12,1,14,4,7,2,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
13,1,14,4,7,2,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
14,1,14,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
15,1,14,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
16,1,14,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
17,1,14,4,7,2,2000,2,1004,8,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
18,1,14,4,7,2,5000,2,1177,1,2,3014,100,2,1043,120,s==3|顶破天,s==1|夫,
19,1,14,4,7,2,10000,2,4050,1,2,3014,100,2,1044,50,s==3|不要走,s==1|还,
20,1,14,4,7,2,20000,2,6666,1,2,3014,200,2,1044,50,s==3|关帝庙,s==1|扇,
21,15,30,1,3,1,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
22,15,30,1,3,1,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
23,15,30,1,3,1,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
24,15,30,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
25,15,30,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
26,15,30,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
27,15,30,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
28,15,30,1,3,1,5000,2,6677,1,2,3014,100,2,1036,25,s==3|顶破天,s==1|夫,
29,15,30,1,3,1,10000,2,6674,1,2,3014,100,2,1036,50,s==3|不要走,s==1|还,
30,15,30,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,s==3|关帝庙,s==1|扇,
31,15,30,4,7,2,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
32,15,30,4,7,2,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
33,15,30,4,7,2,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
34,15,30,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
35,15,30,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
36,15,30,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
37,15,30,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
38,15,30,4,7,2,5000,2,6677,1,2,3014,100,2,1036,25,s==3|顶破天,s==1|夫,
39,15,30,4,7,2,10000,2,6674,1,2,3014,100,2,1037,50,s==3|不要走,s==1|还,
40,15,30,4,7,2,20000,2,6675,1,2,3014,200,2,1037,25,s==3|关帝庙,s==1|扇,
41,31,60,1,3,1,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
42,31,60,1,3,1,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
43,31,60,1,3,1,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
44,31,60,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
45,31,60,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
46,31,60,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
47,31,60,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
48,31,60,1,3,1,5000,2,6677,1,2,3014,100,2,1036,25,s==3|顶破天,s==1|夫,
49,31,60,1,3,1,10000,2,6674,1,2,3014,100,2,1036,50,s==3|不要走,s==1|还,
50,31,60,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,s==3|关帝庙,s==1|扇,
51,31,60,4,7,2,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
52,31,60,4,7,2,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
53,31,60,4,7,2,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
54,31,60,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
55,31,60,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
56,31,60,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
57,31,60,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
58,31,60,4,7,2,5000,2,6677,1,2,3014,100,2,1046,25,s==3|顶破天,s==1|夫,
59,31,60,4,7,2,10000,2,6674,1,2,3014,100,2,1046,50,s==3|不要走,s==1|还,
60,31,60,4,7,2,20000,2,6675,1,2,3014,200,2,1045,25,s==3|关帝庙,s==1|扇,
61,61,90,1,3,1,6,2,1003,1,1,8,100000,2,1115,50,s==3|雁双飞,s==1|从,
62,61,90,1,3,1,68,2,1003,5,1,8,100000,2,1115,50,s==3|旱天雷,s==1|田,
63,61,90,1,3,1,100,2,1079,1,2,1080,5,2,1115,50,s==3|鬼头山,s==1|嵬,
64,61,90,1,3,1,200,2,1003,10,1,8,1000000,2,1115,500,s==3|草上飞,s==1|早,
65,61,90,1,3,1,500,2,1516,1,1,8,1000000,2,1115,500,s==3|画中人,s==1|佃,
66,61,90,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
67,61,90,1,3,1,2000,2,1761,2,2,1509,1,2,1006,20000,s==3|九十九,s==1|白,
68,61,90,1,3,1,5000,2,6677,1,2,1509,2,2,1036,60,s==3|顶破天,s==1|夫,
69,61,90,1,3,1,10000,2,6674,1,2,1509,4,2,1036,25,s==3|不要走,s==1|还,
70,61,90,1,3,1,20000,2,6675,1,2,1509,8,2,1037,25,s==3|关帝庙,s==1|扇,
71,61,90,4,7,2,6,2,1003,1,1,8,100000,2,1115,50,s==3|雁双飞,s==1|从,
72,61,90,4,7,2,68,2,1003,5,1,8,100000,2,1115,50,s==3|旱天雷,s==1|田,
73,61,90,4,7,2,100,2,1079,1,2,1080,5,2,1115,50,s==3|鬼头山,s==1|嵬,
74,61,90,4,7,2,200,2,1003,10,1,8,1000000,2,1115,500,s==3|草上飞,s==1|早,
75,61,90,4,7,2,500,2,1516,1,1,8,1000000,2,1115,500,s==3|画中人,s==1|佃,
76,61,90,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
77,61,90,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
78,61,90,4,7,2,5000,2,6677,1,2,3014,100,2,1017,25,s==3|顶破天,s==1|夫,
79,61,90,4,7,2,10000,2,6674,1,2,3014,100,2,1017,50,s==3|不要走,s==1|还,
80,61,90,4,7,2,20000,2,6675,1,2,3014,200,2,1018,30,s==3|关帝庙,s==1|扇,
81,91,120,1,3,1,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
82,91,120,1,3,1,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
83,91,120,1,3,1,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
84,91,120,1,3,1,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
85,91,120,1,3,1,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
86,91,120,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
87,91,120,1,3,1,2000,2,1761,2,2,2097,1,2,1006,20000,s==3|九十九,s==1|白,
88,91,120,1,3,1,5000,2,6677,1,2,2097,2,2,1017,25,s==3|顶破天,s==1|夫,
89,91,120,1,3,1,10000,2,6674,1,2,2097,4,2,1017,50,s==3|不要走,s==1|还,
90,91,120,1,3,1,20000,2,6675,1,2,2097,8,2,1018,30,s==3|关帝庙,s==1|扇,
91,91,120,4,7,2,6,2,1003,1,1,8,100000,2,1001,50,s==3|雁双飞,s==1|从,
92,91,120,4,7,2,68,2,1003,5,1,8,100000,2,1001,50,s==3|旱天雷,s==1|田,
93,91,120,4,7,2,100,2,1079,1,2,1080,5,2,1001,50,s==3|鬼头山,s==1|嵬,
94,91,120,4,7,2,200,2,1003,10,1,8,1000000,2,1001,500,s==3|草上飞,s==1|早,
95,91,120,4,7,2,500,2,1516,1,1,8,1000000,2,1001,500,s==3|画中人,s==1|佃,
96,91,120,4,7,2,1000,2,1105,10,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
97,91,120,4,7,2,2000,2,1468,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
98,91,120,4,7,2,5000,2,6677,1,2,3014,100,2,1286,25,s==3|顶破天,s==1|夫,
99,91,120,4,7,2,10000,2,6674,1,2,3014,100,2,1286,50,s==3|不要走,s==1|还,
100,91,120,4,7,2,20000,2,6675,1,2,3014,200,2,1286,50,s==3|关帝庙,s==1|扇,
101,121,150,1,3,1,6,2,1003,1,1,8,100000,2,1115,50,s==3|雁双飞,s==1|从,
102,121,150,1,3,1,68,2,1003,5,1,8,100000,2,1115,50,s==3|旱天雷,s==1|田,
103,121,150,1,3,1,100,2,1079,1,2,1080,5,2,1115,50,s==3|鬼头山,s==1|嵬,
104,121,150,1,3,1,200,2,1003,10,1,8,1000000,2,1115,500,s==3|草上飞,s==1|早,
105,121,150,1,3,1,500,2,1516,1,1,8,1000000,2,1115,500,s==3|画中人,s==1|佃,
106,121,150,1,3,1,1000,2,1761,1,2,1003,15,2,1006,8000,s==3|石达开,s==1|研,
107,121,150,1,3,1,2000,2,1761,2,2,3014,50,2,1006,20000,s==3|九十九,s==1|白,
108,121,150,1,3,1,5000,2,6677,1,2,3014,100,2,1036,60,s==3|顶破天,s==1|夫,
109,121,150,1,3,1,10000,2,6674,1,2,3014,100,2,1036,25,s==3|不要走,s==1|还,
110,121,150,1,3,1,20000,2,6675,1,2,3014,200,2,1037,25,s==3|关帝庙,s==1|扇,
