id,taskName,taskDesc,targets-targetType-1,targets-targetId-1,targets-targetValue-1,targets-targetType-2,targets-targetId-2,targets-targetValue-2,targets-targetType-3,targets-targetId-3,targets-targetValue-3,rewards-type-1,rewards-id-1,rewards-value-1,rewards-type-2,rewards-id-2,rewards-value-2,rewards-type-3,rewards-id-3,rewards-value-3,
1001,,s==6|日常登录1次,101,0,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1002,,s==7|与美人幽会1次,518,0,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1003,,s==7|与美人幽会3次,518,0,3,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1004,,s==6|赏赐美人1次,538,0,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1005,,s==6|宠幸美人1次,373,0,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1006,,s==8|升级美人技能1次,374,0,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1007,,s==16|挑战/扫荡3次任意阵营的荆州之战,515,0,3,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1008,,s==16|挑战/扫荡8次任意阵营的荆州之战,515,0,8,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1009,,s==17|挑战/扫荡12次任意阵营的荆州之战,515,0,12,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1010,,s==15|领取1次橙色及以上品质奇遇任务,212,5,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1011,,s==15|领取2次橙色及以上品质奇遇任务,212,5,2,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1012,,s==15|领取3次橙色及以上品质奇遇任务,212,5,3,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1013,,s==11|挑战/扫荡5次日常副本,111,0,5,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1014,,s==12|挑战/扫荡10次日常副本,111,0,10,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1015,,s==12|挑战/扫荡15次日常副本,111,0,15,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1016,,s==11|神秘商店中购买5件道具,402,2,5,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1017,,s==12|神秘商店中购买10件道具,402,2,10,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1018,,s==12|神秘商店中购买15件道具,402,2,15,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1019,,s==8|道具商城消费3次,402,1,3,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1020,,s==8|道具商城消费8次,402,1,8,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1021,,s==9|道具商城消费12次,402,1,12,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1022,,s==8|通关2层虎牢之战,607,0,2,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1023,,s==8|通关5层虎牢之战,607,0,5,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1024,,s==8|通关8层虎牢之战,607,0,8,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1025,,s==6|累计点金5次,509,0,5,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1026,,s==7|累计点金10次,509,0,10,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1027,,s==7|累计点金20次,509,0,20,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
1028,,s==8|累计充值60元宝,510,0,6,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1029,,s==13|以任意方式在铜雀台传情1次,539,0,1,0,0,0,0,0,0,2,1100,3,1,8,50000,1,10,20000,
1030,,s==13|以任意方式在铜雀台传情3次,539,0,3,0,0,0,0,0,0,2,1100,6,1,8,50000,1,10,20000,
2001,,s==6|日常登录1次,101,0,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2002,,s==7|与美人幽会1次,518,0,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2003,,s==7|与美人幽会3次,518,0,3,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2004,,s==6|赏赐美人1次,538,0,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2005,,s==6|宠幸美人1次,373,0,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2006,,s==8|升级美人技能1次,374,0,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2007,,s==16|挑战/扫荡3次任意阵营的荆州之战,515,0,3,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2008,,s==16|挑战/扫荡8次任意阵营的荆州之战,515,0,8,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2009,,s==17|挑战/扫荡12次任意阵营的荆州之战,515,0,12,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2010,,s==15|领取1次橙色及以上品质奇遇任务,212,5,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2011,,s==15|领取2次橙色及以上品质奇遇任务,212,5,2,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2012,,s==15|领取3次橙色及以上品质奇遇任务,212,5,3,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2013,,s==11|挑战/扫荡5次日常副本,111,0,5,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2014,,s==12|挑战/扫荡10次日常副本,111,0,10,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2015,,s==12|挑战/扫荡15次日常副本,111,0,15,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2016,,s==11|神秘商店中购买5件道具,402,2,5,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2017,,s==12|神秘商店中购买10件道具,402,2,10,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2018,,s==12|神秘商店中购买15件道具,402,2,15,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2019,,s==8|道具商城消费3次,402,1,3,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2020,,s==8|道具商城消费8次,402,1,8,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2021,,s==9|道具商城消费12次,402,1,12,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2022,,s==8|通关2层虎牢之战,607,0,2,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2023,,s==8|通关5层虎牢之战,607,0,5,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2024,,s==8|通关8层虎牢之战,607,0,8,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2025,,s==6|累计点金5次,509,0,5,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2026,,s==7|累计点金10次,509,0,10,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2027,,s==7|累计点金20次,509,0,20,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
2028,,s==8|累计充值60元宝,510,0,6,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2029,,s==13|以任意方式在铜雀台传情1次,539,0,1,0,0,0,0,0,0,2,1132,3,1,8,50000,1,10,20000,
2030,,s==13|以任意方式在铜雀台传情3次,539,0,3,0,0,0,0,0,0,2,1132,6,1,8,50000,1,10,20000,
