level,strong-type-1,strong-way-1,strong-value-1,consts-type-1,consts-id-1,consts-value-1,consts-type-2,consts-id-2,consts-value-2,lvLimit,
1,1,1,30,2,1081,1,2,1082,4,,
2,2,1,30,2,1081,1,2,1082,4,2,
3,5,0,30,2,1081,1,2,1082,4,3,
4,6,0,30,2,1081,1,2,1082,4,4,
5,4,0,3,2,1081,1,2,1082,4,5,
6,10,0,30,2,1081,2,2,1082,8,6,
7,1,1,30,2,1081,2,2,1082,8,7,
8,2,1,30,2,1081,2,2,1082,8,8,
9,5,0,30,2,1081,2,2,1082,8,9,
10,6,0,30,2,1081,2,2,1082,8,10,
11,4,0,3,2,1081,3,2,1082,12,11,
12,10,0,30,2,1081,3,2,1082,12,12,
13,1,1,30,2,1081,3,2,1082,12,13,
14,2,1,30,2,1081,3,2,1082,12,14,
15,5,0,30,2,1081,3,2,1082,12,15,
16,6,0,30,2,1081,4,2,1082,16,16,
17,4,0,3,2,1081,4,2,1082,16,17,
18,10,0,30,2,1081,4,2,1082,16,18,
19,1,1,30,2,1081,4,2,1082,16,19,
20,2,1,30,2,1081,4,2,1082,16,20,
21,5,0,30,2,1081,5,2,1082,20,21,
22,6,0,30,2,1081,5,2,1082,20,22,
23,4,0,3,2,1081,5,2,1082,20,23,
24,10,0,30,2,1081,5,2,1082,20,24,
25,1,1,30,2,1081,5,2,1082,20,26,
26,2,1,30,2,1081,6,2,1082,24,28,
27,5,0,30,2,1081,6,2,1082,24,30,
28,6,0,30,2,1081,6,2,1082,24,32,
29,4,0,3,2,1081,6,2,1082,24,34,
30,10,0,30,2,1081,6,2,1082,24,36,
31,1,1,30,2,1081,7,2,1082,28,38,
32,2,1,30,2,1081,7,2,1082,28,40,
33,5,0,30,2,1081,7,2,1082,28,42,
34,6,0,30,2,1081,7,2,1082,28,44,
35,4,0,3,2,1081,7,2,1082,28,46,
36,10,0,30,2,1081,8,2,1082,32,48,
37,1,1,30,2,1081,8,2,1082,32,50,
38,2,1,30,2,1081,8,2,1082,32,52,
39,5,0,30,2,1081,8,2,1082,32,54,
40,6,0,30,2,1081,8,2,1082,32,56,
41,4,0,3,2,1081,9,2,1082,36,58,
42,10,0,30,2,1081,9,2,1082,36,60,
43,1,1,30,2,1081,9,2,1082,36,62,
44,2,1,30,2,1081,9,2,1082,36,64,
45,5,0,30,2,1081,9,2,1082,36,66,
46,6,0,30,2,1081,10,2,1082,40,68,
47,4,0,3,2,1081,10,2,1082,40,70,
48,10,0,30,2,1081,10,2,1082,40,72,
49,1,1,30,2,1081,10,2,1082,40,74,
50,2,1,30,2,1081,10,2,1082,40,76,
51,5,0,30,2,1081,11,2,1082,44,78,
52,6,0,30,2,1081,11,2,1082,44,80,
53,4,0,3,2,1081,11,2,1082,44,82,
54,10,0,30,2,1081,11,2,1082,44,84,
55,1,1,30,2,1081,11,2,1082,44,86,
56,2,1,30,2,1081,12,2,1082,48,88,
57,5,0,30,2,1081,12,2,1082,48,90,
58,6,0,30,2,1081,12,2,1082,48,92,
59,4,0,3,2,1081,12,2,1082,48,94,
60,10,0,30,2,1081,12,2,1082,48,96,
61,1,1,30,2,1081,13,2,1082,52,98,
62,2,1,30,2,1081,13,2,1082,52,100,
63,5,0,30,2,1081,13,2,1082,52,102,
64,6,0,30,2,1081,13,2,1082,52,104,
65,4,0,3,2,1081,13,2,1082,52,106,
66,10,0,30,2,1081,14,2,1082,56,108,
67,1,1,30,2,1081,14,2,1082,56,110,
68,2,1,30,2,1081,14,2,1082,56,112,
69,5,0,30,2,1081,14,2,1082,56,114,
70,6,0,30,2,1081,14,2,1082,56,116,
71,4,0,3,2,1081,15,2,1082,60,118,
72,10,0,30,2,1081,15,2,1082,60,120,
