id,day,rechargeQuantity,loginItems-type-1,loginItems-id-1,loginItems-value-1,loginItems-type-2,loginItems-id-2,loginItems-value-2,loginItems-type-3,loginItems-id-3,loginItems-value-3,loginItems-type-4,loginItems-id-4,loginItems-value-4,areanItem,
1,1,6,2,1565,1,2,1003,1,2,1006,100,2,1003,1,s==12|kr|2|30048|1,
2,2,6,2,1019,10,2,1003,1,2,1006,100,2,1003,1,,
3,3,6,2,1005,10,2,1003,1,2,1006,100,2,1003,1,,
4,4,6,2,1004,1,2,1003,1,2,1006,100,2,1003,1,,
5,5,6,1,9,100,2,1003,1,2,1006,100,2,1003,1,,
6,6,6,2,1006,100,2,1003,1,2,1006,100,2,1003,1,,
7,7,6,2,1910,1,2,1003,1,2,1006,100,2,1003,1,,
8,1,100,2,2611,1,2,1003,1,,,,,,,,
9,2,100,2,1004,1,2,1003,1,,,,,,,,
10,3,100,2,2612,1,2,1003,1,,,,,,,,
11,4,100,2,1004,1,2,1003,1,,,,,,,,
12,5,100,2,2613,1,2,1003,1,,,,,,,,
13,6,100,2,1004,1,2,1003,1,,,,,,,,
14,7,100,2,2614,1,2,1003,1,,,,,,,,
